"eudract_number","double_blind","single_blind","open","randomised","crossover","parallel_group","controlled","arms"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004944-30","No","No","Yes","No","No","No","No","1"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005077-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-005217-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-005217-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-005377-29","No","No","Yes","No","No","Yes","No","2+"
"2005-005377-29","No","No","Yes","No","No","Yes","No","2+"
"2005-005377-29","No","No","Yes","No","No","Yes","No","2+"
"2006-000284-28","Yes","No","No","Yes","Yes","No","Yes","1"
"2006-000720-13","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-000720-13","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-000720-13","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-000720-13","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001228-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001228-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001228-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001228-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001671-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-001671-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-001671-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-001671-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-001671-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-001671-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-001865-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-002072-18","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004532-73","No","No","Yes","No","No","No","No","1"
"2006-004633-15","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-004756-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005145-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005751-16","No","No","Yes","No","No","No","No","2+"
"2006-005751-16","No","No","Yes","No","No","No","No","2+"
"2006-005751-16","No","No","Yes","No","No","No","No","2+"
"2006-005766-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005766-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005766-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005766-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005766-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-005834-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006188-22","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006188-22","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006188-22","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006370-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006404-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006538-16","No","No","Yes","No","No","No","No","1"
"2006-006538-16","No","No","Yes","No","No","No","No","1"
"2006-006538-16","No","No","Yes","No","No","No","No","1"
"2006-006538-16","No","No","Yes","No","No","No","No","1"
"2006-006538-16","No","No","Yes","No","No","No","No","1"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006852-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2006-006913-34","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006913-34","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006913-34","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-006913-34","No","No","Yes","Yes","No","Yes","Yes","2+"
"2006-007021-32","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000180-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000180-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000180-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000180-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000180-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000180-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000281-21","No","No","Yes","No","No","No","No","1"
"2007-000323-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000323-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000323-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000323-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000323-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-000323-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001283-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001451-19","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001452-39","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-001478-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-001478-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-001478-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-001478-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003227-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-003710-34","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-003793-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004126-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004126-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004126-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004126-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004126-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004344-78","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-004517-34","No","No","Yes","No","No","No","No","1"
"2007-004517-34","No","No","Yes","No","No","No","No","1"
"2007-004517-34","No","No","Yes","No","No","No","No","1"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-004803-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005017-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005129-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005365-35","No","Yes","No","Yes","No","Yes","Yes","2+"
"2007-005365-35","No","Yes","No","Yes","No","Yes","Yes","2+"
"2007-005365-35","No","Yes","No","Yes","No","Yes","Yes","2+"
"2007-005365-35","No","Yes","No","Yes","No","Yes","Yes","2+"
"2007-005365-35","No","Yes","No","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005376-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005684-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005684-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-005684-10","No","No","Yes","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006195-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006263-68","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006263-68","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006263-68","Yes","No","No","Yes","No","Yes","Yes","2+"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-006611-23","No","No","Yes","No","No","No","No","1"
"2007-007847-28","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000077-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000107-28","No","No","Yes","No","No","No","No","1"
"2008-000107-28","No","No","Yes","No","No","No","No","1"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
