"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_orig","open_orig","double_blind_orig","single_blind_orig","controlled_orig","parallel_group_orig","crossover_orig","randomised_orig"
"2005-000454-73","A multicenter randomized double-blind placebo-controlled 3-arm study of the efficacy and safety of 2 doses of lenalidomide versus placebo in red blood cell (RBC) transfusion-dependent subjects with low- or intermediate-1-risk myelodyplastic syndromes (MDS) associated with a deletion (del) 5q[31] cytogenetic abnormality.","BE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes","2+","No","Yes","No","Yes","Yes","No","Yes"
"2005-000454-73","A multicenter randomized double-blind placebo-controlled 3-arm study of the efficacy and safety of 2 doses of lenalidomide versus placebo in red blood cell (RBC) transfusion-dependent subjects with low- or intermediate-1-risk myelodyplastic syndromes (MDS) associated with a deletion (del) 5q[31] cytogenetic abnormality.","IT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes","2+","No","Yes","No","Yes","Yes","No","Yes"
"2005-000454-73","A MULTICENTER RANDOMIZED DOUBLE-BLIND PLACEBOCONTROLLED 3-ARM STUDY OF THE EFFICACY AND SAFETY OF 2 DOSES OF LENALIDOMIDE VERSUS PLACEBO IN RED BLOOD CELL (RBC) TRANSFUSION-DEPENDENT SUBJECTS WITH LOW- OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES (MDS) ASSOCIATED WITH A DELETION (DEL) 5Q[31] CYTOGENETIC ABNORMALITY","GB","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes","2+","No","Yes","No","Yes","Yes","No","Yes"
"2005-000454-73","A MULTICENTER RANDOMIZED DOUBLE-BLIND PLACEBOCONTROLLED 3-ARM STUDY OF THE EFFICACY AND SAFETY OF 2 DOSES OF LENALIDOMIDE VERSUS PLACEBO IN RED BLOOD CELL (RBC) TRANSFUSION-DEPENDENT SUBJECTS WITH LOW- OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES (MDS) ASSOCIATED WITH A DELETION (DEL) 5Q[31] CYTOGENETIC ABNORMALITY","ES","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes","2+","No","Yes","No","Yes","Yes","No","Yes"
"2005-000454-73","A MULTICENTER RANDOMIZED DOUBLE-BLIND PLACEBOCONTROLLED 3-ARM STUDY OF THE EFFICACY AND SAFETY OF 2 DOSES OF LENALIDOMIDE VERSUS PLACEBO IN RED BLOOD CELL (RBC) TRANSFUSION-DEPENDENT SUBJECTS WITH LOW- OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES (MDS) ASSOCIATED WITH A DELETION (DEL) 5Q[31] CYTOGENETIC ABNORMALITY","SE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes","2+","No","Yes","No","Yes","Yes","No","Yes"
"2005-000454-73","A multicenter randomized double-blind placebo-controlled 3-arm study of the efficacy and safety of 2 doses of lenalidomide versus placebo in red blood cell (RBC) transfusion-dependent subjects with low- or intermediate-1-risk myelodyplastic syndromes (MDS) associated with a deletion (del) 5q[31] cytogenetic abnormality.","DE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes","2+","No","Yes","No","Yes","Yes","No","Yes"
"2005-001678-28","A randomized explorative double-blind double-dummy multi-center parallel group study to assess sustainable efficacy of once daily vardenafil (10 mg) for 12 and 24 weeks versus vardenafil PRN in men with mild or mild to moderate erectile dysfunction","DE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors ","DE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors.Estudio fase III multicéntrico aleatorizado doble ciego controlado con placebo de una monoterapia con Tarceva® (erlotinib) tras una resección tumoral completa con o sin quimioterapia adyuvante en pacientes con cáncer de pulmón de células no pequeñas en estadios IB-IIIA que tienen tumores EGFR-positivo.","FR","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors ","CZ","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors.Estudio fase III multicéntrico aleatorizado doble ciego controlado con placebo de una monoterapia con Tarceva® (erlotinib) tras una resección tumoral completa con o sin quimioterapia adyuvante en pacientes con cáncer de pulmón de células no pequeñas en estadios IB-IIIA que tienen tumores EGFR-positivo.","GR","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors ","IT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors ","HU","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors ","ES","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors ","GB","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors.Estudio fase III multicéntrico aleatorizado doble ciego controlado con placebo de una monoterapia con Tarceva® (erlotinib) tras una resección tumoral completa con o sin quimioterapia adyuvante en pacientes con cáncer de pulmón de células no pequeñas en estadios IB-IIIA que tienen tumores EGFR-positivo.","BE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-001747-29","A Multi-center Randomized Double-blind Placebo-controlled Phase 3 Study of Single-agent Tarceva® (erlotinib) Following Complete Tumor Resection and with or without Adjuvant Chemotherapy in Patients with Stage IB-IIIA Non-small Cell Lung Carcinoma who have EGFR-positive Tumors.Estudio fase III multicéntrico aleatorizado doble ciego controlado con placebo de una monoterapia con Tarceva® (erlotinib) tras una resección tumoral completa con o sin quimioterapia adyuvante en pacientes con cáncer de pulmón de células no pequeñas en estadios IB-IIIA que tienen tumores EGFR-positivo.","AT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-002524-34","An open label non comparative phase III study of the Raf Kinase Inhibitor BAY 43-9006 as a subsequent to first line therapy in patients with advanced renal cell carcinoma.","DK","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002524-34","An Open Label Non Comparative Phase III Study of the Raf Kinase Inhibitor BAY 43-9006 as a Subsequent to First Line Therapy in Patients with Advanced Renal Cell Carcinoma","SE","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002524-34","An open label non comparative phase III study of the Raf Kinase Inhibitor BAY 43-9006 as a subsequent to first line therapy in patients with advanced renal cell carcinoma.","AT","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002524-34","An Open Label Non Comparative Phase III Study of the Raf Kinase Inhibitor BAY 43-9006 as a Subsequent to First Line Therapy in Patients with Advanced Renal Cell Carcinoma","ES","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002524-34","An Open Label Non Comparative Phase III Study of the Raf Kinase Inhibitor BAY 43-9006 as a Subsequent to First Line Therapy in Patients with Advanced Renal Cell Carcinoma","DE","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002524-34","An open label non comparative phase III study of the Raf Kinase Inhibitor BAY 43-9006 as a subsequent to first line therapy in patients with advanced renal cell carcinoma.","PT","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002524-34","An Open Label Non Comparative Phase III Study of the Raf Kinase Inhibitor BAY 43-9006 as a Subsequent to First Line Therapy in Patients with Advanced Renal Cell CarcinomaEstudio en fase III abierto no comparativo del inhibidor de la Raf-kinasa BAY 43-9006 como tratamiento posterior a la terapia de primera línea en pacientes con carcinoma de células renales avanzado","BE","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","No","No","No","1","No","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","No","No","No","No"
"2005-002618-40","HIT-REZ 2005 - A multicentre clinical trial and phase II study for the treatment of refractory and relapsed primitive neuroectodermal tumours (medulloblastomas supratentorial PNETs) and ependymomas in children and adolescentsParts of the study:P-HIT-REZ 2005 - a non-randomised trial for the treatment of relapsed PNETs E-HIT-REZ 2005: Phase II study: oral therapy with temozolomide - a nonrandomised trial for the treatment of relapsed ependymomas Phase II study - intraventricular therapy with etoposide in neoplastic meningitis","DE","No","No","Yes","ok","No","No","No","No","1","Yes","No","Yes","No","No","No","Yes","No","2+","No","2+","Yes","No","No","Yes","No","No","No"
"2005-002796-32","A randomized double-blind placebo-controlled multi-center parallel group study to assess the efficacy of vardenafil in the treatment of symtomatic Benign Prostatic Hyperplasia","DE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","CZ","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","MT","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","AT","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","SK","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","FI","Yes","No","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","BE","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","IT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","GB","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","DE","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","LV","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003440-66","A Randomised Double-blind Multicentre Phase II/III Study to Compare the Efficacy of AZD2171 in Combination with 5-fluorouracil Leucovorin and Oxaliplatin (FOLFOX) to the Efficacy of Bevacizumab in Combination with FOLFOX in Patients with Previously Untreated Metastatic Colorectal Cancer","HU","Yes","No","No","","Yes","No","Yes","Yes","2+","Yes","No","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Yes","Information not present in EudraCT","Yes","Yes","","Yes"
"2005-003484-23","Randomised phase-III-trial of simultaneous radiochemotherapy (RCT) of locally advanced head and neck cancer in the stages III and IV A-B: Comparing dose reduced RCT (63.6 Gy) with Paclitaxel/Cisplatin to standard RCT (70.2 Gy) with 5-Fluorouracil/Cisplatin","DE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","2+","Yes","No","No","Yes","Yes","No","Yes"
"2005-003593-16","A phase II double-blind placebo-controleed randomised study to assess the efficacy and safety of docetaxel (Taxotere)/ prednisolone/ ZD6474 vs. docetaxel/ prednisolone/ placebo in patients with hormone refractory prostate cancer (HRPC)","SE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","1","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-003593-16","A phase II double-blind placebo-controleed randomised study to assess the efficacy and safety of docetaxel (Taxotere)/ prednisolone/ ZD6474 vs. docetaxel/ prednisolone/ placebo in patients with hormone refractory prostate cancer (HRPC)","HU","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","1","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-003593-16","A phase II double-blind placebo-controleed randomised study to assess the efficacy and safety of docetaxel (Taxotere)/ prednisolone/ ZD6474 vs. docetaxel/ prednisolone/ placebo in patients with hormone refractory prostate cancer (HRPC)","DE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","1","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing or locally advanced prostate cancer who are responsive to such therapy","DK","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing and locally advanced prostate cancer who are responsive to such therapy","AT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing or locally advanced prostate cancer who are responsive to such therapy","ES","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing and locally advanced prostate cancer who are responsive to such therapy","FI","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing or locally advanced prostate cancer who are responsive to such therapy","GR","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing or locally advanced prostate cancer who are responsive to such therapy","SK","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing and locally advanced prostate cancer who are responsive to such therapy","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2005-004094-25","A phase IIIb randomized study of intermittent versus continuous androgen deprivation therapy using ELIGARD 22.5 mg 3-month depot in subjects with relapsing and locally advanced prostate cancer who are responsive to such therapy","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","No","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
