"active_comparator","arms","controlled","crossover","design","double_blind","eudract_number","open","parallel_group","placebo","protocol_country_code","randomised","single_blind","title","open_gs","open_orig","arms_gs","arms_orig","double_blind_gs","double_blind_orig","single_blind_gs","single_blind_orig","controlled_gs","controlled_orig","parallel_group_gs","parallel_group_orig","crossover_gs","crossover_orig","randomised_gs","randomised_orig"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","DK","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","SK","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","PT","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","FR","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATION","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","SE","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","BE","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","IT","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATION","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","ES","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATION","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","AT","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATION","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","NL","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","HU","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","DE","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATION","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
