"arms","open","double_blind","single_blind","controlled","parallel_group","crossover","randomised","eudract_number","title","protocol_country_code"
"2+","No","Yes","No","Yes","No","No","Yes","2015-002222-40","Randomized Placebo-Controlled Double Blind Phase 2 Study of Patritumab (U3-1287) in Combination with Cetuximab plus Platinum Based Therapy in First Line Setting in Subjects with Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck","GB"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) GlioblastomaEstudio fase 2 aleatorizado simple ciego de temozolomida más radioterapia combinados con nivolumab o placebo en sujetos adultos recién diagnosticados de glioblastoma con MGMT (06-metilguanina ADN metiltransferasa tumoral) metilado","NL"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) GlioblastomaEstudio fase 2 aleatorizado simple ciego de temozolomida más radioterapia combinados con nivolumab o placebo en sujetos adultos recién diagnosticados de glioblastoma con MGMT (06-metilguanina ADN metiltransferasa tumoral) metilado","BE"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) Glioblastoma","DK"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 3 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) Glioblastoma","ES"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) GlioblastomaEstudio fase 2 aleatorizado simple ciego de temozolomida más radioterapia combinados con nivolumab o placebo en sujetos adultos recién diagnosticados de glioblastoma con MGMT (06-metilguanina ADN metiltransferasa tumoral) metilado","DE"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) GlioblastomaEstudio fase 2 aleatorizado simple ciego de temozolomida más radioterapia combinados con nivolumab o placebo en sujetos adultos recién diagnosticados de glioblastoma con MGMT (06-metilguanina ADN metiltransferasa tumoral) metilado","AT"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) Glioblastoma","PL"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) Glioblastoma","SE"
"2+","No","No","Yes","Yes","Yes","No","Yes","2015-004722-34","A Randomized Phase 2 Single Blind Study of Temozolomide plus Radiation Therapy combined with Nivolumab or Placebo in Newly Diagnosed Adult Subjects with MGMT-Methylated (tumor O6-methylguanine DNA methyltransferase) Glioblastoma","GB"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant-ineligible Patients with Newly Diagnosed Multiple MyelomaEnsayo en fase III abierto aleatorizado de carfilzomib melfalán y prednisona frente a bortezomib melfalán y prednisona en pacientes no aptos para trasplante con mieloma múltiple de nuevo diagnóstico","BE"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","FR"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","IT"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","AT"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant-ineligible Patients with Newly Diagnosed Multiple MyelomaEnsayo en fase III abierto aleatorizado de carfilzomib melfalán y prednisona frente a bortezomib melfalán y prednisona en pacientes no aptos para trasplante con mieloma múltiple de nuevo diagnóstico","BG"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","ES"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple Myeloma","NL"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple Myeloma","CZ"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","GR"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","HU"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","GB"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","DE"
"2+","Yes","No","No","Yes","Yes","No","Yes","2012-005283-97","A Randomized Open-label Phase 3 Study of Carfilzomib Melphalan and Prednisone versus Bortezomib Melphalan and Prednisone in Transplant ineligible Patients with Newly Diagnosed Multiple MyelomaРандомизирано открито фаза 3 изпитване на Карфилзомиб Мелфалан и Преднизон в сравнение с Бортезомиб Мелфалан и Преднизон при пациенти с новодиагностициран множествен миелом които не са подходящи за трансплантация","PL"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetesUčinkovitost in varnost semaglutida enkrat na teden v primerjavi z insulinom glargin enkrat na dan kot dodatka k zdravljenju z metforminom s sulfonilsečnino ali brez nje pri bolnikih s sladkorno boleznijo tipa 2 ki se še niso zdravili z insulinom","GB"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetes","HR"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetesÚčinnosť a bezpečnosť semaglutidu podávaného jedenkrát týždenne v porovnaní s inzulínom glargín podávaným jedenkrát denne pridaným k metformínu so sulfonylureou alebo bez nej u doteraz inzulínom neliečených pacientov s diabetom 2. typu","DE"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetesÚčinnosť a bezpečnosť semaglutidu podávaného jedenkrát týždenne v porovnaní s inzulínom glargín podávaným jedenkrát denne pridaným k metformínu so sulfonylureou alebo bez nej u doteraz inzulínom neliečených pacientov s diabetom 2. typu","NL"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetesUčinkovitost in varnost semaglutida enkrat na teden v primerjavi z insulinom glargin enkrat na dan kot dodatka k zdravljenju z metforminom s sulfonilsečnino ali brez nje pri bolnikih s sladkorno boleznijo tipa 2 ki se še niso zdravili z insulinom","RO"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetes","SI"
"2+","Yes","No","No","Yes","Yes","No","Yes","2013-004392-12","Efficacy and safety of semaglutide once weekly versus insulin glargine once daily as add on to metformin with or without sulphonylurea in insulin-naïve subjects with type 2 diabetesUčinkovitost in varnost semaglutida enkrat na teden v primerjavi z insulinom glargin enkrat na dan kot dodatka k zdravljenju z metforminom s sulfonilsečnino ali brez nje pri bolnikih s sladkorno boleznijo tipa 2 ki se še niso zdravili z insulinom","SK"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerEstudio multinacional de fase  III aleatorizado con doble enmascaramiento y controlado con placebo de la eficacia y la seguridad de la enzalutamida en los pacientes con cáncer de próstata no metastatizante resistente a la castración","FR"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerStudio multinazionale di fase 3 randomizzato in doppio cieco controllato con placebo teso a valutare l'efficacia e la sicurezza dell'enzalutamide in pazienti affetti da cancro della prostata non metastatico resistente alla castrazione","SE"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate Cancer","SK"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate Cancer","DE"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate Cancer","ES"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerStudio multinazionale di fase 3 randomizzato in doppio cieco controllato con placebo teso a valutare l'efficacia e la sicurezza dell'enzalutamide in pazienti affetti da cancro della prostata non metastatico resistente alla castrazione","GR"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerStudio multinazionale di fase 3 randomizzato in doppio cieco controllato con placebo teso a valutare l'efficacia e la sicurezza dell'enzalutamide in pazienti affetti da cancro della prostata non metastatico resistente alla castrazione","NL"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerEstudio multinacional de fase  III aleatorizado con doble enmascaramiento y controlado con placebo de la eficacia y la seguridad de la enzalutamida en los pacientes con cáncer de próstata no metastatizante resistente a la castración","IT"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerStudio multinazionale di fase 3 randomizzato in doppio cieco controllato con placebo teso a valutare l'efficacia e la sicurezza dell'enzalutamide in pazienti affetti da cancro della prostata non metastatico resistente alla castrazione","DK"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerStudio multinazionale di fase 3 randomizzato in doppio cieco controllato con placebo teso a valutare l'efficacia e la sicurezza dell'enzalutamide in pazienti affetti da cancro della prostata non metastatico resistente alla castrazione","GB"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerEstudio multinacional de fase  III aleatorizado con doble enmascaramiento y controlado con placebo de la eficacia y la seguridad de la enzalutamida en los pacientes con cáncer de próstata no metastatizante resistente a la castración","BE"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate CancerEstudio multinacional de fase  III aleatorizado con doble enmascaramiento y controlado con placebo de la eficacia y la seguridad de la enzalutamida en los pacientes con cáncer de próstata no metastatizante resistente a la castración","AT"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-005665-12","A Multinational Phase 3 Randomized Double Blind Placebo Controlled Efficacy and Safety Study of Enzalutamide in Patients With Nonmetastatic Castration Resistant Prostate Cancer","FI"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-003208-10","A Randomized Double-blind Placebo-controlled Parallel 26 Week Phase 3 Study of 2 Doses of an Alpha-7 Nicotinic Acetylcholine Receptor Agonist (EVP-6124) or Placebo as an Adjunctive Pro-cognitive Treatment in Schizophrenia Subjects on Chronic Stable Atypical Antipsychotic Therapy","PL"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-003208-10","A Randomized Double-blind Placebo-controlled Parallel 26 Week Phase 3 Study of 2 Doses of an Alpha-7 Nicotinic Acetylcholine Receptor Agonist (EVP-6124) or Placebo as an Adjunctive Pro-cognitive Treatment in Schizophrenia Subjects on Chronic Stable Atypical Antipsychotic Therapy","DE"
"2+","No","Yes","No","Yes","Yes","No","Yes","2012-003208-10","A Randomized Double-blind Placebo-controlled Parallel 26 Week Phase 3 Study of 2 Doses of an Alpha-7 Nicotinic Acetylcholine Receptor Agonist (EVP-6124) or Placebo as an Adjunctive Pro-cognitive Treatment in Schizophrenia Subjects on Chronic Stable Atypical Antipsychotic Therapy","ES"
"1","Yes","No","No","No","No","No","No","2013-001903-36","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSIS","FR"
"1","Yes","No","No","No","No","No","No","2013-001903-36","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","GB"
"1","Yes","No","No","No","No","No","No","2013-001903-36","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","NL"
"1","Yes","No","No","No","No","No","No","2013-001903-36","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","GR"
"1","Yes","No","No","No","No","No","No","2013-001903-36","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","ES"
"1","Yes","No","No","No","No","No","No","2013-001903-36","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","IT"
"2+","No","Yes","No","Yes","Yes","No","Yes","2008-002140-41","Double-blind placebo controlled randomized study of vardenafil to determine efficacy on Erectile Dysfunction (ED) in men with ED and Metabolic Syndrome (ED-METABOLIC)","DE"
"2+","No","Yes","No","Yes","Yes","No","Yes","2005-001678-28","A randomized explorative double-blind double-dummy multi-center parallel group study to assess sustainable efficacy of once daily vardenafil (10 mg) for 12 and 24 weeks versus vardenafil PRN in men with mild or mild to moderate erectile dysfunction","DE"
"1","Yes","No","No","No","No","No","No","2011-003168-63","Phase-II study evaluating midostaurin in induction consolidation andmaintenance therapy also after allogeneic blood stem cell transplantationin patients with newly diagnosed acute myeloid leukemia exhibiting a FLT3 internal tandem duplication AMLSG 16-10Phase II Studie zu Midostaurin in der Induktions- Konsolidierungs- undErhaltungstherapie sowie nach allogener Blutstammzelltransplantation bei Patienten mit neu diagnostizierter akuter myeloischer Leukämie undNachweis einer internen Tandemduplikation des FLT3-Gens","DE"
"2+","Yes","No","No","Yes","Yes","No","Yes","2010-024379-15","Pazopanib with 5-Flourouracil Leucovorin and Oxaliplatin (FLO) as 1st-line treatment in advanced gastric cancer a randomized Phase II study.- The PaFLO study.Pazopanib mit 5-FU Leukovorin und Oxaliplatin als Erstlinientherapie bei fortgeschrittenem Magenkarzinom eine randomisierte Phase-II-Studie. – Die PaFLO-Studie.","DE"
"2+","Yes","No","No","Yes","Yes","No","Yes","2015-003739-37","A Randomized Phase 3 Open Label Study of Nivolumab vs Temozolomide Each in Combination with Radiation Therapy in Newly Diagnosed Adult Subjects with Unmethylated MGMT (tumor 06-methylguanine DNA methyltransferase) Glioblastoma","AT"
"2+","Yes","No","No","Yes","Yes","No","Yes","2015-003739-37","A Randomized Phase 3 Open Label Study of Nivolumab vs Temozolomide Each in Combination with Radiation Therapy in Newly Diagnosed Adult Subjects with Unmethylated MGMT (tumor 06-methylguanine DNA methyltransferase) Glioblastoma","BE"
