"date_collected","flight_number","departure_gate","arrival_gate","scheduled_departure_t","actual_departure_t","scheduled_arrival_t","actual_arrival_t","scheduled_departure","actual_departure","scheduled_arrival","actual_arrival"
"2011-12-01","AA-1640-MIA-MCO","E5","14","12/01/2011 06:30 PM","","12/01/2011 07:25 PM","","2011-12-01 23:30:00+00","","2011-12-02 00:25:00+00",""
"2011-12-11","UA-2945-PHL-CLT","B11","B8","Sun, Dec 11 12:00 AM","Sun, Dec 11 5:12 PM            Delayed","Sun, Dec 11 1:45 PM","Sun, Dec 11 1:46 PM","2011-12-11 17:00:00+00","2011-12-11 22:12:00+00","2011-12-11 18:45:00+00","2011-12-11 18:46:00+00"
"2011-12-02","UA-2945-PHL-CLT","B9","C8","Fri, Dec 2 12:00 AM","Fri, Dec 2 5:11 AM","Fri, Dec 2 1:45 PM","Fri, Dec 2 1:26 PM","2011-12-02 17:00:00+00","2011-12-02 10:11:00+00","2011-12-02 18:45:00+00","2011-12-02 18:26:00+00"
"2011-12-03","UA-2945-PHL-CLT","C21","B6","Sat, Dec 3 12:00 AM","Sat, Dec 3 2:11 AM","Sat, Dec 3 1:45 PM","Sat, Dec 3 1:18 PM","2011-12-03 17:00:00+00","2011-12-03 07:11:00+00","2011-12-03 18:45:00+00","2011-12-03 18:18:00+00"
"2011-12-09","UA-2945-PHL-CLT","B9","C8","Fri, Dec 9 12:00 AM","Fri, Dec 9 6:11 AM","Fri, Dec 9 1:45 PM","Fri, Dec 9 1:29 PM","2011-12-09 17:00:00+00","2011-12-09 11:11:00+00","2011-12-09 18:45:00+00","2011-12-09 18:29:00+00"
"2011-12-20","UA-2945-PHL-CLT","C21","C12","Tue, Dec 20 12:00 AM","Tue, Dec 20 9:11 AM","Tue, Dec 20 1:45 PM","Tue, Dec 20 1:42 PM","2011-12-20 17:00:00+00","2011-12-20 14:11:00+00","2011-12-20 18:45:00+00","2011-12-20 18:42:00+00"
"2011-12-20","AA-3823-LAX-DEN"," 44E"," A49    ","December 20, 2011               09:00 PM    ","December 20, 2011     ","December 21, 2011               12:15 AM    ","December 21, 2011     ","2011-12-21 05:00:00+00","","2011-12-21 07:15:00+00",""
"2011-12-14","AA-3823-LAX-DEN"," 44J"," A49    ","December 14, 2011               09:00 PM    ","December 14, 2011     ","December 15, 2011               12:15 AM    ","December 15, 2011     ","2011-12-15 05:00:00+00","","2011-12-15 07:15:00+00",""
"2011-12-15","AA-3823-LAX-DEN"," 44F"," A49    ","December 15, 2011               09:00 PM    ","December 15, 2011     ","December 16, 2011               12:15 AM    ","December 16, 2011     ","2011-12-16 05:00:00+00","","2011-12-16 07:15:00+00",""
"2011-12-16","AA-3823-LAX-DEN"," 44I"," A49    ","December 16, 2011               09:00 PM    ","December 16, 2011     ","December 17, 2011               12:15 AM    ","December 17, 2011     ","2011-12-17 05:00:00+00","","2011-12-17 07:15:00+00",""
"2011-12-28","AA-3823-LAX-DEN"," 44J"," A49    ","December 28, 2011               09:00 PM    ","December 28, 2011     ","December 29, 2011               12:15 AM    ","December 29, 2011     ","2011-12-29 05:00:00+00","","2011-12-29 07:15:00+00",""
"2012-01-03","AA-3823-LAX-DEN"," 44J"," A49    ","January 3, 2012               09:00 PM    ","January 3, 2012     ","January 4, 2012               12:15 AM    ","January 4, 2012     ","2012-01-04 05:00:00+00","","2012-01-04 07:15:00+00",""
"2011-12-31","CO-1614-LAX-IAH","","","Sat., Dec.31, 2011 12:30 a.m.","Sat., Dec.31, 2011 12:40 a.m.","Sat., Dec.31, 2011 5:36 a.m.","Sat., Dec.31, 2011 5:45 a.m.","2011-12-31 08:30:00+00","2011-12-31 08:40:00+00","2011-12-31 11:36:00+00","2011-12-31 11:45:00+00"
"2011-12-31","AA-204-LAX-MCO"," 42A"," TBA    ","December 31, 2011               11:25 PM    ","December 31, 2011     ","January 1, 2011               06:55 AM    ","January 1, 2011     ","2012-01-01 07:25:00+00","","2012-01-01 11:55:00+00",""
"2011-12-05","CO-1614-LAX-IAH","","","Mon., Dec.05, 2011 12:30 a.m.","Mon., Dec.05, 2011 12:57 a.m.","Mon., Dec.05, 2011 5:35 a.m.","Mon., Dec.05, 2011 5:55 a.m.","2011-12-05 08:30:00+00","2011-12-05 08:57:00+00","2011-12-05 11:35:00+00","2011-12-05 11:55:00+00"
"2011-12-25","CO-1614-LAX-IAH","","","Sun., Dec.25, 2011 12:30 a.m.","Sun., Dec.25, 2011 12:33 a.m.","Sun., Dec.25, 2011 5:36 a.m.","Sun., Dec.25, 2011 5:44 a.m.","2011-12-25 08:30:00+00","2011-12-25 08:33:00+00","2011-12-25 11:36:00+00","2011-12-25 11:44:00+00"
"2011-12-10","CO-1614-LAX-IAH","","","Sat., Dec.10, 2011 12:30 a.m.","Sat., Dec.10, 2011 12:36 a.m.","Sat., Dec.10, 2011 5:35 a.m.","Sat., Dec.10, 2011 5:21 a.m.","2011-12-10 08:30:00+00","2011-12-10 08:36:00+00","2011-12-10 11:35:00+00","2011-12-10 11:21:00+00"
"2011-12-27","CO-1614-LAX-IAH","","","Tue., Dec.27, 2011 12:30 a.m.","Tue., Dec.27, 2011 12:45 a.m.","Tue., Dec.27, 2011 5:36 a.m.","Tue., Dec.27, 2011 5:33 a.m.","2011-12-27 08:30:00+00","2011-12-27 08:45:00+00","2011-12-27 11:36:00+00","2011-12-27 11:33:00+00"
"2011-12-28","CO-1694-LAX-IAH","","","Wed., Dec.28, 2011 7:41 p.m.","Wed., Dec.28, 2011 7:41 p.m.","Wed., Dec.28, 2011 12:44 a.m.","Wed., Dec.28, 2011 12:44 a.m.","2011-12-29 03:41:00+00","2011-12-29 03:41:00+00","2011-12-28 06:44:00+00","2011-12-28 06:44:00+00"
"2012-01-02","CO-1614-LAX-IAH","","","Mon., Jan.02, 2012 12:30 a.m.","Mon., Jan.02, 2012 1:41 a.m.","Mon., Jan.02, 2012 5:36 a.m.","Mon., Jan.02, 2012 6:41 a.m.","2012-01-02 08:30:00+00","2012-01-02 09:41:00+00","2012-01-02 11:36:00+00","2012-01-02 12:41:00+00"
"2011-12-19","CO-1614-LAX-IAH","","","Mon., Dec.19, 2011 12:30 a.m.","Mon., Dec.19, 2011 1:02 a.m.","Mon., Dec.19, 2011 5:36 a.m.","Mon., Dec.19, 2011 6:09 a.m.","2011-12-19 08:30:00+00","2011-12-19 09:02:00+00","2011-12-19 11:36:00+00","2011-12-19 12:09:00+00"
"2011-12-20","CO-1614-LAX-IAH","","","Tue., Dec.20, 2011 12:30 a.m.","Tue., Dec.20, 2011 2:40 a.m.","Tue., Dec.20, 2011 5:36 a.m.","Tue., Dec.20, 2011 7:48 a.m.","2011-12-20 08:30:00+00","2011-12-20 10:40:00+00","2011-12-20 11:36:00+00","2011-12-20 13:48:00+00"
"2011-12-24","UA-2945-PHL-CLT","A18","C18","Sat, Dec 24 12:00 AM","Sat, Dec 24 6:11 AM","Sat, Dec 24 1:45 PM","Sat, Dec 24 1:39 PM","2011-12-24 17:00:00+00","2011-12-24 11:11:00+00","2011-12-24 18:45:00+00","2011-12-24 18:39:00+00"
"2011-12-14","UA-2945-PHL-CLT","C28","C15","Wed, Dec 14 12:00 AM","Wed, Dec 14 4:11 AM","Wed, Dec 14 1:45 PM","Wed, Dec 14 1:30 PM","2011-12-14 17:00:00+00","2011-12-14 09:11:00+00","2011-12-14 18:45:00+00","2011-12-14 18:30:00+00"
"2011-12-12","UA-2945-PHL-CLT","B9","C15","Mon, Dec 12 12:00 AM","Mon, Dec 12 5:11 AM","Mon, Dec 12 1:45 PM","Mon, Dec 12 1:35 PM","2011-12-12 17:00:00+00","2011-12-12 10:11:00+00","2011-12-12 18:45:00+00","2011-12-12 18:35:00+00"
"2011-12-31","AA-3823-LAX-DEN"," 44J"," A49    ","December 31, 2011               09:00 PM    ","December 31, 2011     ","January 1, 2011               12:15 AM    ","January 1, 2011     ","2012-01-01 05:00:00+00","","2012-01-01 07:15:00+00",""
"2012-01-01","UA-2945-PHL-CLT","A19","C12","Sun, Jan 1 12:00 AM","Sun, Jan 1 6:11 AM","Sun, Jan 1 1:45 PM","Sun, Jan 1 1:32 PM","2012-01-01 17:00:00+00","2012-01-01 11:11:00+00","2012-01-01 18:45:00+00","2012-01-01 18:32:00+00"
"2012-01-01","UA-6273-YYC-SFO","--","76B","Sun, Jan 1 7:35 AM","Sun, Jan 1 7:32 AM","Sun, Jan 1 9:43 AM","Sun, Jan 1 9:43 AM","2012-01-01 14:35:00+00","2012-01-01 14:32:00+00","2012-01-01 17:43:00+00","2012-01-01 17:43:00+00"
"2012-01-01","UA-2314-ATL-PHL","D23","C31","Sun, Jan 1 2:55 PM","Sun, Jan 1 2:55 PM","Sun, Jan 1 5:00 PM","Sun, Jan 1 4:41 PM","2012-01-01 19:55:00+00","2012-01-01 19:55:00+00","2012-01-01 22:00:00+00","2012-01-01 21:41:00+00"
"2012-01-01","UA-382-IAD-LAX","C19","77","Sun, Jan 1 12:20 PM","Sun, Jan 1 12:19 PM            On Time","Sun, Jan 1 3:08 PM","Sun, Jan 1 2:47 PM","2012-01-01 17:20:00+00","2012-01-01 17:19:00+00","2012-01-01 23:08:00+00","2012-01-01 22:47:00+00"
"2012-01-02","UA-382-IAD-LAX","C27","75B","Mon, Jan 2 12:20 PM","Mon, Jan 2 12:19 PM            On Time","Mon, Jan 2 3:08 PM","Mon, Jan 2 2:35 PM","2012-01-02 17:20:00+00","2012-01-02 17:19:00+00","2012-01-02 23:08:00+00","2012-01-02 22:35:00+00"
"2012-01-02","UA-382-IAD-LAX","C27","75B","Mon, Jan 2 12:20 PM","Mon, Jan 2 12:19 PM            On Time","Mon, Jan 2 3:08 PM","Mon, Jan 2 2:31 PM","2012-01-02 17:20:00+00","2012-01-02 17:19:00+00","2012-01-02 23:08:00+00","2012-01-02 22:31:00+00"
"2012-01-02","UA-858-PVG-SFO","71","96","Mon, Jan 2 1:45 PM","Mon, Jan 2 1:37 PM","Mon, Jan 2 8:27 AM","Mon, Jan 2 7:54 AM","2012-01-02 05:45:00+00","2012-01-02 05:37:00+00","2012-01-02 16:27:00+00","2012-01-02 15:54:00+00"
"2012-01-03","UA-938-DEN-ORD","B42","C9","Tue, Jan 3 4:04 PM","Tue, Jan 3 4:04 PM","Tue, Jan 3 7:38 PM","Tue, Jan 3 7:11 PM","2012-01-03 23:04:00+00","2012-01-03 23:04:00+00","2012-01-04 01:38:00+00","2012-01-04 01:11:00+00"
"2012-01-03","UA-3099-PHX-PHL","A3","C27","Tue, Jan 3 11:55 AM","Tue, Jan 3 12:12 PM","Tue, Jan 3 6:17 PM","Tue, Jan 3 6:34 PM","2012-01-03 18:55:00+00","2012-01-03 19:12:00+00","2012-01-03 23:17:00+00","2012-01-03 23:34:00+00"
"2012-01-03","UA-3925-IAD-ORF","A2A","--","Tue, Jan 3 8:42 AM","Tue, Jan 3 8:42 AM","Tue, Jan 3 9:55 AM","Tue, Jan 3 9:40 AM","2012-01-03 13:42:00+00","2012-01-03 13:42:00+00","2012-01-03 14:55:00+00","2012-01-03 14:40:00+00"
"2011-12-12","CO-1614-LAX-IAH","","","Mon., Dec.12, 2011 12:30 a.m.","Mon., Dec.12, 2011 12:46 a.m.","Mon., Dec.12, 2011 5:35 a.m.","Mon., Dec.12, 2011 5:42 a.m.","2011-12-12 08:30:00+00","2011-12-12 08:46:00+00","2011-12-12 11:35:00+00","2011-12-12 11:42:00+00"
"2012-01-03","UA-2515-DFW-CLT","E35","B10","Tue, Jan 3 7:00 AM","","Tue, Jan 3 10:26 AM","","2012-01-03 13:00:00+00","","2012-01-03 15:26:00+00",""
"2011-12-10","CO-50-CLE-EWR","","","Sat., Dec.10, 2011 2:55 p.m.","Sat., Dec.10, 2011 2:49 p.m.","Sat., Dec.10, 2011 4:39 p.m.","Sat., Dec.10, 2011 4:40 p.m.","2011-12-10 19:55:00+00","2011-12-10 19:49:00+00","2011-12-10 21:39:00+00","2011-12-10 21:40:00+00"
"2011-12-10","CO-1561-PHX-IAH","","","Sat., Dec.10, 2011 8:05 a.m.","Sat., Dec.10, 2011 8:02 a.m.","Sat., Dec.10, 2011 11:35 a.m.","Sat., Dec.10, 2011 11:21 a.m.","2011-12-10 15:05:00+00","2011-12-10 15:02:00+00","2011-12-10 17:35:00+00","2011-12-10 17:21:00+00"
"2011-12-12","CO-1088-CLE-IAH","","","Mon., Dec.12, 2011 8:40 a.m.","Mon., Dec.12, 2011 8:36 a.m.","Mon., Dec.12, 2011 10:54 a.m.","Mon., Dec.12, 2011 10:45 a.m.","2011-12-12 13:40:00+00","2011-12-12 13:36:00+00","2011-12-12 16:54:00+00","2011-12-12 16:45:00+00"
"2011-12-12","CO-16-LAX-EWR","","","Mon., Dec.12, 2011 10:25 a.m.","Mon., Dec.12, 2011 10:27 a.m.","Mon., Dec.12, 2011 6:44 p.m.","Mon., Dec.12, 2011 6:27 p.m.","2011-12-12 18:25:00+00","2011-12-12 18:27:00+00","2011-12-12 23:44:00+00","2011-12-12 23:27:00+00"
"2011-12-12","CO-58-DEN-IAH","","","Mon., Dec.12, 2011 11:25 a.m.","Mon., Dec.12, 2011 11:27 a.m.","Mon., Dec.12, 2011 2:50 p.m.","Mon., Dec.12, 2011 2:44 p.m.","2011-12-12 18:25:00+00","2011-12-12 18:27:00+00","2011-12-12 20:50:00+00","2011-12-12 20:44:00+00"
"2011-12-12","CO-1193-EWR-MCO","","","Mon., Dec.12, 2011 9:15 a.m.","Mon., Dec.12, 2011 9:13 a.m.","Mon., Dec.12, 2011 12:18 p.m.","Mon., Dec.12, 2011 12:03 p.m.","2011-12-12 14:15:00+00","2011-12-12 14:13:00+00","2011-12-12 17:18:00+00","2011-12-12 17:03:00+00"
"2011-12-12","CO-1023-IAH-DEN","","","Mon., Dec.12, 2011 11:40 a.m.","Mon., Dec.12, 2011 11:40 a.m.","Mon., Dec.12, 2011 1:17 p.m.","Mon., Dec.12, 2011 12:57 p.m.","2011-12-12 17:40:00+00","2011-12-12 17:40:00+00","2011-12-12 20:17:00+00","2011-12-12 19:57:00+00"
"2011-12-12","CO-1250-MIA-IAH","","","Mon., Dec.12, 2011 2:53 p.m.","Mon., Dec.12, 2011 2:59 p.m.","Mon., Dec.12, 2011 4:48 p.m.","Mon., Dec.12, 2011 4:48 p.m.","2011-12-12 19:53:00+00","2011-12-12 19:59:00+00","2011-12-12 22:48:00+00","2011-12-12 22:48:00+00"
"2011-12-12","CO-62-IAH-EWR","","","Mon., Dec.12, 2011 2:30 p.m.","Mon., Dec.12, 2011 2:29 p.m.","Mon., Dec.12, 2011 7:03 p.m.","Mon., Dec.12, 2011 6:49 p.m.","2011-12-12 20:30:00+00","2011-12-12 20:29:00+00","2011-12-13 00:03:00+00","2011-12-12 23:49:00+00"
"2011-12-12","CO-52-IAH-LAX","","","Mon., Dec.12, 2011 7:35 a.m.","Mon., Dec.12, 2011 7:41 a.m.","Mon., Dec.12, 2011 9:21 a.m.","Mon., Dec.12, 2011 9:31 a.m.","2011-12-12 13:35:00+00","2011-12-12 13:41:00+00","2011-12-12 17:21:00+00","2011-12-12 17:31:00+00"
"2011-12-12","CO-89-IAH-EWR","","","Mon., Dec.12, 2011 6:00 a.m.","Mon., Dec.12, 2011 6:05 a.m.","Mon., Dec.12, 2011 10:20 a.m.","Mon., Dec.12, 2011 10:22 a.m.","2011-12-12 12:00:00+00","2011-12-12 12:05:00+00","2011-12-12 15:20:00+00","2011-12-12 15:22:00+00"
"2011-12-12","CO-1090-BOS-IAH","","","Mon., Dec.12, 2011 9:45 a.m.","Mon., Dec.12, 2011 9:46 a.m.","Mon., Dec.12, 2011 1:16 p.m.","Mon., Dec.12, 2011 1:10 p.m.","2011-12-12 14:45:00+00","2011-12-12 14:46:00+00","2011-12-12 19:16:00+00","2011-12-12 19:10:00+00"
"2012-01-01","UA-664-ORD-PHL","B7","D9","Sun, Jan 1 2:00 PM","Sun, Jan 1 1:57 PM","Sun, Jan 1 5:03 PM","Sun, Jan 1 5:08 PM","2012-01-01 20:00:00+00","2012-01-01 19:57:00+00","2012-01-01 22:03:00+00","2012-01-01 22:08:00+00"
"2012-01-01","UA-414-LAX-SFO","67B","84","Sun, Jan 1 6:54 AM","Sun, Jan 1 6:53 AM","Sun, Jan 1 8:18 AM","Sun, Jan 1 8:04 AM","2012-01-01 14:54:00+00","2012-01-01 14:53:00+00","2012-01-01 16:18:00+00","2012-01-01 16:04:00+00"
"2012-01-01","UA-843-LAX-ORD","70A","C19","Sun, Jan 1 2:02 PM","Sun, Jan 1 2:01 PM","Sun, Jan 1 8:07 PM","Sun, Jan 1 8:08 PM","2012-01-01 22:02:00+00","2012-01-01 22:01:00+00","2012-01-02 02:07:00+00","2012-01-02 02:08:00+00"
"2012-01-01","UA-248-PHX-ORD","3","C26","Sun, Jan 1 12:52 PM","Sun, Jan 1 12:52 PM            On Time","Sun, Jan 1 5:12 PM","Sun, Jan 1 5:12 PM","2012-01-01 19:52:00+00","2012-01-01 19:52:00+00","2012-01-01 23:12:00+00","2012-01-01 23:12:00+00"
"2012-01-01","UA-248-PHX-ORD","3","C23","Sun, Jan 1 12:52 PM","Sun, Jan 1 1:23 PM            Delayed","Sun, Jan 1 5:12 PM","Sun, Jan 1 5:37 PM","2012-01-01 19:52:00+00","2012-01-01 20:23:00+00","2012-01-01 23:12:00+00","2012-01-01 23:37:00+00"
"2011-12-12","CO-45-EWR-MIA","","","Mon., Dec.12, 2011 4:00 p.m.","Mon., Dec.12, 2011 3:57 p.m.","Mon., Dec.12, 2011 7:05 p.m.","Mon., Dec.12, 2011 6:55 p.m.","2011-12-12 21:00:00+00","2011-12-12 20:57:00+00","2011-12-13 00:05:00+00","2011-12-12 23:55:00+00"
"2011-12-12","CO-63-EWR-IAH","","","Mon., Dec.12, 2011 5:25 p.m.","Mon., Dec.12, 2011 6:07 p.m.","Mon., Dec.12, 2011 8:22 p.m.","Mon., Dec.12, 2011 8:58 p.m.","2011-12-12 22:25:00+00","2011-12-12 23:07:00+00","2011-12-13 02:22:00+00","2011-12-13 02:58:00+00"
"2011-12-12","CO-50-CLE-EWR","","","Mon., Dec.12, 2011 2:55 p.m.","Mon., Dec.12, 2011 2:54 p.m.","Mon., Dec.12, 2011 4:49 p.m.","Mon., Dec.12, 2011 4:16 p.m.","2011-12-12 19:55:00+00","2011-12-12 19:54:00+00","2011-12-12 21:49:00+00","2011-12-12 21:16:00+00"
"2011-12-14","CO-58-DEN-IAH","","","Wed., Dec.14, 2011 11:25 a.m.","Wed., Dec.14, 2011 11:32 a.m.","Wed., Dec.14, 2011 2:50 p.m.","Wed., Dec.14, 2011 2:57 p.m.","2011-12-14 18:25:00+00","2011-12-14 18:32:00+00","2011-12-14 20:50:00+00","2011-12-14 20:57:00+00"
"2011-12-03","AA-1733-ORD-PHX","H6","4","12/03/2011 07:45 PM","12/03/2011 07:57 PM","12/03/2011 10:30 PM","","2011-12-04 01:45:00+00","2011-12-04 01:57:00+00","2011-12-04 05:30:00+00",""
"2011-12-03","AA-1733-ORD-PHX","H6","4","12/03/2011 07:45 PM","12/03/2011 07:57 PM","12/03/2011 10:30 PM","","2011-12-04 01:45:00+00","2011-12-04 01:57:00+00","2011-12-04 05:30:00+00",""
"2011-12-27","UA-3050-PHX-CLT","A3","B16","Tue, Dec 27 11:05 AM","Tue, Dec 27 11:05 AM","Tue, Dec 27 4:57 PM","Tue, Dec 27 4:52 PM","2011-12-27 18:05:00+00","2011-12-27 18:05:00+00","2011-12-27 21:57:00+00","2011-12-27 21:52:00+00"
"2012-01-01","UA-2906-PHL-MCO","A20","58","Sun, Jan 1 3:50 PM","Sun, Jan 1 3:50 PM            Delayed","Sun, Jan 1 6:23 PM","Sun, Jan 1 6:22 PM","2012-01-01 20:50:00+00","2012-01-01 20:50:00+00","2012-01-01 23:23:00+00","2012-01-01 23:22:00+00"
"2011-12-08","UA-233-LAX-JFK","70B","5","Thu, Dec 8 4:25 PM","Thu, Dec 8 4:25 PM","Fri, Dec 9 12:29 AM","Fri, Dec 9 12:29 AM","2011-12-09 00:25:00+00","2011-12-09 00:25:00+00","2011-12-09 05:29:00+00","2011-12-09 05:29:00+00"
"2011-12-08","UA-2945-PHL-CLT","B9","C8","Thu, Dec 8 12:00 AM","Thu, Dec 8 5:11 AM","Thu, Dec 8 1:45 PM","Thu, Dec 8 1:37 PM","2011-12-08 17:00:00+00","2011-12-08 10:11:00+00","2011-12-08 18:45:00+00","2011-12-08 18:37:00+00"
"2011-12-07","AA-1733-ORD-PHX","H15","6","12/07/2011 07:45 PM","12/07/2011 08:01 PM","12/07/2011 10:30 PM","","2011-12-08 01:45:00+00","2011-12-08 02:01:00+00","2011-12-08 05:30:00+00",""
"2011-12-08","UA-37-EWR-MCO","C137","39","Thu, Dec 8 1:29 PM","Thu, Dec 8 1:27 PM            On Time","Thu, Dec 8 4:17 PM","Thu, Dec 8 4:18 PM","2011-12-08 18:29:00+00","2011-12-08 18:27:00+00","2011-12-08 21:17:00+00","2011-12-08 21:18:00+00"
"2011-12-08","UA-37-EDI-EWR","--","B60","Thu, Dec 8 9:05 AM","Thu, Dec 8 9:01 AM","Thu, Dec 8 11:53 AM","Thu, Dec 8 12:01 PM","2011-12-08 09:05:00+00","2011-12-08 09:01:00+00","2011-12-08 16:53:00+00","2011-12-08 17:01:00+00"
"2011-12-08","UA-2708-EWR-CLT","A37","C13","Thu, Dec 8 2:55 PM","Thu, Dec 8 2:55 PM","Thu, Dec 8 4:53 PM","Thu, Dec 8 4:50 PM","2011-12-08 19:55:00+00","2011-12-08 19:55:00+00","2011-12-08 21:53:00+00","2011-12-08 21:50:00+00"
"2011-12-08","UA-2726-FLL-PHL","E3","C25","Thu, Dec 8 4:00 PM","Thu, Dec 8 4:00 PM","Thu, Dec 8 6:46 PM","Thu, Dec 8 6:13 PM","2011-12-08 21:00:00+00","2011-12-08 21:00:00+00","2011-12-08 23:46:00+00","2011-12-08 23:13:00+00"
"2011-12-08","UA-6273-YYC-SFO","--","76B","Thu, Dec 8 7:35 AM","Thu, Dec 8 7:24 AM","Thu, Dec 8 9:43 AM","Thu, Dec 8 9:03 AM","2011-12-08 14:35:00+00","2011-12-08 14:24:00+00","2011-12-08 17:43:00+00","2011-12-08 17:03:00+00"
"2011-12-14","CO-1193-EWR-MCO","","","Wed., Dec.14, 2011 9:15 a.m.","Wed., Dec.14, 2011 9:14 a.m.","Wed., Dec.14, 2011 12:18 p.m.","Wed., Dec.14, 2011 11:59 a.m.","2011-12-14 14:15:00+00","2011-12-14 14:14:00+00","2011-12-14 17:18:00+00","2011-12-14 16:59:00+00"
"2011-12-14","CO-1614-LAX-IAH","","","Wed., Dec.14, 2011 12:30 a.m.","Wed., Dec.14, 2011 12:32 a.m.","Wed., Dec.14, 2011 5:35 a.m.","Wed., Dec.14, 2011 5:18 a.m.","2011-12-14 08:30:00+00","2011-12-14 08:32:00+00","2011-12-14 11:35:00+00","2011-12-14 11:18:00+00"
"2011-12-14","CO-1023-IAH-DEN","","","Wed., Dec.14, 2011 11:40 a.m.","Wed., Dec.14, 2011 11:41 a.m.","Wed., Dec.14, 2011 1:17 p.m.","Wed., Dec.14, 2011 12:52 p.m.","2011-12-14 17:40:00+00","2011-12-14 17:41:00+00","2011-12-14 20:17:00+00","2011-12-14 19:52:00+00"
"2011-12-14","CO-1250-MIA-IAH","","","Wed., Dec.14, 2011 2:53 p.m.","Wed., Dec.14, 2011 2:51 p.m.","Wed., Dec.14, 2011 4:45 p.m.","Wed., Dec.14, 2011 4:37 p.m.","2011-12-14 19:53:00+00","2011-12-14 19:51:00+00","2011-12-14 22:45:00+00","2011-12-14 22:37:00+00"
"2011-12-14","CO-62-IAH-EWR","","","Wed., Dec.14, 2011 2:30 p.m.","Wed., Dec.14, 2011 2:31 p.m.","Wed., Dec.14, 2011 7:03 p.m.","Wed., Dec.14, 2011 6:45 p.m.","2011-12-14 20:30:00+00","2011-12-14 20:31:00+00","2011-12-15 00:03:00+00","2011-12-14 23:45:00+00"
"2011-12-14","CO-52-IAH-LAX","","","Wed., Dec.14, 2011 7:35 a.m.","Wed., Dec.14, 2011 7:40 a.m.","Wed., Dec.14, 2011 9:21 a.m.","Wed., Dec.14, 2011 9:23 a.m.","2011-12-14 13:35:00+00","2011-12-14 13:40:00+00","2011-12-14 17:21:00+00","2011-12-14 17:23:00+00"
"2011-12-14","CO-89-IAH-EWR","","","Wed., Dec.14, 2011 6:00 a.m.","Wed., Dec.14, 2011 5:57 a.m.","Wed., Dec.14, 2011 10:20 a.m.","Wed., Dec.14, 2011 10:27 a.m.","2011-12-14 12:00:00+00","2011-12-14 11:57:00+00","2011-12-14 15:20:00+00","2011-12-14 15:27:00+00"
