"eudract_number","open","single_blind","double_blind","randomised","crossover","parallel_group","arms","controlled","protocol_country_code"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2005-005217-38","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2005-005217-38","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2005-005377-29","Yes","No","No","Yes","No","No","2+","Yes","GB"
"2005-005377-29","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","IE"
"2005-005377-29","Yes","No","No","Yes","No","No","2+","Yes","NO"
"2006-000284-28","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-000720-13","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2006-000720-13","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-000720-13","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2006-000720-13","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2006-001228-37","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-001228-37","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-001228-37","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","ES"
"2006-001228-37","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-001671-38","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2006-001671-38","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2006-001671-38","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2006-001671-38","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2006-001671-38","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2006-001671-38","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","IE"
"2006-001865-41","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2006-002072-18","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-004532-73","Yes","No","No","No","No","No","2+","No","DE"
"2006-004633-15","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","EE"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2006-004756-20","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2006-005145-11","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-005751-16","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2006-005751-16","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2006-005751-16","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2006-005766-39","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2006-005766-39","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-005766-39","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-005766-39","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2006-005766-39","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-005834-19","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2006-006188-22","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2006-006188-22","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2006-006188-22","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","SK"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","ES"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","GB"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","BG"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","DE"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","HU"
"2006-006370-25","Yes","No","No","No","No","No","2+","No","AT"
"2006-006404-11","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-006538-16","Yes","No","No","No","No","No","2+","No","ES"
"2006-006538-16","Yes","No","No","No","No","No","2+","No","BG"
"2006-006538-16","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","FR"
"2006-006538-16","Yes","No","No","No","No","No","2+","No","DK"
"2006-006538-16","Yes","No","No","No","No","No","2+","No","NL"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2006-006852-37","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2006-006913-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","DE"
"2006-006913-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","NL"
"2006-006913-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","HU"
"2006-006913-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","GB"
"2006-007021-32","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-000180-13","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2007-000180-13","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-000180-13","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2007-000180-13","Yes","No","No","Yes","No","Yes","2+","Yes","GR"
"2007-000180-13","Yes","No","No","Yes","No","Yes","2+","Yes","BG"
"2007-000180-13","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2007-000281-21","Yes","No","No","No","No","No","2+","No","DE"
"2007-000323-17","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2007-000323-17","Yes","No","No","Yes","No","Yes","2+","Yes","FI"
"2007-000323-17","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-000323-17","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-000323-17","Yes","No","No","Yes","No","Yes","2+","Yes","LT"
"2007-000323-17","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","LV"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","EE"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","IE"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","SI"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2007-001283-73","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","IE"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","LT"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","IS"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","LV"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2007-001451-19","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","IS"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","IE"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","LV"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","LT"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2007-001452-39","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2007-001478-10","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2007-001478-10","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2007-001478-10","Yes","No","No","Yes","No","Yes","2+","Yes","PL"
"2007-001478-10","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2007-003227-20","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2007-003710-34","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","PT"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-003793-26","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2007-004126-24","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2007-004126-24","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2007-004126-24","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2007-004126-24","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2007-004126-24","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2007-004344-78","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-004517-34","Yes","No","No","Yes","No","No","2+","Yes","DE"
"2007-004517-34","Yes","No","No","Yes","No","No","2+","Yes","CZ"
"2007-004517-34","Yes","No","No","Yes","No","No","2+","Yes","AT"
"2007-004803-36","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2007-004803-36","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","LT"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2007-004803-36","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","Outside EU/EEA"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","PL"
"2007-005017-19","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","LT"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","GR"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2007-005129-31","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2007-005365-35","No","Yes","No","Yes","No","Yes","2+","Yes","SE"
"2007-005365-35","No","Yes","No","Yes","No","Yes","2+","Yes","GB"
"2007-005365-35","No","Yes","No","Yes","No","Yes","2+","Yes","DK"
"2007-005365-35","No","Yes","No","Yes","No","Yes","2+","Yes","DE"
"2007-005365-35","No","Yes","No","Yes","No","Yes","2+","Yes","FR"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","PT"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","GR"
"2007-005376-13","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
