"almondnuts","brazil_nuts","celery","code","eggs","gluten","hazelnut","ingredients","lupin","macadamia_nuts","milk","mustard","new_lang","nuts","peanut","sesame","source","soy"
"0","0","0","42256205","0","0","0","Duits: Zitronenschale gefriergetrocknet; gerieben 97%; Zitronenöl 3%","0","0","0","0","german: lemon peel freezer; grated 97%; lemon oil 3%","0","0","0","open_food_facts","0"
"0","0","0","42256205","0","0","0","97% citroenschil (gevriesdroogd; geraspt)|3% citroenolie","0","0","0","0","97% citroenschil (gevriesdroogd; geraspt)|3% citroenolie","0","0","0","piccantino","0"
"0","0","0","4104420137202","1","2","0","Duits: Dinkelmehl Type 812 Sporen: Eieren; Lupine","1","0","0","0","german: spelled flour type 812 trace: eggs; lupine","0","0","0","alnatura","0"
"0","0","0","4104420137202","1","2","0","DINKELMEHL*¹ Type 812 * aus biologischer Landwirtschaft ¹DINKEL IST EINE URWEIZENART. Kann Spuren von Ei enthalten","0","0","0","0","spelled flour*¹ type 812 * out of biological agriculture ¹DINKEL is one primal wheat. can traces von no contain","0","0","0","migipedia","0"
"0","0","0","4104420137202","1","2","0","Duits: Dinkelmehl Type 812 Sporen: Eieren; Lupine","1","0","0","0","german: spelled flour type 812 trace: eggs; lupine","0","0","0","open_food_facts","0"
"0","0","0","4104420137202","1","2","0","Speltbloem type 812","0","0","0","0","Speltbloem type 812","0","0","0","piccantino","0"
"0","2","0","4104420179189","0","1","1","Duits: Marzipanrohmasse 45% (Mandeln 52%; Rohrohrzucker; Invertzuckersirup; Wasser); weiße Schokolade 20% (Rohrohrzucker; Kakaobutter; Vollmilchpulver). Rohrohrzucker; Mohn 7%; Invertzuckersirup; Rosenwasser; Alkohol 0;4% Allergenen: Melk; Noten Sporen: Gluten; Noten; Sesamzaad; Soja","0","2","2","0","german: marzipan 45% (almond 52%; pipe sugar; invert sugar syrup; water); white chocolate 20% (pipe sugar; cocoa butter; milk powder). pipe sugar; poppy 7%; invert sugar syrup; rose water; alcohol 0;4% allergen: milk; nuts trace: gluten; nuts; sesame seed; soy bean","2","0","1","alnatura","1"
"0","2","0","4104420179189","0","1","1","Duits: Marzipanrohmasse 45% (Mandeln 52%; Rohrohrzucker; Invertzuckersirup; Wasser); weiße Schokolade 20% (Rohrohrzucker; Kakaobutter; Vollmilchpulver). Rohrohrzucker; Mohn 7%; Invertzuckersirup; Rosenwasser; Alkohol 0;4% Allergenen: Melk; Noten Sporen: Gluten; Noten; Sesamzaad; Soja","0","2","2","0","german: marzipan 45% (almond 52%; pipe sugar; invert sugar syrup; water); white chocolate 20% (pipe sugar; cocoa butter; milk powder). pipe sugar; poppy 7%; invert sugar syrup; rose water; alcohol 0;4% allergen: milk; nuts trace: gluten; nuts; sesame seed; soy bean","2","0","1","open_food_facts","1"
"0","0","1","4104420028425","0","0","0","Zutaten / Inhaltsstoffe: Dillspitzen*; Zwiebeln*; Tomate*; Lauch*; Pastinake*; Karotte*; Petersilie*. Kann Spuren von Sellerie und Senf enthalten. * aus kontrolliert biologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","1","ingredients / Inhaltsstoffe: dill tip*; onion*; tomato*; leek*; pastinake*; carrot*; parsley*. can traces von celery and mustard contain. * out of kontrolliert biological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420016149","0","2","0","Duits: Weizenmehl Type 1050 Allergenen: Gluten Sporen: Lupine; Soja","1","0","0","0","german: wheat flour type 1050 allergen: gluten trace: lupine; soy bean","0","0","0","alnatura","1"
"0","0","0","4104420016149","0","2","0","Zutaten / Inhaltsstoffe: Weizenmehl 1050**. Kann Spuren von Lupinen enthalten. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: wheat flour 1050**. can traces von lupins contain. * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","1"
"0","0","0","4104420016149","0","2","0","Duits: Weizenmehl Type 1050 Allergenen: Gluten Sporen: Lupine; Soja","1","0","0","0","german: wheat flour type 1050 allergen: gluten trace: lupine; soy bean","0","0","0","open_food_facts","1"
"0","0","0","4104420060180","0","0","0","Duits: Rooibos* *aus biologischer Landwirtschaft Herkunft: 5üdafrika","0","0","0","0","german: rooibos* *out of biological agriculture origin: 5 co -africa","0","0","0","alnatura","0"
"0","0","0","4104420060180","0","0","0","Zutaten / Inhaltsstoffe: Rooibos*. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: rooibos*. * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420060180","0","0","0","Duits: Rooibos* *aus biologischer Landwirtschaft Herkunft: 5üdafrika","0","0","0","0","german: rooibos* *out of biological agriculture origin: 5 co -africa","0","0","0","open_food_facts","0"
"0","0","0","4104420081901","0","2","0","Zutaten / Inhaltsstoffe: Apfelmark**; Apfelsaft**; Bananenpüree**; Wasser; Mangopüree**; Orangensaft**; Hafer**- (2;5%) und Dinkelvollkornflocken** (2;5%); Apfelsaftkonzentrat* (2;5%). Fruchtanteil: 80% * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: applemark**; apple juice**; Bananenpüree**; water; mango puree**; orange juice**; oats**- (2;5%) and wholemeal spelled flakes** (2;5%); apple juice concentrate* (2;5%). Fruchtanteil: 80% * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","2","4104420187375","0","2","0","Duits: Salami; Rindfleisch 96 %; Salz; Gewürze; Honig*; Rohrohrzucker; Maltodextrin*; Buchenholzrauch Sporen: de:gluten-soja-milch-sellerie-senf","0","0","1","2","german: salami; beef 96 %; salt; spices; honig*; pipe sugar; maltodextrin*; beech wood smoke trace: of:gluten-soja-milch-sellerie-senf","0","0","0","alnatura","1"
"0","0","1","4104420187375","0","2","0","Duits: Salami; Rindfleisch 96 %; Salz; Gewürze; Honig*; Rohrohrzucker; Maltodextrin*; Buchenholzrauch Sporen: de:gluten-soja-milch-sellerie-senf","0","0","1","1","german: salami; beef 96 %; salt; spices; honig*; pipe sugar; maltodextrin*; beech wood smoke trace: of:gluten-soja-milch-sellerie-senf","0","0","0","open_food_facts","1"
"0","0","0","4104420177123","0","0","0","Duits: Maronen* *aus biologischer Landwirtschaft ® Ingrédients: Marrons* *issus de l'agriculture biologique Sporen: de:keine","0","0","0","0","german: chestnut* *out of biological agriculture ® ingredients: chestnuts* *from of l'agriculture biological trace: of:no","0","0","0","alnatura","0"
"0","0","0","4104420177123","0","0","0","Maronen* *aus biologischer Landwirtschaft.","0","0","0","0","chestnut* *out of biological agriculture.","0","0","0","migipedia","0"
"0","0","0","4104420177123","0","0","0","Duits: Maronen* *aus biologischer Landwirtschaft ® Ingrédients: Marrons* *issus de l'agriculture biologique Sporen: de:keine","0","0","0","0","german: chestnut* *out of biological agriculture ® ingredients: chestnuts* *from of l'agriculture biological trace: of:no","0","0","0","open_food_facts","0"
"0","0","2","4104420173026","2","2","0","Frans: Carottes 23%; poivron 23%; champignons de Paris 20%; haricots verts 20%; oignons 9%; huile de tournesol; sel marin; huile d'olive; fécule de pomme de terre; thym; origan; romarin; poivre. Sporen: Selderij; Schaaldieren; Eieren; Vis; Gluten; Melk; Weekdieren; Mosterd; Soja","0","0","2","2","frans: carrots 23%; bell pepper 23%; mushrooms of paris 20%; beans green 20%; onions 9%; oil of sunflower; salt marin; oil d'olive; starch of apple of terre; thyme; oregano; rosemary; pepper. trace: celery; shellfish; eggs; vis; gluten; milk; molluscs; mustard; soy bean","0","0","0","alnatura","2"
"0","0","0","4104420173026","2","2","0","Frans: Carottes 23%; poivron 23%; champignons de Paris 20%; haricots verts 20%; oignons 9%; huile de tournesol; sel marin; huile d'olive; fécule de pomme de terre; thym; origan; romarin; poivre. Sporen: Selderij; Schaaldieren; Eieren; Vis; Gluten; Melk; Weekdieren; Mosterd; Soja","0","0","2","0","frans: carrots 23%; bell pepper 23%; mushrooms of paris 20%; beans green 20%; onions 9%; oil of sunflower; salt marin; oil d'olive; starch of apple of terre; thyme; oregano; rosemary; pepper. trace: celery; shellfish; eggs; vis; gluten; milk; molluscs; mustard; soy bean","0","0","0","open_food_facts","2"
"0","1","0","4104420007963","0","1","2","Frans: Chocolat au lait* 38 % (sucre de canne brut*; beurre de cacao*; poudre de lait entier*; pâte de cacao*); noix de cajou*; grillées 35 %; praliné 24 % (sucre de canne brut*; noisettes* 38 %; pâte de cacao*; beurre de cacao*); sucre de canne brut* Allergenen: Melk; Noten","0","2","2","0","frans: chocolat of lait* 38 % (sugar of cane brut*; butter of cacao*; powder of lait entire*; dough of cacao*); nut of cashew*; grilled 35 %; praline 24 % (sugar of cane brut*; hazelnut* 38 %; dough of cacao*; butter of cacao*); sugar of cane brut* allergen: milk; nuts","2","1","0","alnatura","1"
"0","1","0","4104420007963","0","1","2","Zutaten / Inhaltsstoffe: Vollmilchschokolade* 39% (Rohrohrzucker*; Kakaobutter*; Vollmilchpulver*; Kakaomasse*); Nougat* 26% (Rohrohrzucker*; Haselnüsse* 22%; Kakaomasse*; Kakobutter*) geröstete Cashewkerne* 19%; geröstete Macadamianüsse* 13%; Rohrohrzucker*. *aus ökologischer Landwirtschaft. Kann Spuren von erdnüssen und Gluten enthalten.",,"2","2","0","ingredients / Inhaltsstoffe: whole milk chocolate* 39% (pipe sugar*; cocoa butter*; milk powder*; cocoa*); nougat* 26% (pipe sugar*; hazelnuts* 22%; cocoa*; Kakobutter*) geröstete cashew seeds* 19%; geröstete macadamia nuts* 13%; pipe sugar*. *out of ecological agriculture. can traces von peanut and gluten contain.","2","1",,"dasistdrin","1"
"0","1","0","4104420007963","0","1","2","Frans: Chocolat au lait* 38 % (sucre de canne brut*; beurre de cacao*; poudre de lait entier*; pâte de cacao*); noix de cajou*; grillées 35 %; praliné 24 % (sucre de canne brut*; noisettes* 38 %; pâte de cacao*; beurre de cacao*); sucre de canne brut* Allergenen: Melk; Noten","0","2","2","0","frans: chocolat of lait* 38 % (sugar of cane brut*; butter of cacao*; powder of lait entire*; dough of cacao*); nut of cashew*; grilled 35 %; praline 24 % (sugar of cane brut*; hazelnut* 38 %; dough of cacao*; butter of cacao*); sugar of cane brut* allergen: milk; nuts","2","1","0","open_food_facts","1"
"2","0","0","4104420204775","0","0","2","Duits: Haselnusskerne 35%; Cashewnüsse 30%; Walnusskerne 15%; Mandeln weiß 10%; Mandeln braun 10%. Allergenen: Noten Sporen: Noten; Pinda; Sesamzaad","0","2","0","0","german: hazelnut seeds 35%; cashew nut 30%; walnut seeds 15%; almond white 10%; almond braun 10%. allergen: nuts trace: nuts; peanut; sesame seed","2","1","1","alnatura","0"
"2","0","0","4104420204775","0","0","2","Duits: Haselnusskerne 35%; Cashewnüsse 30%; Walnusskerne 15%; Mandeln weiß 10%; Mandeln braun 10%. Allergenen: Noten Sporen: Noten; Pinda; Sesamzaad","0","2","0","0","german: hazelnut seeds 35%; cashew nut 30%; walnut seeds 15%; almond white 10%; almond braun 10%. allergen: nuts trace: nuts; peanut; sesame seed","2","1","0","open_food_facts","0"
"2","0","0","4104420204775","0","0","2","35% hazelnootpitten|30% cashewnoten|15% walnootpitten|10% witte amandelen|10% bruine amandelen","0","2","0","0","35% hazelnootpitten|30% cashew nut|15% walnootpitten|10% witte almond|10% bruine almond","2","1","0","piccantino","0"
"0","0","0","4104420145382","0","2","0","100% gerstemoutmeel","0","0","0","0","100% barley malt flour","0","0","0","piccantino","0"
"0","0","2","4104420028449","0","0","0","Duits: Schwarzer Pfeffer Sporen: Selderij; Mosterd","0","0","0","2","german: black pepper trace: celery; mustard","0","0","0","alnatura","0"
"0","0","0","4104420028449","0","0","0","Zutaten / Inhaltsstoffe: Schwarzer Pfeffer*. * aus kontrolliert biologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: black pepper*. * out of kontrolliert biological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420028449","0","0","0","Duits: Schwarzer Pfeffer Sporen: Selderij; Mosterd","0","0","0","0","german: black pepper trace: celery; mustard","0","0","0","open_food_facts","0"
"0","0","2","4104420028463","0","0","0","Duits: Schwarzer Pfeffer Sporen: Selderij; Mosterd","0","0","0","2","german: black pepper trace: celery; mustard","0","0","0","alnatura","0"
"0","0","0","4104420028463","0","0","0","Zutaten / Inhaltsstoffe: Schwarzer Pfeffer*. * aus kontrolliert biologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: black pepper*. * out of kontrolliert biological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","1","4104420028463","0","0","0","Duits: Schwarzer Pfeffer Sporen: Selderij; Mosterd","0","0","0","1","german: black pepper trace: celery; mustard","0","0","0","open_food_facts","0"
"0","0","0","4104420045866","0","0","0","Duits: Rote Bete* 35 %; Sonnenblumenkerne*; Sonnenblumenöl *; Zitronensaft* aus Zitronensaftkonzentrat; Wasser; Meerrettich* 5%; Rote-Bete-Saftkonzentrat* 3 %; Speisesalz; Branntweinessig*; Verdickungsmittel: Guarkernmehl*. Allergenen: Mosterd","0","0","0","0","german: rote full* 35 %; sunflower seeds*; sunflower oil *; lemon juice* out of lemon juice concentrate; water; horseradish* 5%; rote-full-Saftkonzentrat* 3 %; salt; brandy vinegar*; thickener: guar gum*. allergen: mustard","0","0","0","alnatura","0"
"0","0","0","4104420045866","0","0","0","Zutaten / Inhaltsstoffe: Rote Bete* (35%); Sonnenblumenkerne*; Sonnenblumenöl*; Zitronensaft* aus Zitronensaftkonzentrat*; Wasser; Meerrettich* (5%); Rote-Bete-Saftkonzentrat* (3%); Meersalz; Branntweinessig*; Verdickungsmittel Guarkernmehl*. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: rote full* (35%); sunflower seeds*; sunflower oil*; lemon juice* out of lemon juice concentrate*; water; horseradish* (5%); rote-full-Saftkonzentrat* (3%); sea-salt; brandy vinegar*; thickener guar gum*. * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420045866","0","0","0","Rote Bete* 36 %; Sonnenblumenkerne* 20%; Sonnenblumenöl*; Zitronensaft* aus Zitronensaftkonzentrat*; Wasser; Meerrettich* 5% ;Rote-Bete-Saftkonzentrat* 3 %; Speisesalz; Branntweinessig* ;Verdickungsmittel: Guarkernmehl* *aus biologischer Landwirtschaft.","0","0","0","0","rote full* 36 %; sunflower seeds* 20%; sunflower oil*; lemon juice* out of lemon juice concentrate*; water; horseradish* 5% ;rote-full-Saftkonzentrat* 3 %; salt; brandy vinegar* ;thickener: guar gum* *out of biological agriculture.","0","0","0","migipedia","0"
"0","0","0","4104420045866","0","0","0","Duits: Rote Bete* 35 %; Sonnenblumenkerne*; Sonnenblumenöl *; Zitronensaft* aus Zitronensaftkonzentrat; Wasser; Meerrettich* 5%; Rote-Bete-Saftkonzentrat* 3 %; Speisesalz; Branntweinessig*; Verdickungsmittel: Guarkernmehl*. Allergenen: Mosterd","0","0","0","0","german: rote full* 35 %; sunflower seeds*; sunflower oil *; lemon juice* out of lemon juice concentrate; water; horseradish* 5%; rote-full-Saftkonzentrat* 3 %; salt; brandy vinegar*; thickener: guar gum*. allergen: mustard","0","0","0","open_food_facts","0"
"0","0","1","4104420187337","0","1","0","Duits: Schweinefleisch; Salz; Gewürze; (enthalten Senf); Maltodextrin; Honig*; Rohrohrzucker* aus biologischer Landwirtschaft 100g Wurst wurden aus 145g Fleisch hergestellt. Kann Spuren von Gluten; Soja; Milch und Sellerie enthalten. Allergenen: Mosterd Sporen: Selderij; Gluten; Melk; Soja","0","0","1","2","german: pork meat; salt; spices; (contain mustard); maltodextrin; honig*; pipe sugar* out of biological agriculture 100g sausage became out of 145g meat manufactured. can traces von gluten; soy bean; milk and celery contain. allergen: mustard trace: celery; gluten; milk; soy bean","0","0","0","alnatura","1"
"0","0","1","4104420187337","0","1","0","Duits: Schweinefleisch; Salz; Gewürze; (enthalten Senf); Maltodextrin; Honig*; Rohrohrzucker* aus biologischer Landwirtschaft 100g Wurst wurden aus 145g Fleisch hergestellt. Kann Spuren von Gluten; Soja; Milch und Sellerie enthalten. Allergenen: Mosterd Sporen: Selderij; Gluten; Melk; Soja","0","0","1","0","german: pork meat; salt; spices; (contain mustard); maltodextrin; honig*; pipe sugar* out of biological agriculture 100g sausage became out of 145g meat manufactured. can traces von gluten; soy bean; milk and celery contain. allergen: mustard trace: celery; gluten; milk; soy bean","0","0","0","open_food_facts","1"
"0","0","0","4104420142282","0","0","0","Duits: Wasser; Kichererbsen 21%; Kokosmilch 11% (Kokonussextrakt 57%; Wasser); Karotten 9%; Süßkartoffeln 7%; Mangomark 7%; Zwiebeln; Erbsen 4%; Reismehl; Meersalz; Gewürze (Kurkuma; Knoblauch; Kreuzkümmel; Ingwer; Kardamom; Chili; Pfeffer; Koriander)","0","0","0","0","german: water; chickpeas 21%; coconut milk 11% (coconus extract 57%; water); carrot 9%; sweet potatoes 7%; mango pulp 7%; onion; peas 4%; rice flour; sea-salt; spices (turmeric; garlic; cumin; ginger; cardamom; chili; pepper; cilantro)","0","0","0","alnatura","0"
"0","0","0","4104420142282","0","0","0","Wasser; Kichererbsen* 21 %; Kokosmilch* 11 % (Kokosnussextrakt*; Wasser); Karotten* 9 %; Süßkartoffeln* 7 %; Mangomark* 7 %; Zwiebeln* 5 %; Erbsen* 4 %; Reismehl*; Meersalz; Gewürze* (Kurkuma*; Knoblauch*; Kreuzkümmel*; Ingwer*; Cardamom*; Chili*; Pfeffer*; Koriander*) *aus biologischer Landwirtschaft.","0","0","0","0","water; chickpeas* 21 %; coconut milk* 11 % (Kokosnussextrakt*; water); carrot* 9 %; sweet potatoes* 7 %; mango pulp* 7 %; onion* 5 %; peas* 4 %; rice flour*; sea-salt; spices* (turmeric*; garlic*; cumin*; ginger*; Cardamom*; chili*; pepper*; cilantro*) *out of biological agriculture.","0","0","0","migipedia","0"
"0","0","0","4104420142282","0","0","0","Duits: Wasser; Kichererbsen 21%; Kokosmilch 11% (Kokonussextrakt 57%; Wasser); Karotten 9%; Süßkartoffeln 7%; Mangomark 7%; Zwiebeln; Erbsen 4%; Reismehl; Meersalz; Gewürze (Kurkuma; Knoblauch; Kreuzkümmel; Ingwer; Kardamom; Chili; Pfeffer; Koriander)","0","0","0","0","german: water; chickpeas 21%; coconut milk 11% (coconus extract 57%; water); carrot 9%; sweet potatoes 7%; mango pulp 7%; onion; peas 4%; rice flour; sea-salt; spices (turmeric; garlic; cumin; ginger; cardamom; chili; pepper; cilantro)","0","0","0","open_food_facts","0"
"0","0","0","4104420142282","0","0","0","water|21% kikkererwten|11% kokosmelk|kokos extract|water|9% wortel|7% zoete aardappelen|7% mangopulp|5% uien|4% erwten|rijstmeel|zeezout|kruiden|kurkuma|knoflook|komijn|gember|kardemom|chili|peper|koriander","0","0","0","0","water|21% chickpeas|11% kokosmelk|coconut extract|water|9% wortel|7% zoete potatoes|7% mangopulp|5% onions|4% peas|rice flour|sea salt|spices|turmeric|knoflook|komijn|gember|kardemom|chili|peper|cilantro","0","0","0","piccantino","0"
"0","0","0","4104420141261","0","0","0","Duits: Sauerrahmbutter","0","0","0","0","german: sour cream butter","0","0","0","alnatura","0"
"0","0","0","4104420141261","0","0","0","Duits: Sauerrahmbutter","0","0","0","0","german: sour cream butter","0","0","0","open_food_facts","0"
"2","0","0","4104420007987","2","2","2","Duits: Rohrohrzucker; Zartbitterschokolade 20% (Kakaomasse; Rohrohrzucker; Kakaobutter);Hühnereiweiß; Weizenvollkornmehl; Marzipan (Mandeln 65%; Rohrohrzucker; Wasser; Invertzuckersirup); Roggenvollkornmehl; Vollei; Honig; Mandeln 5%; Orangenschalen kandiert (Glukose-Fruktose-Sirup; Orangenschalen; Zitronensaft); Backoblaten (Weizenmehl; Kartoffelstärke); Zuckerrübensirup; Agavendicksaft; Haselnüsse; Apfelfaser; Süßlupinenmehl; Lebkuchengewürze; Verdickungsmittel: Guarkernmehl; Meersalz Allergenen: Eieren; Gluten; Lupine; Noten Sporen: Melk; Noten; Soja","2","1","1","0","german: pipe sugar; daring chocolate 20% (cocoa; pipe sugar; cocoa butter);chicken; full grain flour; marzipan (almond 65%; pipe sugar; water; invert sugar syrup); ryean and; volleyy; honig; almond 5%; oranga candied (Glukose-Fruktose-Sirup; oranga; lemon juice); baking (wheat flour; potato strength); sugar beet syrup; agave syrup; hazelnuts; apfelfaser; sweet lupine flour; gingerbread spices; thickener: guar gum; sea-salt allergen: eggs; gluten; lupine; nuts trace: milk; nuts; soy bean","2","0","0","alnatura","1"
"2","0","0","4104420007987","2","2","2","Duits: Rohrohrzucker; Zartbitterschokolade 20% (Kakaomasse; Rohrohrzucker; Kakaobutter);Hühnereiweiß; Weizenvollkornmehl; Marzipan (Mandeln 65%; Rohrohrzucker; Wasser; Invertzuckersirup); Roggenvollkornmehl; Vollei; Honig; Mandeln 5%; Orangenschalen kandiert (Glukose-Fruktose-Sirup; Orangenschalen; Zitronensaft); Backoblaten (Weizenmehl; Kartoffelstärke); Zuckerrübensirup; Agavendicksaft; Haselnüsse; Apfelfaser; Süßlupinenmehl; Lebkuchengewürze; Verdickungsmittel: Guarkernmehl; Meersalz Allergenen: Eieren; Gluten; Lupine; Noten Sporen: Melk; Noten; Soja","2","1","1","0","german: pipe sugar; daring chocolate 20% (cocoa; pipe sugar; cocoa butter);chicken; full grain flour; marzipan (almond 65%; pipe sugar; water; invert sugar syrup); ryean and; volleyy; honig; almond 5%; oranga candied (Glukose-Fruktose-Sirup; oranga; lemon juice); baking (wheat flour; potato strength); sugar beet syrup; agave syrup; hazelnuts; apfelfaser; sweet lupine flour; gingerbread spices; thickener: guar gum; sea-salt allergen: eggs; gluten; lupine; nuts trace: milk; nuts; soy bean","2","0","0","open_food_facts","1"
"0","2","0","4104420186316","0","0","2","Engels: water; almonds 7%; sea salt Allergenen: Noten","0","0","0","0","english: water; almonds 7%; sea salt allergen: nuts","2","0","0","alnatura","0"
"0","2","0","4104420186316","0","0","2","Wasser; MANDELN* 7 %; Meersalz *aus biologischer Landwirtschaft.","0","0","0","0","water; almond* 7 %; sea-salt *out of biological agriculture.","2","0","0","migipedia","0"
"0","2","0","4104420186316","0","0","2","Engels: water; almonds 7%; sea salt Allergenen: Noten","0","0","0","0","english: water; almonds 7%; sea salt allergen: nuts","2","0","0","open_food_facts","0"
"0","2","0","4104420186316","0","0","2","water|7% amandelen|zeezout","0","0","0","0","water|7% almond|sea salt","2","0","0","piccantino","0"
"0","0","0","4104420071629","0","0","0","Duits: Wasser; Apfelsaft 10%; Apfelsaftkonzentrat 7%; Zitronensaft 2% aus Zitronensaftkonzentrat; Grüntee-Extrat 0;14%; Zitronenextrakt; Zitronengrasöl","0","0","0","0","german: water; apple juice 10%; apple juice concentrate 7%; lemon juice 2% out of lemon juice concentrate; Grüntee-Extrat 0;14%; lemon extract; lemon grass oil","0","0","0","alnatura","0"
"0","0","0","4104420071629","0","0","0","Zutaten / Inhaltsstoffe: Grüntee* 76% (Wasser; Grüntee-Extrakt*); Apfelsaft* 14%; Traubensaftkonzentrat* 7%; Zitronensaft* 2% aus Zitronensaftkonzentrat; Zitronenextrakt*; Zitronengrasöl*. *aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: tea* 76% (water; tea-Extrakt*); apple juice* 14%; grape juice concentrate* 7%; lemon juice* 2% out of lemon juice concentrate; lemon extract*; lemon grass oil*. *out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
