"code","gluten","eggs","nuts","milk","peanut","soy"
4104420137547.0,0.0,0.0,0.0,2.0,0.0,0.0
4104420137905.0,2.0,0.0,2.0,1.0,0.0,1.0
4104420138681.0,2.0,0.0,0.0,0.0,0.0,0.0
4104420140660.0,2.0,0.0,1.0,1.0,0.0,1.0
4104420140929.0,0.0,0.0,0.0,2.0,0.0,0.0
4104420142640.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420142787.0,1.0,0.0,1.0,0.0,1.0,1.0
4104420144149.0,1.0,0.0,1.0,1.0,0.0,1.0
4104420145122.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420145900.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420145962.0,2.0,1.0,1.0,1.0,0.0,1.0
4104420146860.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420173279.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420173514.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420179080.0,2.0,0.0,1.0,2.0,0.0,1.0
4104420179189.0,1.0,0.0,2.0,2.0,0.0,1.0
4104420179417.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420181007.0,2.0,0.0,1.0,1.0,0.0,1.0
4104420182479.0,0.0,0.0,2.0,1.0,1.0,0.0
4104420183223.0,2.0,2.0,1.0,2.0,0.0,1.0
4104420184039.0,0.0,0.0,2.0,0.0,0.0,0.0
4104420184497.0,0.0,0.0,1.0,1.0,1.0,1.0
4104420187412.0,1.0,0.0,0.0,1.0,0.0,1.0
4104420188174.0,0.0,0.0,0.0,1.0,0.0,1.0
4104420204041.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420204225.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420205444.0,0.0,0.0,1.0,0.0,0.0,0.0
4104420206618.0,0.0,0.0,0.0,0.0,0.0,1.0
4104420207325.0,0.0,0.0,2.0,0.0,0.0,0.0
4104420208247.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420209466.0,2.0,1.0,1.0,1.0,0.0,1.0
4104420209756.0,0.0,0.0,0.0,2.0,0.0,0.0
4104420214040.0,1.0,0.0,0.0,0.0,0.0,0.0
4104420214620.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420215856.0,0.0,0.0,0.0,2.0,0.0,0.0
4104420218536.0,2.0,1.0,1.0,1.0,0.0,1.0
4104420220355.0,0.0,0.0,0.0,2.0,0.0,0.0
4104420220713.0,0.0,0.0,1.0,1.0,2.0,0.0
4104420221710.0,0.0,0.0,1.0,0.0,0.0,1.0
4104420221833.0,2.0,0.0,1.0,1.0,0.0,1.0
4104420222748.0,1.0,0.0,2.0,2.0,0.0,0.0
4104420223530.0,0.0,0.0,0.0,0.0,0.0,0.0
4104420225770.0,2.0,1.0,1.0,1.0,0.0,1.0
4104420225800.0,2.0,1.0,2.0,1.0,0.0,1.0
42239499.0,2.0,0.0,2.0,0.0,0.0,2.0
42256199.0,0.0,0.0,1.0,0.0,0.0,1.0
42330660.0,2.0,0.0,0.0,0.0,0.0,0.0
42373186.0,2.0,0.0,1.0,0.0,0.0,1.0
