"feature","chi2_score_parallel_group","p_values_parallel_group","sample_count_parallel_group","correlation_to_parallel_group"
"access",15.019533167368401,0.00010640412390097298,206,0.059876047919082215
"expanded",15.002404443140598,0.00010737428036933389,146,-0.045049153684694136
"refractory",14.746341982502727,0.00012298590203332143,2227,-0.05438004036838265
"pet",14.647971235759067,0.00012957404031968518,761,-0.04144115313879065
"added",14.409847435066105,0.0001470314267907473,470,-0.2517968789100192
"activity",14.249204229591292,0.00016012850002132572,905,-0.04476710477040914
"aleatorizado",14.218316574917973,0.0001627783321415403,5024,-0.05239303670485438
"lymphoblastic",13.9906792188849,0.0001837191262785791,210,-0.05136202545057032
"cohort",13.94528267709903,0.00018820935326898457,343,0.04161139586569337
"anaplastic",13.80259767021708,0.00020305528562874914,129,-0.11775689202778374
"pharmacokinetics",13.699236273256208,0.00021454171513855426,2519,-0.04566085796375872
"advanced",13.54060406889122,0.0002334572422207503,4222,-0.0723360628534676
"leukemia",13.517421009956653,0.00023635901124473548,1212,-0.053525159084945956
"b",13.332305478283399,0.0002608725867523214,60465,0.05137271662619177
"hemolytic",13.086545480056785,0.00029742434373255996,49,0.07943847726657806
"events",12.988166035410746,0.00031346584888845185,726,0.07101907378525524
"rollover",12.82827979293365,0.0003414195026929451,104,0.04300469146523853
"add",12.753527400042268,0.00035533839972684084,2523,0.08482563289720521
"methotrexate",12.709678902117702,0.00036376788329245304,989,0.07149589496843922
"nhl",12.652296318477584,0.0003751046621794983,112,0.038552168010967884
"coronary",12.342714583381348,0.000442710792645008,1011,0.0549284686098359
"young",11.813132797816937,0.000588143858830351,269,-0.029975361612532784
"cell",11.763984509033708,0.0006038781848286379,5195,0.04994600641747793
"ahus",11.584152890248095,0.0006651622774979659,40,-0.03869022746549687
"bid",11.56326042624639,0.0006726779419939606,1475,-0.040892290730165606
"liraglutide",11.500228728067679,0.0006958762624916554,297,-0.246612555494487
"comparator",11.486624056857114,0.0007009884706459563,741,-0.03426435260488249
"masked",11.421161884093937,0.000726122717676598,730,0.10377419112261031
"brazo",11.340014739689899,0.000758547219496367,197,0.3030597279695065
"plus",11.331370982438795,0.000762086170654987,3099,-0.07279471468198606
"chronos",11.292552053059298,0.0007781863831724928,34,-0.06757046810720291
"aln",11.242477810851852,0.0007994635708969066,226,-0.04621058904336725
"pharmacokinetic",11.159447609738589,0.0008360481306490432,2940,-0.04496353806978777
"controlado",11.11325039576363,0.0008571314310464352,3237,-0.04536077404853415
"linfoma",11.040769381102715,0.0008912986445426106,288,-0.05839589057503955
"pilot",11.020366874036782,0.0009011623364381668,774,-0.04593610670926475
"tumor",10.890854937727475,0.0009664021194463347,1135,0.26502705436151536
"prevention",10.865823305356336,0.000979551946536408,1729,0.048556022471301384
"pharmacodynamics",10.769433189858468,0.0010319010552465016,764,0.05080600313268628
"juvenile",10.737893194080028,0.0010496376663343757,165,0.12407635151086044
"multicohort",10.667673907095278,0.0010902413326215245,20,0.27370733183328905
"iii",10.651970232586825,0.0010995371327208057,9940,0.057523848418820266
"copanlisib",10.611281959872086,0.0011239973491696245,39,-0.05806657399904999
"large",10.544631643483758,0.0011652604334387963,386,0.04744106587572556
"agent",10.398736940315619,0.0012610153937463874,738,-0.06992897198511219
"driven",10.346271840920036,0.001297364458619609,311,-0.040985083995135924
"glycemic",10.281488969771315,0.0013437146723796031,584,-0.040087970764122016
"roll",10.25155249622085,0.0013656961746463087,27404,-0.17395172198580444
"bax",10.251030385285013,0.001366082758680922,87,-0.07644587263275171
"carcinoma",10.228668810267866,0.0013827442298944045,2193,-0.05579123823476865
"feasibility",10.192350991191073,0.0014102440191095522,189,-0.11685106589191732
"g",10.189119052186669,0.0014127179099447267,54930,-0.04434439398793236
"multicentre",10.120233939052362,0.0014665038459361675,3758,-0.0750529475119315
"panobinostat",10.114991251363236,0.0014706813176936862,73,0.09604172722212775
"regimens",9.96700380654473,0.001593706310525974,1006,-0.04864787460930012
"multinational",9.89629867793192,0.001656115342256498,1564,0.11669507555955348
"nonsmall",9.878228556496175,0.0016724587601834161,18,-0.05725083632870147
"unico",9.703465101195855,0.0018392087791473893,15,-0.06582793327405029
"expansion",9.670678071800902,0.0018723219702892052,64,0.12039722701403337
"harboring",9.659295674805382,0.0018839583706006249,106,0.06494881641370961
"grupo",9.573767397735653,0.001973773255283872,1838,-0.04532141585888852
