"feature","chi2_score_elderly","p_values_elderly","sample_count_elderly","correlation_to_elderly"
"cftr",25.568871223364333,4.268706344097557e-07,50,0.06655246747411274
"adhd",25.195352684751793,5.180688596983648e-07,37,-0.030086982162489857
"explained",24.68539080013985,6.749386026680064e-07,228,0.1096155075957529
"gestation",24.234311614651208,8.529905236886698e-07,260,-0.06837855951758283
"measurable",23.760331145763192,1.091081412315804e-06,2041,-0.12073359796890809
"shunt",23.61274513954155,1.1780465972574418e-06,32,0.14619740840237289
"histologically",23.168397946286525,1.4841640421901e-06,1904,-0.09537671948355642
"chemotherapy",22.93994730201547,1.671419977007972e-06,1557,0.09303759207949053
"disease",22.683288273212522,1.9102200800312046e-06,5274,-0.05569126610737291
"recist",22.596358599090788,1.9986305726300648e-06,1448,-0.048995574337374934
"height",22.20505592487154,2.4502770812972186e-06,208,-0.04027984867714154
"fibroid",22.023588205371922,2.693201940533781e-06,34,-0.050099146681979866
"spms",21.86605516410296,2.923601373334174e-06,39,-0.1299561811183681
"epilepsy",21.862882528319822,2.928439216480168e-06,212,-0.06152889311132698
"schizophrenia",21.556935978121267,3.434782189341089e-06,101,0.13416208410977873
"young",21.50616871859099,3.5269229402444667e-06,188,-0.04615274464873084
"sma",21.370890935961054,3.784740496491855e-06,999,0.18642316108481885
"representatives",21.238277694294496,4.0558322275001665e-06,79,-0.06510472021873633
"therapy",21.13337648716023,4.284012846027416e-06,5320,-0.10787925559778816
"neuroblastoma",21.023837746752406,4.536044605723592e-06,40,-0.17426892695687338
"adolescents",20.533244812519044,5.8604515835782654e-06,92,-0.07386150123385762
"seizures",20.458600293325166,6.093512294877668e-06,224,0.07092968557084874
"remitting",20.076371651301372,7.441032976010198e-06,76,-0.05551943275208277
"pollen",20.047987561909192,7.5522965640066555e-06,33,-0.08744926936105689
"caregivers",19.893775205147968,8.186645176521585e-06,80,-0.09300097821100449
"cf",19.690447534140127,9.105539254311538e-06,782,-0.08502813555381805
"nsclc",19.6289861913538,9.403177794679522e-06,481,-0.05723079857506392
"vwf",19.579508010987222,9.649868520901112e-06,26,-0.10786104349326162
"weight",19.344164109725458,1.0915232212260293e-05,942,0.10728298187031864
"paediatric",19.033034015049402,1.2847494766332426e-05,52,-0.1044268831719381
"nature",18.9920646381837,1.3126321924730282e-05,519,-0.07078520145249215
"enhancing",18.9780567345022,1.3223043789072286e-05,66,-0.06271047539414064
"mg",18.963551969816315,1.3323950747829344e-05,2745,-0.07052605013160415
"girls",18.922740463817767,1.3612037368132348e-05,55,-0.050959114664252125
"ilar",18.771861266704036,1.4732481594137135e-05,200,0.07021316626338694
"relapse",18.509657160954106,1.6904559247643843e-05,937,-0.12116293409794981
"oncology",18.4172592001674,1.7744348034363348e-05,1399,-0.06643460888285484
"eastern",18.276495130650797,1.9105000620575356e-05,1386,-0.10371343168281869
"juvenile",18.092259069654435,2.1045528999717297e-05,29,-0.06110042754433152
"menstrual",17.977826414499056,2.2349320166748015e-05,298,-0.08839167768994352
"disorder",17.74519903450888,2.5255403498589675e-05,430,-0.04583353334215875
"cgi",17.347927179322255,3.1123754814666533e-05,101,-0.09115941238151849
"statistical",17.19160545512671,3.379263157571633e-05,106,-0.12818519824086577
"performance",17.18263600903822,3.39525647985837e-05,2912,-0.04762228958403635
"status",17.01830614822504,3.702116352154383e-05,3593,-0.07372798110830267
"gde",16.75748455228012,4.247438768689694e-05,33,-0.09695762485361338
"rms",16.613697396936168,4.581891742293883e-05,679,-0.058307017170876656
"ivf",16.513711878345013,4.829951804709486e-05,19,-0.2698968681901067
"viii",16.479853130871266,4.9169792823968e-05,210,-0.12151943522728396
"ra",16.42217888266614,5.06886605457402e-05,12973,-0.051078436400125625
"dysmenorrhea",16.397868435593594,5.134293516831275e-05,21,-0.14251184987448748
"platinum",16.212004570763604,5.663409276564104e-05,443,-0.12062408019005305
"advanced",15.839694496100368,6.894096678451905e-05,1166,-0.10736630596580937
"turn",15.78208339307803,7.107236351435145e-05,375,-0.048609540593096766
"cooperative",15.656127486616905,7.596604934742527e-05,1460,0.15192993832532734
"polyarticular",15.644501319659026,7.643449929245549e-05,28,-0.055157332733117036
"depressive",15.58919913287557,7.870287760523701e-05,121,-0.05141287269986517
"psa",15.575001220393405,7.929609317782836e-05,250,-0.06436083767259473
"padres",15.438356546227766,8.52404826483018e-05,55,-0.05521933672288885
"concentrate",15.401229386279924,8.693171838977966e-05,99,-0.05729900637493
"subject",15.350111509879829,8.931565625310175e-05,6227,-0.09864373721139907
"rop",15.244589994407578,9.444690497633355e-05,4155,-0.06164286081457676
"tissue",15.103453474823459,0.00010177692777589333,1051,-0.09461769739597224
"panss",15.094892996088348,0.00010223950911150707,64,-0.10007458232231994
"appointed",14.775193464805845,0.00012111836997450108,33,-0.11956827214844398
"schwartz",14.756354922699407,0.0001223345110665132,60,-0.0730010278403456
"laq",14.680932429054522,0.0001273278814338416,470,-0.04213086368228134
"progression",14.652808918738138,0.00012924189264655554,1174,-0.05604346120802113
"hofh",14.57825355462451,0.00013445730096651543,16,-0.05614704014043132
"hyperplasia",14.46566048684541,0.00014273810118706987,30,-0.0865666453430137
"cytologically",14.453135897213901,0.00014369041669537653,916,0.05954784293203076
"gh",14.350888238388542,0.00015170810585228402,5409,-0.06671977345732127
"clotting",14.301893721720788,0.00015570815570417143,45,-0.1395030937613695
"islet",14.276123733131328,0.00015785454201165466,23,-0.04455863670807392
"icsi",14.156781683345601,0.00016818974247845828,33,-0.1055642846506851
"bethesda",14.001430328812646,0.00018267162037603207,56,-0.28268786443202143
"endometrial",13.78097401201894,0.00020540590977778718,70,-0.16393366760297717
"egfr",13.685685776098694,0.000216095337167475,509,-0.07276091160783879
"smear",13.570088558797892,0.00022981853677417533,58,0.08309571082508117
"adenocarcinoma",13.499535930130763,0.00023862245958643748,594,0.08282614483986105
"attack",13.436839579129044,0.00024673092475943837,207,-0.14518766334339356
"psoriasis",13.313869374422472,0.0002634501355254234,279,-0.06244697742581614
"dmd",13.307711882719186,0.00026431671962334644,16,0.14218829449215195
"adjuvant",13.236973391416974,0.00027448074909219145,679,0.09030609316937069
"gender",13.18377087594462,0.00028238396432394875,211,-0.09372170871676314
"preterm",13.181287308361021,0.0002827584514486456,19,0.0803275651417959
"products",13.145705464277526,0.00028817899282957207,205,0.14536956291908687
"eb",13.114794478471241,0.00029297294753401367,1940,0.053633530097129754
"serum",13.107318637463015,0.0002941443922970159,3191,0.10071327878954545
"thrombosis",13.012309313162353,0.0003094500865989108,65,0.09991778593635545
"coronary",12.833355690334011,0.0003404945506882366,341,-0.0545531588011397
"essure",12.81038777774922,0.0003447001182067454,446,-0.052926580954157344
"neonates",12.782198331926349,0.000349933458876939,21,-0.16299172206349707
"ghd",12.755909927808865,0.00035488606424275543,37,0.05469784584219056
"dl",12.327419223835777,0.00044635308252548994,2752,-0.10899706557851024
"iccs",12.31710072450361,0.0004488272963904664,15,-0.05775351913396679
"continence",12.31710072450361,0.0004488272963904664,54,-0.08210510814931586
"inclusive",12.316138156428277,0.0004490588096309121,1831,-0.07528870895466822
"liver",12.312344659335764,0.000449972381084252,1554,-0.06218271616741676
"vte",12.30234364828058,0.0004523898812312768,76,0.08165212461606515
"insignificant",12.27614453919402,0.0004587852004606717,41,-0.06842656158720199
"copd",12.255633887287837,0.00046385555422929803,225,0.13452342118966637
"nonhormonal",12.252273004417624,0.0004646917600935727,47,0.06013791872703946
"pelvic",12.225489268393241,0.0004714103004913424,93,-0.09231699075077288
"carcinoma",12.155388517391167,0.0004894624624298927,1081,-0.07660175813677947
"hmb",12.063751501983736,0.0005141172896331273,15,-0.06574257551247444
"ascus",12.060572316368077,0.000514994791904999,17,-0.299371995874837
"postmenopausal",12.011044374890185,0.0005288621365113479,1566,-0.22423457005103137
"cdc",11.987777614791476,0.0005355061412108553,47,-0.136208231123104
"hcl",11.953327063863735,0.0005454988471597609,16,-0.06618383776406501
"physical",11.89594900391024,0.0005625615874563061,791,-0.13939220595173338
"expectancy",11.844573793483114,0.0005782960978064278,1121,0.1478229840632551
"shortening",11.826928211234566,0.0005838022619142133,46,-0.03303421061936031
"dmds",11.735266305145489,0.0006132680863525903,11,-0.09298876000068988
"ediary",11.697113706958813,0.0006259712092642237,78,0.07626321989539322
"sjia",11.622835699254404,0.00065147002219776,21,-0.05663406513465815
"eeg",11.596031059514024,0.0006609272093574763,143,-0.05167366161221284
"cdrs",11.542357744026326,0.0006802831313340653,17,0.11291527468126779
"fibroids",11.412928501394605,0.0007293477347063402,22,-0.056380930930978145
"bosentan",11.399953158415231,0.0007344595787289768,16,-0.07177155225058998
"ninos",11.38707187051671,0.0007395701756425895,13,0.12119048254437294
"minitablets",11.074998528186004,0.0008749948938047444,15,-0.061812249636497285
"glatiramer",11.060216610770457,0.0008819983869071376,19,0.09547397691916946
"locally",11.04670428565646,0.0008884499296291389,981,0.05721319644156382
"unresectable",11.035970637856618,0.0008936087597514394,448,0.05171720067352793
"age",11.030896813724905,0.0008960578826498653,11216,0.07226305200964396
"strata",11.00377548649883,0.0009092648337716904,36,0.07226537696684457
"ages",11.00133678869409,0.000910461978287568,599,0.14271138995658533
"pack",10.944825448836966,0.000938653889948016,381,-0.0725927061626312
"mdd",10.935620050491096,0.0009433290969811638,94,-0.09431325896059968
"ambulant",10.93259354105589,0.0009448713277710972,9,-0.11231779383793111
"recombinant",10.85851546566188,0.000983424977524813,76,-0.1229396956012369
"canakinumab",10.830148779368814,0.0009986061344937063,24,-0.09144205632941123
"fondaparinux",10.82517776528201,0.0010012908026949174,12,-0.17140013663929463
"antiepileptic",10.796646878352623,0.0010168411051775048,46,-0.10568936415959827
"length",10.783314607334226,0.0010241911551207442,171,-0.05266803493998745
"metastases",10.739595154265368,0.0010486727402180367,651,-0.06829197997742127
"men",10.70971354907766,0.001065745279968132,12222,-0.04511788010558034
"cell",10.650797363266696,0.001100234622870451,1962,-0.13144583837063792
"aeds",10.615306492603077,0.001121553620646254,124,-0.07439115315354733
"appropriate",10.610708321836817,0.00112434610512379,1391,-0.2039968608603746
"min",10.56369182870823,0.0011533062419695937,7857,-0.07981457871397556
"gadolinium",10.452576075832187,0.001224785264578825,35,-0.09318127099741379
"stimulation",10.423646341098728,0.0012441201286728352,137,-0.11045501561827346
"younger",10.41948667470282,0.0012469254831619177,122,-0.0674956628567214
"phe",10.395976677604867,0.0012629018281492676,1054,-0.049367645537863915
"ill",10.377611417159455,0.001275526049175599,7351,0.11468623619815772
"stroke",10.36649400961096,0.0012832301026319778,324,-0.08589008545698154
"asentimiento",10.345250501879072,0.0012980824930781901,104,-0.06208327098121397
"hgt",10.334058056104611,0.0013059775515188098,15,-0.059549440846494335
"stage",10.329187588248978,0.0013094282992925723,1503,-0.06551887927418606
"avonex",10.305906445367144,0.0013260510258967014,19,-0.06375779928638518
"tender",10.251821881828148,0.001365496758098562,570,-0.08293360983972557
"cos",10.21892862486374,0.0013900657622526985,2205,0.07332543366212352
"authorized",10.155681367623371,0.0014385721694130324,350,-0.10057469554489835
"claustrophobia",10.138151372854722,0.0014523173871092733,8,0.144043393460346
"women",10.132949243491034,0.0014564218932714128,2974,-0.07696071130048385
"dmt",10.131718209920678,0.0014573949023996254,44,-0.03995298843705657
"antipsychotic",10.1159229100085,0.0014699380751909599,89,0.05988414390980246
"tnf",10.084767938555672,0.0014949998924110308,441,-0.07819533722792844
"applicable",10.080095123029754,0.001498795960499904,1069,0.07970190788760528
"joint",10.05828928340241,0.0015166399065109385,665,0.08178930840109067
"swollen",10.046659823981985,0.0015262442291265309,438,0.14117467562132135
"prick",10.001071787080662,0.0015644914681650188,54,-0.05753558783894197
"dmf",9.986777925549276,0.0015766824735986848,13,0.0945271436753913
"separately",9.894081698604582,0.0016581117369907404,40,0.063755508978257
"chronological",9.840883531350666,0.0017067550020961068,26,0.11741698600932197
"vortioxetine",9.808894059484208,0.0017366991207709277,12,-0.07236558155888631
"fvc",9.796891519796413,0.001748071092528482,326,0.1152011323784781
"mrd",9.792001936351173,0.001752725399502708,19,0.06303597820052667
"radiation",9.78487133936955,0.0017595354066064876,620,-0.04775335739773238
"vaccination",9.750729054369554,0.00179251611058697,350,-0.06975582034730829
"associations",9.741778832296822,0.0018012650077209446,27,-0.04916456089496511
"prior",9.65319490564542,0.0018902254283935929,8721,-0.051806966547269795
"metformin",9.630873026259266,0.0019133364006372726,432,-0.05212831906721916
"invited",9.62267209712977,0.001921899008300536,9,-0.11397805696961379
"autism",9.622178196748747,0.0019224159291933733,8,0.09403449587585803
"mtx",9.608634318248466,0.0019366461417045045,473,0.1073340219070982
"rhinitis",9.559587783389041,0.0019890776938263736,38,-0.09193741930405844
"genetically",9.553842091563533,0.0019953133761609373,18,-0.08075629606531635
