"feature","chi2_score_double_blind","p_values_double_blind","sample_count_double_blind","correlation_to_double_blind"
"fluticasone",18.94936699761716,1.342338089451342e-05,454,0.06103149969753311
"b",18.73489527789206,1.5020841702546051e-05,54670,-0.05158247690393324
"nivolumab",18.71896229319821,1.5146871804881957e-05,421,-0.03396041905564864
"alzheimers",18.579648651162238,1.629509184346807e-05,3,-0.042602338351822325
"bevacizumab",18.532607692084873,1.6702229894419887e-05,608,-0.08984713990057641
"aml",18.404635491324868,1.786229135563293e-05,488,-0.046364762881252804
"zaslepena",18.369731137198812,1.8192517993913108e-05,5,0.0359176639528926
"avelumab",18.353459482353166,1.834855160572473e-05,135,0.05387685455577869
"moderately",18.303623134913437,1.8834861052157326e-05,971,-0.03576778040221992
"doxorubicin",17.80745921066782,2.4442314243527186e-05,298,0.06051191308339319
"major",17.466289012384426,2.9244765874039196e-05,756,0.04570502930795752
"panitumumab",17.44225659458599,2.9616825382002375e-05,99,0.04118115521769811
"pain",17.411545305153364,3.009921657963265e-05,1266,-0.04715102844751738
"gemcitabine",17.342691552535065,3.1209616970590216e-05,518,0.06920571605209695
"carfilzomib",17.19439794992834,3.3742993636555356e-05,95,-0.050843403612874316
"paralelos",17.149100031123616,3.455731080565742e-05,1489,-0.07185479180849891
"nyilt",17.13117550402925,3.488496718675209e-05,1,0.054751307830838834
"hip",17.070343416214712,3.602042557823234e-05,816,0.23914945533653245
"cisplatin",17.01932097498167,3.700138249021644e-05,568,0.08043845537293452
"control",16.96619475099771,3.8051338243794964e-05,26957,-0.036286722354643676
"participated",16.824292110668576,4.100503326016209e-05,205,-0.05211968546708384
"lenalidomide",16.802242786364623,4.148424465560573e-05,333,0.06022287855735066
"transplantation",16.778880789355977,4.199812977191254e-05,491,-0.07546401443747383
"glycemic",16.730387852557914,4.308533236916793e-05,565,0.0554508590890748
"anaplastic",16.669617565201214,4.448783104576421e-05,117,-0.061213682889483714
"pulmonary",16.561004420258758,4.7109812695471547e-05,1736,-0.06588583249060305
"non",16.522355205510564,4.807985003535525e-05,4896,-0.11495537837897794
"masked",16.36118951773425,5.234619459171933e-05,684,0.05101584530004829
"lung",16.314951260431734,5.363906560637816e-05,2538,-0.0558176980013937
"regimen",16.241275787393437,5.5765790788549666e-05,2054,-0.07659405409979103
"heart",16.112143370433383,5.9700005187934054e-05,1050,-0.03873457993006237
"events",16.03785438487456,6.208861782750444e-05,676,0.09556754046810201
"ewing",16.004462969670843,6.319334048119503e-05,50,0.05312423646422503
"trials",15.999464488308504,6.336040312772286e-05,161,0.0649419338426773
"migraine",15.994524714691902,6.352594001981264e-05,235,0.0561424308699656
"chlorambucil",15.81266334188231,6.993289283542999e-05,67,-0.0673040177735437
"viii",15.601767165775243,7.818148767929684e-05,225,-0.041092993379944764
"philadelphia",15.580709024369828,7.905707155338853e-05,131,-0.0441545928195603
"symptomatic",15.511364602230241,8.201071164194516e-05,801,-0.037945893505996
"mtx",15.262537614767188,9.355367425614072e-05,197,0.06818697217649565
"everolimus",15.165857154527952,9.846786101662026e-05,297,-0.05260558456318149
"osteoarthritis",15.152018565853675,9.919220847450065e-05,283,0.06367149353323638
"standard",15.138599553121997,9.989971494806156e-05,1788,0.07370520150543383
"egfr",15.130800326691162,0.00010031325413354585,267,-0.5342353629207092
"grupos",15.125888091083453,0.0001005745999039887,1567,-0.04463306660071854
"vedotin",15.089616147178521,0.00010252570696253694,104,-0.05225583029618414
"cyclophosphamide",14.925368026986007,0.00011184881756749755,280,-0.05334102804444163
"recurrent",14.921043798914319,0.00011210547550429018,1121,-0.05033551962563991
"orally",14.779496759573323,0.00012084227828788173,843,-0.12589006048649007
"crizotinib",14.765583582385071,0.00012173721733740063,81,-0.0755102411993485
"small",14.71237341974349,0.00012522185131545816,1938,-0.05654876581322994
"lupus",14.656826103398547,0.00012896673058858924,354,-0.04477324050794517
"received",14.495070756256515,0.00014052677722710673,376,-0.05724091017840042
"obinutuzumab",14.463379142303076,0.00014291109014922816,83,-0.0967720158588636
"background",14.407265298714766,0.00014723317085990463,438,-0.06682791893714042
"node",14.284088412309508,0.0001571880002987987,168,0.04910489946440806
"diabetes",14.272752942675893,0.0001581374905566773,3144,-0.05645784702703863
"completed",14.189592431932269,0.0001652821762860916,345,-0.06553841825594242
"irinotecan",14.160476586644887,0.00016785975659718857,216,-0.11790638217111599
"melanoma",14.105142935466251,0.00017287048092672202,524,0.0615984522964758
"myelogenous",14.086916795399434,0.00017455371342985283,128,-0.04530770015465771
"mellitus",13.970168113592903,0.00018573438468678666,1674,0.06530286743787128
"tremelimumab",13.952192609482097,0.0001875188165661078,97,-0.04964409382312648
"access",13.9071297421288,0.00019206850616055167,128,0.05676589119833394
"alzheimer",13.819082140984767,0.00020128154270858653,795,-0.11065241560214534
"administered",13.724782787985879,0.00021164324010625602,3184,0.040071031063114694
"inhaler",13.686427923659028,0.00021600995411468014,405,0.06048624820262213
"vinorelbine",13.62243161874579,0.00022349902547181197,106,0.0962537160458828
"salmeterol",13.55777330703351,0.0002313313704925047,366,0.045166315044019474
"disease",13.55360685759492,0.00023184545528504193,6170,0.06628188882515966
"malignancies",13.549736179365027,0.00023232407733325084,165,0.04318463492006182
"harboring",13.545555706996431,0.00023284212492370715,94,0.12717203086069792
"effect",13.513390108466556,0.00023686724647611958,4620,0.06261175209731476
"symptoms",13.506425912448696,0.00023774792186914616,827,0.04212125228678336
"tiotropium",13.375395569342604,0.0002549468517761276,440,0.04009461835231454
"delivered",13.36503650902003,0.0002563589218786105,376,-0.05301014502479037
"cll",13.327966848488975,0.0002614768736492625,123,-0.07944744667165418
"vaccination",13.322218805402866,0.0002622796378386262,201,-0.0666149241225062
"pet",13.315085232758577,0.0002632793586834311,706,-0.040741906019864424
"ulcerative",13.262335713449229,0.0002707920411563621,929,-0.05267601446283403
"sponsored",13.261346276177713,0.00027093500435179224,126,-0.048641259830020246
"urothelial",13.246278446714118,0.00027312157123611,185,-0.041645031357199
"disorder",13.23095565718312,0.00027536338053480737,986,-0.07403141390494421
"day",13.128311785632093,0.00029086674789436957,1446,-0.046311029853360115
"kontrolovane",13.127867752596174,0.00029093569183588847,3,-0.07631458473552587
"brentuximab",13.109495085619269,0.0002938028621241943,62,-0.03854595990572669
"respimat",13.092182172417598,0.00029653071719719815,280,-0.0420270336592079
"braf",13.076461220798265,0.0002990298552239382,236,0.07208166025355923
"sofosbuvir",13.046801650614354,0.0003038027695276278,81,-0.03917276400513563
"dialysis",13.00336788585857,0.0003109312347714712,498,-0.033737478147052705
"tak",12.99616172660037,0.00031213013595455017,491,-0.5482534775083091
"cohort",12.951124544362848,0.00031972937743187453,306,0.0582943836106923
"r",12.923082700315595,0.00032455491744019235,57280,0.049670268899101026
"deficiency",12.850938695618819,0.00033730999269742,492,-0.057059542819452636
"colitis",12.639331948906179,0.0003777149314920317,968,-0.058977046581764066
"locally",12.572498344081232,0.00039146490505173706,1378,0.06042271082860077
"rituximab",12.390055555558671,0.0004316264119259286,780,-0.04723622164508701
"dysfunction",12.366999131101432,0.00043698940597720453,351,0.08475183683635988
"pd",12.352066609123952,0.0004404985801924877,1813,0.2541494431902365
"lantus",12.343220845998353,0.00044259075022388917,108,-0.055200247844637604
"bosutinib",12.302863416944245,0.000452263917582549,78,-0.04864891526433759
"pomalidomide",12.300502443510416,0.0004528363739943578,116,-0.03905778943474835
"expanded",12.29801395514443,0.00045344053997935696,105,-0.03696767779842734
"kettos",12.279385030645164,0.0004579892636335837,1,0.06677856766203026
"iib",12.214470321885496,0.00047420271991269853,1919,0.04973112191110962
"taxane",12.213563229019767,0.0004744333375517133,249,-0.04889965270993932
"induced",12.139487836455796,0.0004936533123724336,659,-0.041398188773989465
"prevention",12.114489339848998,0.0005003153749950711,1622,-0.05476767835538625
"fusion",12.112054030461463,0.0005009692127371776,838,-0.04327561686639207
"effects",12.039265598886853,0.0005209149094777881,1736,0.10036656510416009
"chromosome",11.99249805868304,0.0005341514023534381,117,0.5587977645401665
"large",11.949813649654772,0.0005465284659774513,361,0.06223922253671048
"wild",11.890282294226282,0.0005642756873642336,132,-0.044211303676592296
"iiib",11.869199501183518,0.0005706993712375765,1038,-0.047467832320636526
"ponatinib",11.862598252055935,0.0005727258352685731,47,-0.044671039581207224
"novartis",11.846499380130858,0.0005776984157812438,83,-0.03935892482342022
"caelyx",11.757802419762223,0.0006058871842844369,46,-0.09153752242820724
"treat",11.680360140463954,0.0006316330557418157,17357,0.04094635334510843
"allergic",11.576069645155043,0.0006680599586004478,406,0.057165214087320934
"iron",11.555410579916211,0.000675523892269549,282,-0.09880029860628692
"salvage",11.544761589034096,0.00067940411984605,67,0.0437308917562929
"aggressive",11.490119918518353,0.0006996712247762555,84,0.06540734224747596
"kinase",11.439301150600734,0.0007190683056866229,413,0.03911740474417588
"linfoma",11.422389089690052,0.0007256432563776162,247,-0.04921904760885426
"immunosuppressive",11.39536288384041,0.0007362766461456464,108,0.12264970476187478
"cabazitaxel",11.38485911008559,0.0007404516883266275,41,0.2732786789183214
"stem",11.370670739152269,0.000746129290412304,1833,0.09324081043605235
"depressive",11.341998414139292,0.000757737403413262,488,-0.056627201525323016
"qd",11.248636032324839,0.0007968154766784759,210,-0.04869250430353327
"doublet",11.164866522751216,0.0008336096645029617,89,-0.059412420167839194
"untreated",11.070489628109906,0.0008771251769437781,1027,-0.11092710553167529
"available",11.070135888469185,0.0008772925270450809,81,-0.06382736874197398
"bid",11.062494659798421,0.0008809153927199665,1319,-0.14527123206110357
"doxil",11.038411190800328,0.0008924331220650735,37,0.05214364104759096
"formoterol",11.012940521805593,0.0009047799744369997,388,0.052230927149284186
"otevrene",10.998902957644297,0.0009116583224532433,0,0.07993662474588635
"velcade",10.993896771415907,0.0009141241008932235,169,0.041611276602202055
"liposomal",10.989655798582739,0.0009162182510599,158,-0.04414959055213017
"enrolled",10.955601996432854,0.0009332104886047271,138,-0.043536248335868284
"sitagliptin",10.945746533511256,0.0009381873837529903,329,-0.03268619437943787
"fracture",10.89695742154235,0.0009632234642517335,236,0.19368796084245138
"type",10.892790178445495,0.0009653929465378363,4326,0.05117345189310939
"topotecan",10.864687878393767,0.000980152689964381,78,-0.03953672055061389
"persistent",10.853102720163736,0.000986303620085487,720,0.04502576418398246
"fixed",10.839601267663124,0.000993521244841897,1304,0.09855709179366416
"recipients",10.798881690291187,0.0010156142891761626,393,0.06465831388901458
"elective",10.740209502298255,0.0010483246560943306,399,0.03628364145621711
"physicians",10.73413517797524,0.00105177145489509,22,-0.15719753630531286
"propionate",10.667884418079254,0.0010901172619860163,397,0.0416774935273687
"coronary",10.581753985351252,0.0011420925032934559,931,-0.06328073163277066
"otevrena",10.579743300165465,0.001143335344353065,3,-0.041645058556549576
"fludarabine",10.55036763691993,0.0011616497976119598,62,-0.0782596144491819
"placebom",10.545524057339145,0.001164697940702475,326,-0.05133172289178605
"ph",10.531805594196829,0.0011733751840306225,31573,-0.06387088251858439
"feasibility",10.515147294022572,0.001183999935639914,166,-0.05266222202554223
"rhinitis",10.505557883354069,0.0011901602061205477,230,0.11669349612975348
"ole",10.431330784816282,0.0012389543880850892,9771,0.058296777075909696
"mk",10.403676100661201,0.001257646958775112,1482,0.05491715200459531
"rtv",10.39934321695048,0.0012606014308550574,72,-0.06497481772588308
"kontrolovana",10.375512875943933,0.0012769766870324782,6,-0.05929205942758362
"bax",10.18340685580005,0.0014171010670691866,64,0.04162292885707867
"atopic",10.15812353566632,0.0014366677541295333,339,-0.04657786144674893
"filgotinib",10.07460298775661,0.001503270102509795,124,-0.0917804105800405
"anthracycline",10.051896672840481,0.001521911717096833,144,0.05089832169695019
"neoral",10.015740845068823,0.0015520797128211754,53,0.0428175543953299
"tnf",9.997569389913478,0.0015674697473317557,537,-0.04040377969848749
"diffuse",9.980874331894197,0.0015817455900310818,322,-0.07141548729730778
"response",9.952819479773893,0.0016060323864292808,1910,-0.06338400513140924
"pemetrexed",9.949971814042248,0.0016085186033340819,288,-0.07381813431415686
"ofatumumab",9.919009288922947,0.0016358040938518376,206,-0.04660294297097103
"powder",9.917857118326408,0.001636828435710002,396,-0.042295312819518975
"ritonavir",9.885788146694708,0.0016656017438971286,320,-0.047256156510792256
"pembrolizumab",9.868139099285795,0.0016816551039547903,401,-0.08264979512730027
"despite",9.86740766140029,0.0016823237837066973,233,0.05732420704490274
"avanzado",9.774001817461047,0.0017699678630526859,631,0.050155116591990886
"investigators",9.769458659326183,0.0017743468942550936,7,-0.053177370681649766
"platinum",9.748873025908702,0.001794326843702561,958,-0.04635109285885005
"observation",9.73301639710402,0.0018098722660225385,180,-0.04862313450682852
"plasma",9.729800495500061,0.0018130416622069243,220,-0.04931860348445353
"morbidity",9.700110702186265,0.001842569113462306,202,-0.03709421838211423
"metformin",9.68678659159428,0.0018559783639364475,1125,-0.049843928246392874
"sclerosis",9.683142657365604,0.0018596627769151743,1367,-0.04432093895872166
"erythematosus",9.681811442286701,0.0018610106279269352,276,0.10667362688563005
"simvastatin",9.671804503131376,0.0018711743708618312,174,0.08918720695944074
"drv",9.66160871359769,0.0018815877953601181,44,-0.04639225666129473
"colorectal",9.626710948436683,0.001917677191310879,645,0.0865444343980798
"haemophilia",9.556034202619895,0.0019929319876763637,99,0.09377342995732439
