"feature","chi2_score_crossover","p_values_crossover","sample_count_crossover","correlation_to_crossover"
"static",26.40694562256821,2.765442751988847e-07,4110,0.039760773060104435
"atropina",25.941335829463146,3.519515052149928e-07,4,0.05623164394746042
"cetirizine",25.854505646851557,3.681443514047599e-07,32,0.0648409843374615
"odt",25.612226407151333,4.1738637476815045e-07,28,0.039760773060104435
"cough",25.609797075102243,4.179121777796891e-07,30,0.03976077306010443
"nicotine",25.024298835596746,5.661234869970867e-07,21,0.051424648965185685
"ur",25.005897716278316,5.715521800845717e-07,17781,0.08779989983879061
"arni",24.989091596877042,5.765559076874047e-07,58,0.1009564889746291
"nexthaler",24.89076221612466,6.067246303186204e-07,5,0.05623164394746042
"mielofibrosi",24.858978084949477,6.168110152105039e-07,18,0.07241977098832672
"effect",24.81858155574782,6.298734608471204e-07,4557,0.049217515063561985
"test",24.734076139783376,6.581027376476953e-07,675,0.06709715662086135
"aimspro",24.62518618721355,6.963563961678043e-07,1,0.03976077306010442
"pne",24.5064996910315,7.40595849537588e-07,442,0.056220416157758274
"lyophilisate",24.5064996910315,7.40595849537588e-07,6,0.11246151936580769
"enuresis",24.5064996910315,7.40595849537588e-07,9,0.03976077306010442
"pseudoexfoliative",24.24959313442724,8.46249577002228e-07,3,0.03976077306010441
"models",24.058556374594232,9.345007975434394e-07,6,0.03976077306010445
"actiq",23.81075996332834,1.0628664656545852e-06,8,0.03976077306010443
"mixeddyslipidemia",23.799573970241756,1.069061208543691e-06,4,0.03976077306010444
"nicorette",23.54023106536416,1.2232893901387013e-06,2,0.0562316439474604
"fiveperiod",23.364626404857454,1.3402054439365176e-06,0,0.03976077306010444
"psychosocial",23.189138694125575,1.4682424742097947e-06,6,0.06253196466251994
"crossovermultinational",23.163583309040074,1.4878846797393573e-06,6,0.03976077306010443
"biobypass",23.001449104707884,1.6187933210743647e-06,5,0.03976077306010445
"noga",23.001449104707884,1.6187933210743647e-06,6,0.047289729503681426
"myostar",23.001449104707884,1.6187933210743647e-06,5,0.039760773060104414
"gammaplex",22.885902104690974,1.7190809572054087e-06,2,0.039760773060104414
"raynauds",22.794988709013612,1.802350626152061e-06,0,0.05623164394746045
"dysmenorrhoea",22.745886282221843,1.848995249029522e-06,3,0.039760773060104414
"inhaled",22.680438408850314,1.9130553269530763e-06,694,0.03976077306010442
"volunteers",22.644583326341785,1.9490892406876227e-06,136,0.06687572034428196
"rivastigmine",22.596938433840155,1.99802746834913e-06,4,0.05187845191463048
"keresztezett",22.520946974916786,2.078645446936556e-06,11,0.08943669325972045
"tiotropium",22.517083819314198,2.0828298699277705e-06,440,0.07519506936843959
"bioavailability",22.404959895095427,2.208030625169688e-06,18,0.047556782595840785
"allele",22.377765950096332,2.2395170246063077e-06,24,0.06618091298207057
"ready",22.358680949819092,2.2618831259282697e-06,18,0.08926130465373674
"ergometry",22.238046054086595,2.408535989158922e-06,17,0.07577493466692208
"svd",22.12499632833794,2.5546161267508726e-06,12,0.03976077306010442
"volunteer",22.00155583433179,2.724295399426915e-06,145,0.04743918820948502
"exocrine",21.935675499014025,2.8194351012119503e-06,48,0.039760773060104435
"montelukast",21.862365262616493,2.929228738324468e-06,40,0.05623164394746043
"diproprionate",21.8348284441699,2.971568976039865e-06,14,0.05623164394746043
"hfa",21.831397864599687,2.9768866230558073e-06,78,0.056231643947460455
"amphetamine",21.61686695380029,3.3291130856247333e-06,3,0.058459851257419385
"thyroxine",21.594485587977076,3.368188376423837e-06,11,0.03976077306010442
"pouch",21.505962903445404,3.5273014909472676e-06,8,0.03976077306010443
"antidepressivum",21.434616500025857,3.6610147118658327e-06,1,0.039760773060104414
"digestion",21.4168207272744,3.6951516929895554e-06,4,0.06662770527924299
"withcorticosteroid",21.27219093661687,3.9847048706715136e-06,5,0.05623164394746045
"ofruxolitinib",21.27219093661687,3.9847048706715136e-06,5,0.09591796473475689
"afterallogeneic",21.27219093661687,3.9847048706715136e-06,5,0.04980828316492673
"action",21.235342707169465,4.062047453492033e-06,588,0.03976077306010444
"intracellular",21.102817895836168,4.352875557312243e-06,3,0.46515312398554637
"ethanol",21.057642894364456,4.456716080162844e-06,8,0.411354743410469
"agonists",21.014429612994764,4.558373113419536e-06,130,0.06539394418017083
"serial",20.873906847211703,4.9053138688751445e-06,12,0.039760773060104435
"furosemide",20.83172251766956,5.014547552309885e-06,12,0.039760773060104435
"mongersen",20.823791668129083,5.035355001868649e-06,58,0.039760773060104435
"hyperaldosteronism",20.80556229364813,5.083510843237595e-06,1,0.14829094230058334
"fentanilo",20.74862294818733,5.236922369717789e-06,19,0.039760773060104414
"stalevo",20.745249402824943,5.246156154389084e-06,13,0.039760773060104435
"intragastric",20.717096933683877,5.323852665646466e-06,7,0.03976077306010442
"capsaicin",20.6931351576498,5.390892707937662e-06,11,0.039760773060104414
"beclomethasone",20.563864978148217,5.767454432927541e-06,108,0.03976077306010443
"philadelphiachromosome",20.55910707142284,5.781806977132539e-06,11,0.039760773060104435
"resistantto",20.55910707142284,5.781806977132539e-06,11,0.03976077306010443
"irruptivo",20.490870625202824,5.99163503892191e-06,11,0.06886824735661562
"road",20.47705463233827,6.035041078702064e-06,14,0.03976077306010443
"abirateronacetaat",20.203691900074553,6.961844580489071e-06,1,0.039110208303413566
"absorption",20.1968341484448,6.986847006965243e-06,26,0.05623164394746045
"symbicortturbuhaler",20.139865107617435,7.198063857510358e-06,0,0.057498971959791347
"mddpi",20.05641393477496,7.519092594623176e-06,4,0.03976077306010444
"fasted",20.033500881037682,7.609725500428015e-06,3,0.05447203067715653
"hdl",19.935621808417164,8.009401662465253e-06,25,0.055019176064647485
"adrenalinpenna",19.836377573841503,8.43617870328381e-06,1,0.039760773060104414
"smartskattning",19.836377573841503,8.43617870328381e-06,0,0.039760773060104435
"allogenic",19.680576194379274,9.152697616214707e-06,48,0.03976077306010443
"theclinical",19.66789004644687,9.21366341922186e-06,11,0.0575175123687822
"preferenza",19.634509247302503,9.376036514575482e-06,5,0.038204270043503887
"evening",19.60946372865752,9.499748429806946e-06,105,0.03976077306010443
"iberogast",19.583854095095926,9.627941719279911e-06,1,0.0653960781972205
"spin",19.56027430328272,9.747509665022954e-06,210,0.046860366795395035
"lybridos",19.551831727744943,9.790681630355459e-06,3,0.03976077306010443
"manganese",19.54727331102944,9.814071316415038e-06,3,0.05129330697729225
"rupatadina",19.472091006691755,1.0208034231350228e-05,5,0.05623164394746045
"tarcevaTM",19.457337816353046,1.0287186625662745e-05,6,0.05360818819621922
"hour",19.33548664420111,1.09649472010707e-05,238,0.039760773060104455
"break",19.29867371504919,1.117839704919734e-05,64,0.03976077306010443
"allergen",19.161008245288862,1.2014261147768863e-05,141,0.04850066206076625
"thyrotropin",19.131365564681523,1.2202300676921057e-05,1,0.07222449004531428
"formoterol",19.047246822100565,1.2752162062484552e-05,388,0.03976077306010443
"pharmacology",19.036634653085848,1.2823275929136355e-05,9,0.03976077306010443
"performance",19.02029457087947,1.293355299041683e-05,48,0.056101280247792686
"qvar",18.989487930172444,1.3144060113588132e-05,6,0.039760773060104435
"function",18.98547973673028,1.3171700581092027e-05,1253,0.04437369927481387
"block",18.953082125143087,1.3397267754562107e-05,329,0.03976077306010445
"hos",18.944622876831723,1.3456801019703466e-05,1911,0.03976077306010444
"fine",18.85384626145483,1.4112624312500233e-05,171,0.03976077306010443
"montas",18.85318185911061,1.4117540817771567e-05,1,0.03976077306010443
"ged",18.64592754752941,1.573830852433957e-05,1100,0.08654534851393471
"doxazosin",18.6166628149128,1.5981754770778035e-05,4,0.09143710168582306
"urapidil",18.6166628149128,1.5981754770778035e-05,1,0.051148342080821016
"quantity",18.49123043119635,1.7068787793714235e-05,2,0.039760773060104414
"functionality",18.49123043119635,1.7068787793714235e-05,3,0.03976077306010443
"haler",18.279755454170314,1.9072329764495004e-05,610,0.039760773060104435
"acos",18.279755454170314,1.9072329764495004e-05,206,0.03976077306010446
"postural",18.236238068558002,1.9513069554168104e-05,3,0.05623164394746042
"cftr",18.235011435086864,1.952563995016641e-05,95,0.0562314177644353
"fviiirfc",18.19935418877111,1.9894628346009487e-05,6,0.039760773060104435
"cpapheliox",18.130168451978484,2.0630679876793614e-05,1,0.03976077306010443
"myelofibrosis",17.919528555096704,2.3044437125649654e-05,95,0.03976077306010442
"morning",17.869953358647404,2.3652615033778494e-05,126,0.05493178947864387
"precision",17.76004318866068,2.505911145157894e-05,4,0.034140143741731716
"scales",17.76004318866068,2.505911145157894e-05,2,0.08368723048702673
"degrees",17.669428282188765,2.6281693679525254e-05,6,0.034564025924705484
"primarioa",17.494128249304314,2.8819638614523472e-05,3,0.06887115611248215
"polisomnografico",17.494128249304314,2.8819638614523472e-05,0,0.039760773060104455
"constant",17.490009869360723,2.8882135940494405e-05,21,0.03976077306010444
"nxn",17.443872241737964,2.9591664150476285e-05,1,0.03976077306010444
"atropine",17.350292163183916,3.108504791546294e-05,5,0.03976077306010442
"desmopressine",17.34780680930112,3.11257261654354e-05,3,0.03976077306010443
"deposition",17.29134318557267,3.2064429811363174e-05,7,0.07798367390468122
"pharmacological",17.225524690925763,3.3194637017733e-05,40,0.03976077306010444
"champ",17.199175746224686,3.3658235901999095e-05,7,0.03976077306010443
"essentiel",17.12415391447948,3.501416987334169e-05,3,0.03976077306010444
"vsprasugrel",17.023702413318592,3.6916101250938796e-05,1,0.039760773060104435
"dependientes",16.90820540389755,3.923162729335965e-05,6,0.03976077306010441
"tobramycine",16.88471485049069,3.9720154291569436e-05,2,0.056231643947460455
"vial",16.88140256282556,3.9789529290090124e-05,32,0.055862805659443834
"ritalin",16.881277096804677,3.979215953607746e-05,11,0.039760773060104435
"stuttering",16.881277096804677,3.979215953607746e-05,1,0.03976077306010443
"milnacipram",16.82961686734629,4.0890143723866565e-05,1,0.06354729773527121
"versuszolmitriptan",16.703380979048166,4.370304304594178e-05,4,0.03976077306010442
"preferencia",16.703380979048166,4.370304304594178e-05,4,0.0786611947435772
"migranaa",16.703380979048166,4.370304304594178e-05,0,0.06514197780805715
"piccola",16.69096184878206,4.399007872260951e-05,1,0.06563908975552267
"porh",16.664482158546708,4.460843228783149e-05,1,0.039760773060104414
"oxcarbazepine",16.484698098073263,4.904430205885556e-05,4,0.039760773060104435
"perfusion",16.42903205460089,5.0505738381052866e-05,93,0.055736565448483995
"bronchodilation",16.406138322537164,5.111941755037597e-05,4,0.04375857015780463
"production",16.392096595298568,5.1499517892590266e-05,24,0.03976077306010442
"noxafil",16.329109437762977,5.323981324450293e-05,2,0.04986824370736772
"tobi",16.288186747871585,5.4402053493282956e-05,56,0.03976077306010442
"delivered",16.227302735857588,5.617860493066694e-05,372,0.06106491695819628
"bronchodilatory",16.209992693585118,5.669427011304384e-05,4,0.07220047789492205
"mody",16.205102713833313,5.6840802737709087e-05,123,0.03976077306010443
"maturity",16.205102713833313,5.6840802737709087e-05,39,0.03976077306010443
"endothelial",16.193591836749345,5.718724178738877e-05,93,0.05623164394746042
"renoprotective",16.17010644033169,5.790067418192211e-05,2,0.05623164394746042
"overstudy",16.077120159447393,6.081436880647013e-05,4,0.03976077306010443
"ofbiostate",16.077120159447393,6.081436880647013e-05,1,0.05469811094559184
"kiovig",16.015353148125552,6.2830893997875e-05,14,0.05623164394746041
"tanganil",15.816910229797827,6.977610514219522e-05,1,0.039760773060104455
"catabolism",15.782576132399495,7.105385581791053e-05,1,0.03976077306010442
"androgens",15.782576132399495,7.105385581791053e-05,1,0.046617711797603524
"lipemia",15.740866282462022,7.263780616550238e-05,20,0.046173598232753826
"interfere",15.667024045941286,7.552961957342436e-05,3,0.0937536108898127
"seretide",15.448376931676838,8.478972869805564e-05,76,0.06090973735585349
"superior",15.434325220890923,8.542250594857784e-05,194,0.06441582623021343
"evalaute",15.418008020714407,8.616326770698418e-05,1,0.056202652474017206
"bf",15.404393104888893,8.678629642601361e-05,207,0.04565148988431907
"pa",15.38529227955224,8.766801266943487e-05,43923,0.0574345363653576
"ataciguat",15.326764573375767,9.042624359038321e-05,3,0.05623164394746043
"oxidant",15.311076642571594,9.118029607763686e-05,10,0.0675309929879841
"arousal",15.187082071213053,9.736722299630814e-05,9,0.05623164394746042
"cistinosi",15.15342181348117,9.911851522472964e-05,4,0.055780332935048256
"withcystinosisstudio",15.15342181348117,9.911851522472964e-05,4,0.06887115611248214
"ritardato",15.15342181348117,9.911851522472964e-05,5,0.06964591943480748
"bitartrato",15.15342181348117,9.911851522472964e-05,4,0.03976077306010444
"cisteamina",15.15342181348117,9.911851522472964e-05,4,0.039760773060104435
"estudar",15.103573477835312,0.00010177045818321975,5,0.039760773060104414
"levocabastine",15.021893585328314,0.00010627112524296792,1,0.03732342624179602
"bai",14.957068285043826,0.00010998526873857985,76,0.04672097703902938
"metabolicvascular",14.904769589334467,0.00011307673136379162,1,0.03976077306010442
"linoleic",14.904769589334467,0.00011307673136379162,1,0.03754373882351711
"salbutamol",14.892819942098003,0.00011379528327070975,39,0.03976077306010444
"erythromelalgia",14.865045569523303,0.000115483208646332,1,0.03976077306010443
"xpf",14.865045569523303,0.000115483208646332,1,0.0914308176746788
"inspiration",14.85237812167383,0.00011626139061357887,1,0.05153749207210225
"bronchial",14.7829346512068,0.00012062216461298185,39,-0.07732719262216074
"endocannabinoid",14.717011218167281,0.0001249141767364246,1,0.0363545868819094
"doi",14.673127774900264,0.00012785616653324645,30,0.03746787504455877
"neuroproteccion",14.670391022209639,0.00012804193520975481,0,0.056231643947460434
"cannabinoides",14.670391022209639,0.00012804193520975481,1,0.04437643769965783
"serevent",14.663922050138638,0.00012848212505721452,7,0.05623164394746042
"budpf",14.646325128075027,0.00012968725531919137,5,0.03976077306010442
"ludpf",14.646325128075027,0.00012968725531919137,5,0.03976077306010444
"sport",14.646325128075027,0.00012968725531919137,134,0.043515695544592836
"vd",14.63453289705606,0.00013050121164065765,55,0.08106323139374404
"carcinomastudio",14.633919021816148,0.00013054372481324846,3,0.03976077306010442
"ganaxolone",14.633794691051191,0.00013055233688480088,2,0.045360058280707036
"cck",14.587954188590752,0.0001337668943913548,2,0.03976077306010444
"lybrido",14.572640976830332,0.00013485839250391193,3,0.03976077306010444
"domestic",14.572640976830332,0.00013485839250391193,4,0.058100794602244724
"enac",14.536250416766148,0.00013748835855645033,175,0.03976077306010443
"ix",14.485026348952442,0.00014127809890918507,2965,0.03976077306010442
"parametres",14.474205190891348,0.00014209204807742666,1,0.07418767765837052
"renophysiological",14.474205190891348,0.00014209204807742666,1,0.07182290228667357
"amiloride",14.474205190891348,0.00014209204807742666,3,0.06214470534355823
"spironolacton",14.474205190891348,0.00014209204807742666,28,0.03976077306010443
"xue",14.404186275633538,0.0001474741014139524,2,0.039783822516922265
"profiles",14.327277506434312,0.00015362266794650555,34,0.03976077306010442
"postprandial",14.267746761996257,0.0001585586587297635,32,0.03976077306010443
"ileal",14.142797285199205,0.00016944459339762987,4,0.03976077306010442
"bruxism",14.113227554250189,0.00017212908817048364,1,0.03976077306010442
"labelling",14.109995241987704,0.00017242511947952046,1,0.039760773060104435
"free",14.07990666275197,0.00017520550482209773,325,0.039760773060104435
"linking",14.053127941433976,0.00017771799829193846,1,0.039760773060104435
"keratoconus",14.053127941433976,0.00017771799829193846,1,0.039760773060104435
"clinicalresponse",14.036854477015604,0.00017926254001764144,12,0.037595255650557526
"multipledose",14.011459176327321,0.00018169991002066086,1,0.03976077306010442
"nebcine",13.974096974747622,0.00018534664929242917,1,0.03976077306010442
"pulmonarydisease",13.953933908456525,0.00018734520468016407,4,0.05623164394746044
"olodaterolonce",13.953933908456525,0.00018734520468016407,2,0.03976077306010443
"bioequivalence",13.95238890009213,0.00018749923779679334,22,0.039760773060104435
"fc",13.945048210689384,0.00018823282929937343,283,0.03976077306010443
"triheptanoin",13.936137774347333,0.00018912717932647447,4,0.03976077306010443
"mcardle",13.925052099643894,0.00019024583840932788,1,0.06887115611248217
"cholinergic",13.916552034234835,0.00019110809559536593,33,0.08310518301525394
"systema",13.916552034234835,0.00019110809559536593,13,0.03976077306010443
"fatigue",13.844367198932163,0.00019859113339622516,21,0.07286508119698148
"respimat",13.710584202098302,0.00021324928879025377,276,0.09301566676099084
"connectivity",13.642007775543739,0.00022118079114026324,1,0.039760773060104414
"tonabersat",13.637655085574085,0.00022169413885898172,4,0.03976077306010443
"protoporphyria",13.623291662404304,0.00022339666563716187,7,0.04480729422604021
"erythropoietic",13.623291662404304,0.00022339666563716187,7,0.03976077306010443
"epp",13.623291662404304,0.00022339666563716187,25,0.04071728743441381
"bimosiamose",13.607570820211293,0.00022527519568160733,3,0.03976077306010443
"neutrophilia",13.607570820211293,0.00022527519568160733,1,0.039760773060104435
"films",13.577363974137429,0.0002289294966043847,1,0.05611748446781615
"eib",13.57463512840235,0.0002292625488275708,15,0.05550648190096936
"glycocalyx",13.548044609718339,0.000232533557992808,1,0.03976077306010445
"damaged",13.548044609718339,0.000232533557992808,2,0.06874663410687208
"forsgspersoner",13.524035657073902,0.00023552738520444635,0,0.04095634977186445
"raske",13.524035657073902,0.00023552738520444635,19,0.049212810538875267
"tostran",13.512802145554927,0.00023694147161617556,1,0.039760773060104435
"ciliary",13.504997403431341,0.00023792897510971554,6,0.039760773060104435
"trabectedin",13.504535595884889,0.00023798753560855916,35,0.03976077306010442
"crusade",13.483348003494138,0.0002406899527860173,1,0.03976077306010443
"crushed",13.483348003494138,0.0002406899527860173,4,0.07940386464345958
"work",13.444124721868663,0.0002457746617186051,68,0.0505085958441865
"presbidrops",13.434583876248324,0.00024702777261529073,1,0.05623164394746044
"mem",13.433250506706782,0.0002472034117215999,513,0.05623164394746044
"cystinosis",13.389175306294685,0.0002530806418722657,7,0.0562314177644353
"purpurea",13.376006554672601,0.00025486381203393974,1,0.03976077306010442
"echinacea",13.376006554672601,0.00025486381203393974,3,0.05623164394746044
"interacciones",13.376006554672601,0.00025486381203393974,1,0.039760773060104435
"salmeterol",13.350882688098874,0.0002583010178399354,362,0.039760773060104435
"obstruktiv",13.349378180303889,0.0002585083266579051,14,0.039760773060104435
"periods",13.316533543384846,0.00026307607770635925,45,0.039760773060104414
"provocacion",13.304482404267553,0.0002647723733059178,0,0.039760773060104435
"flow",13.295831250064774,0.00026599688736007497,73,0.039760773060104435
"dpi",13.291845095298578,0.00026656302083047617,101,0.05623164394746044
"dyspnea",13.273922242075683,0.00026912355859598784,3,0.03976077306010443
"symptomer",13.270226650351468,0.0002696546024312712,3,0.03976077306010441
"identication",13.17695326627507,0.00028341316370323813,1,0.03976077306010443
"potentiation",13.151223844640068,0.00028733150881653306,1,0.03976077306010441
"neuromodulation",13.151223844640068,0.00028733150881653306,1,0.03976077306010443
"reflecting",13.05598260491137,0.00030231718924177115,1,0.04709309603868655
"gluteus",12.957159881259436,0.0003187002925311379,3,0.03976077306010443
"deltoid",12.957159881259436,0.0003187002925311379,4,0.040510191909289464
"pocket",12.94001679219814,0.00032163212575724584,2,0.0562316439474604
"graft",12.923058754368817,0.0003245590693705949,313,0.05623164394746044
"flector",12.907498835860421,0.00032726832272236736,6,0.05360818819621922
"keplat",12.907498835860421,0.00032726832272236736,1,0.05622185066144966
"elerheto",12.900660964089829,0.00032846611745023706,0,0.06887115611248215
"ossejtatultetest",12.900660964089829,0.00032846611745023706,0,0.03976077306010446
"kortikoszteroid",12.900660964089829,0.00032846611745023706,7,0.0562146182498277
"plavixTM",12.876994568876452,0.0003326460093724853,0,0.03976077306010443
"trident",12.876544691240413,0.00033272598285547097,1,0.03976077306010442
"multipotent",12.865392693908312,0.00033471465149882446,1,0.039760773060104435
"exendin",12.865371348598684,0.0003347184693497952,4,0.039760773060104414
"satiety",12.865371348598684,0.0003347184693497952,3,0.03976077306010443
"strenghts",12.822057416973133,0.0003425568287793925,1,0.039760773060104414
"salts",12.810715395059967,0.0003446397626777671,3,0.03976077306010444
"tinnituksen",12.603392927743856,0.0003850471608181894,1,0.039760773060104414
"vertailu",12.603392927743856,0.0003850471608181894,15,0.03976077306010444
"puudutteet",12.603392927743856,0.0003850471608181894,1,0.03976077306010443
"ropivakaiinin",12.603392927743856,0.0003850471608181894,1,0.03976077306010441
"lidokaiinin",12.603392927743856,0.0003850471608181894,1,0.07203064269173551
"impulse",12.574075191693948,0.00039113474778370785,1,0.07838689101240096
"impedance",12.574075191693948,0.00039113474778370785,2,0.039760773060104414
"oscillometry",12.574075191693948,0.00039113474778370785,1,0.05470041270991464
"ataxie",12.556756888798878,0.0003947762714321509,3,0.05623164394746043
"balloon",12.53663597316778,0.0003990500769555857,5,0.03976077306010444
"resolution",12.526743299499763,0.000401168426514007,13,0.03976077306010441
"csii",12.526743299499763,0.000401168426514007,2,0.06887115611248215
"parallel",12.523227174663564,0.0004019240750043973,11771,0.056231643947460434
"mrp",12.519903025850507,0.00040263978644703336,1,0.06967579639457484
"lorediplon",12.484718628562108,0.00041029450694807067,2,0.053025659528947076
"dysbetalipoproteinemia",12.484175536872675,0.00041041380554316114,1,0.039760773060104435
"ruxolitinib",12.403061662138873,0.0004286304988407688,128,0.04905172864333373
"lactulose",12.399729465025878,0.000429396054371153,1,0.039760773060104435
"laevolac",12.399729465025878,0.000429396054371153,1,0.055271558178401244
"premenstrual",12.393317460182182,0.00043087306393197855,2,0.06103780160440535
"perforatum",12.393317460182182,0.00043087306393197855,1,0.039760773060104435
"hypericum",12.393317460182182,0.00043087306393197855,3,0.03976077306010443
"ursodeoxycholicacid",12.386969514233378,0.000432340367116568,2,0.07893401943222825
"sterol",12.386969514233378,0.000432340367116568,475,0.03976077306010443
"versatis",12.377934546589596,0.00043443746393736707,1,0.03976077306010442
"ainjektioner",12.245125156942528,0.0004664752449363593,1,0.03976077306010443
"skolioser",12.245125156942528,0.0004664752449363593,1,0.041796313151687664
"parese",12.245125156942528,0.0004664752449363593,2,0.04326093461464371
"iperreattivita",12.240228702223385,0.0004677009619803456,1,0.039760773060104435
"prina",12.240228702223385,0.0004677009619803456,5,0.04517755831152953
"serotonergic",12.226662536910865,0.00047111395024211714,3,0.05623164394746045
"rinsing",12.226650657332774,0.00047111694990520603,1,0.05623164394746044
"regrowth",12.226650657332774,0.00047111694990520603,1,0.039760773060104414
"fampyra",12.202820406786055,0.00047717319666087547,1,0.05623164394746042
"acemit",12.202820406786055,0.00047717319666087547,1,0.039760773060104435
"fibrozisban",12.192818413393619,0.0004797384675622544,0,0.03976077306010442
"fibrosisrandomizalt",12.192818413393619,0.0004797384675622544,0,0.03976077306010441
"elegtelensegenek",12.192818413393619,0.0004797384675622544,0,0.03976077306010443
"hasnyalmirigyenzim",12.192818413393619,0.0004797384675622544,0,0.03976077306010445
