"feature","chi2_score_arms","p_values_arms","sample_count_arms","correlation_to_arms"
"pacientu",25.40560711152957,1.2700788241495071e-05,8,-0.055211136820832556
"severely",25.405097785707458,1.2703904734699709e-05,851,-0.08535261835179085
"ac",25.26668813281628,1.3579704825821088e-05,47541,-0.02822618920304065
"participated",25.259400816230258,1.3627448997321767e-05,207,-0.04490620658364358
"lynparza",25.11893666717027,1.4581136317931362e-05,18,-0.03311567059013765
"faze",25.10486385692165,1.4680276943010262e-05,109,-0.05835613774377313
"pups",24.999232556917608,1.5446204205022972e-05,17,-0.0462048953206914
"randomizzato",24.85080069173973,1.6590261716606678e-05,1374,-0.05506253262914263
"liberacion",24.71428597453962,1.771688554591346e-05,0,-0.00837909257874493
"nivolumab",24.555491076590904,1.9123672901389757e-05,424,-0.03390079417149541
"selexipag",24.51508006748561,1.949911461644295e-05,18,-0.02830347506569303
"lapatinib",24.396629532215965,2.0642454349734993e-05,236,-0.021930925439353002
"parallel",24.373538036790436,2.0873008421785094e-05,11985,-0.03268284401433203
"amg",24.182995558814074,2.2876107777594056e-05,600,-0.03967513106872638
"rfixfc",24.05106078838531,2.4374264258680263e-05,16,-0.02310912065020243
"iti",23.95177271977329,2.55658490272156e-05,12782,-0.03654143179102038
"investigatesafety",23.762577932507142,2.7999492787392422e-05,5,-0.03639191142470842
"marginal",23.51603535459222,3.152044670515569e-05,16,-0.023711235494897186
"zone",23.51603535459222,3.152044670515569e-05,404,-0.048223289329101006
"chs",23.214149475969464,3.6437981440872836e-05,92,-0.08342562060659008
"zaslepena",23.133855136341438,3.78700092486975e-05,5,-0.013951746376287997
"lacosamide",23.087278334421537,3.872625449254171e-05,143,-0.0573907351751061
"aperto",23.0072683617149,4.024239181100198e-05,519,-0.06740721449813478
"braccio",22.93951920783859,4.1572345019374433e-05,58,-0.02579087981320175
"randomizovane",22.920267790145623,4.195818943593824e-05,3,-0.05110690963828909
"cieco",22.8940410080174,4.248958521954181e-05,999,-0.13168384045040632
"pioglitazone",22.805002174669216,4.4344184848378026e-05,131,-0.04728170825570584
"trials",22.748125100044206,4.557088039016737e-05,161,0.05261717321132165
"octreolinTM",22.529045828234988,5.062013335506348e-05,0,-0.023109120650202382
"hemolytic",22.442405959844976,5.276746358245357e-05,41,-0.045565143033231996
"hlh",22.42689159186067,5.316145131333804e-05,14,0.01068243528447292
"laq",22.4021056847643,5.379698033415692e-05,737,0.021927159984849218
"cqr",22.2244893715386,5.857814203126792e-05,11,-0.036539923721339025
"venice",22.115770964432464,6.17111623250693e-05,8,-0.07180809613603227
"klinicke",22.05043442912782,6.367374930594078e-05,5,-0.017921163240148807
"lysosomal",21.89722722378639,6.852307893064107e-05,25,-0.027028991773499288
"ucinnost",21.805993151495652,7.158381664756581e-05,5,-0.02830347506569303
"doppio",21.363619285995718,8.846852466310291e-05,979,-0.06215027930004265
"unico",21.206330328466446,9.538321075626788e-05,14,-0.027200809787368406
"kontrolovana",21.162581168443836,9.740041626475847e-05,6,-0.029979654025426697
"indolent",21.143231342986905,9.830610389946855e-05,148,-0.07630368916975572
"vitreomacular",21.136607800324956,9.861804818870453e-05,17,-0.036422209019100885
"group",21.109665111442226,9.989714191349003e-05,11518,-0.025313685292935942
"adequate",21.08507181810915,0.0001010791161674771,2038,-0.03394763693822022
"bezpecnost",21.08236061473938,0.00010121026818237686,6,-0.03812249228925812
"randomizovana",21.022836423727178,0.00010413278627277416,6,-0.031500660255702986
"v",20.98195154236496,0.00010618868693401905,50955,-0.047575120142585754
"moderately",20.924077145487853,0.00010916819260488569,985,0.0967651022599797
"es",20.89891220309796,0.00011048957268579788,35363,-0.03273055395604018
"hodnoceni",20.69470224276028,0.00012181842910297263,5,-0.023109120650202403
"singolo",20.663176673796933,0.00012366755521568866,64,-0.023098676140743252
"zorblisa",20.524422703768035,0.00013214403192450896,7,-0.03654143179102038
"costs",20.473948472184343,0.00013536893648671017,18,-0.06039375976959481
"pedfic",20.452014245602676,0.00013679467164855113,7,-0.023098676140743252
"ln",20.37470340379544,0.00014194017043751028,2114,-0.03559353601043784
"infiltrating",20.37470340379544,0.00014194017043751028,9,-0.04919519692314582
"amapa",20.355032578478987,0.00014327984751021973,7,-0.03230421394926083
"toseverely",20.355032578478987,0.00014327984751021973,7,-0.032682844014332045
"previously",20.32369384651908,0.00014544021459957158,2211,-0.051792981656063025
"contenia",20.26458497563837,0.00014960359293548136,0,-0.02310912065020241
"tail",20.262565037277525,0.00014974794627288626,58,-0.039503971860189814
"tecentriq",20.262565037277525,0.00014974794627288626,8,-0.032655057467448505
"large",20.171551501031878,0.00015639807859657158,361,-0.028303475065693008
"solo",20.164400380773095,0.00015693288325475133,352,-0.023109120650202424
"fl",20.115023711188087,0.000160675587334937,4461,-0.038536404113443896
"kte",20.11448888297163,0.0001607166094391851,636,-0.023109120650202403
"ofbrexpiprazole",20.113619626182377,0.00016078330494693512,5,-0.032682844014332024
"diffuse",19.996413312005043,0.00017003320170135266,322,-0.032682844014332024
"genentech",19.974208964702193,0.0001718443347805537,22,-0.11509100418457237
"da",19.917583856654744,0.00017655044971717044,18034,-0.028226776395753238
"ipilimumab",19.883093021684292,0.00017947962422778176,308,-0.09274131684355558
"enzalutamide",19.877825766811313,0.0001799311897896673,77,-0.03704447337957055
"hds",19.780636481390665,0.00018846920404871076,8,0.08602780690709642
"dlbcl",19.71841533599823,0.0001941457876602249,151,-0.039791970787440185
"ramci",19.439248911672976,0.00022178291165603193,0,-0.02581161569068839
"documentar",19.41049900537709,0.000224842557521216,19,-0.03333022625323442
"abt",19.3483374418189,0.0002316023100147897,578,-0.02830347506569305
"pembrolizumab",19.307774030723607,0.00023612202757909126,414,-0.028295680092631725
"kteri",19.283771239476323,0.0002388377253758556,58,-0.049634556746038144
"prf",19.208898910467955,0.00024751012987577663,9,-0.036538615800393116
"studie",19.173033266254798,0.00025177471689387707,2154,-0.036369006850156725
"ponesimod",18.994985304889752,0.00027405239371575796,41,0.05021846865345184
"d",18.646778474654155,0.0003234440197665782,57598,-0.07493554862071905
"harboring",18.62754094750229,0.0003264173479974668,94,0.04062439443416495
"migalastat",18.547009132564455,0.0003391622359183866,5,-0.03654143179102038
"bleeding",18.507137515282224,0.00034565427113866754,219,-0.03802363112389386
"pcyc",18.447908902438588,0.00035552693672803775,6,-0.02822618920304065
"donezepilu",18.409767668351613,0.00036203255004766993,9,-0.06516342026873395
"tezkoualzheimerovou",18.409767668351613,0.00036203255004766993,0,-0.03268151994290922
"pokracujici",18.409767668351613,0.00036203255004766993,0,-0.02822618920304065
"jakopridavna",18.409767668351613,0.00036203255004766993,0,-0.03265929088663321
"dlouhodoboubezpecnost",18.409767668351613,0.00036203255004766993,0,0.021095406129663062
"adjunctivetreatment",18.409767668351613,0.00036203255004766993,15,-0.04116750771199194
"moderatealzheimer",18.409767668351613,0.00036203255004766993,15,0.04296091205131172
"etp",18.394061054758904,0.0003647458648718771,13,-0.04282651720069936
"alternatives",18.394061054758904,0.0003647458648718771,8,0.1226371412241572
"ssc",18.37836661092675,0.00036747727888851477,74,-0.05335150583518577
"esketamine",18.278516155299435,0.000385337731236329,65,0.00593837391890796
"karcinomaban",18.142725982563686,0.00041101972078353685,0,-0.057515252099935285
"uremic",18.1057977710546,0.0004182936741686254,51,-0.06176326582137081
"eyeguard",18.068386557465487,0.00042579330161917467,20,-0.07084200077029958
"tablets",18.001340410453572,0.00043956975706156053,620,-0.028495066576554973
"liposarcoma",17.827806790561567,0.0004773197862175239,13,-0.055796307605659595
"partecipato",17.82313096415021,0.0004783803520430719,12,-0.07349545068535501
"urothelialbladder",17.7124257373223,0.0005041862951104205,5,0.05524378370107738
"anksciau",17.683770208421233,0.0005110885648940327,0,0.05118345094060885
"comparison",17.64145573582099,0.0005214530076316561,1355,-0.030954813470511645
"randomizalt",17.64066846511679,0.0005216478074560134,1,-0.03019222291521952
"controllato",17.617359507874003,0.0005274481994634958,813,-0.03986080273433486
"ketoconazole",17.511516935339817,0.0005546040262449177,28,-0.03230950018416102
"rituximab",17.472806435604475,0.0005648792649252186,814,-0.041286062030068724
"abierto",17.444079185791203,0.0005726266916068608,1861,-0.09846636374376978
"galcanezumab",17.247871704098635,0.000628441285750656,12,-0.03980745282835449
"octocog",16.917733952850984,0.0007348151345807072,24,-0.032682844014332024
"ucinnosti",16.876321750192176,0.0007493632718783514,4,-0.04972831802400041
"reasons",16.79867697784328,0.0007774155727833233,9,-0.03395058661028314
"lipase",16.770133629694612,0.0007879882236332173,39,-0.06425412306538265
"pristupu",16.74121178475251,0.0007988467830931047,0,-0.08132313919632497
"week",16.736888476274444,0.0008004826697780199,6982,-0.03654143179102035
"cteph",16.66879420903806,0.0008266921416806878,57,-0.085409318908246
"termsafety",16.624741162467643,0.0008441005471129583,44,-0.03800168019391116
"day",16.6177883565178,0.000846881160543006,1456,-0.03664801205971557
"lymphohistiocytosis",16.54231239326617,0.0008776578588678059,12,-0.03957209162188949
"release",16.445828504186633,0.0009186238768003422,755,-0.023533581266725032
"cabazitaxel",16.42922703113939,0.0009258617709570427,41,-0.023832060272148636
"caps",16.390025446508826,0.0009431784277419567,338,-0.03680241647770043
"solid",16.380694010978694,0.0009473476130938244,503,-0.08230442477341277
"world",16.329398380681866,0.000970594969305631,115,-0.036005106173897364
"crohns",16.323150848686428,0.0009734648032629565,3,0.06078119582455721
"vak",16.262811091783018,0.0010016196015071347,698,0.042713716585213446
"navstevu",16.210597866796956,0.0010266342678712217,0,-0.028278672737292246
"versus",16.125608703738166,0.0010686849112805656,8862,-0.040262921371047
"studyotevrena",16.10581045024301,0.001078723700562649,0,-0.028278672737292246
"notch",16.034501155155006,0.00111566365117716,8,-0.05727973976016215
"agent",15.99353515727016,0.0011374503042304912,670,-0.036275826560470154
"fop",15.893536154620552,0.0011924224461372522,12,-0.03654143179102038
"alirocumab",15.863981095035587,0.001209168982302597,74,-0.027433996129975075
"e",15.84365840190443,0.001220819539375058,57916,-0.02830347506569303
"tipiracil",15.834388485606501,0.0012261707269837897,15,-0.005769792912969664
"bid",15.825105825230501,0.001231552606057829,1346,-0.02822618920304065
"induction",15.706059601484283,0.0013026876550684954,899,-0.02822618920304065
"kettos",15.669641130999832,0.0013252531713564746,1,-0.11207081548322317
"vizsgalat",15.544032075624024,0.001406101097371936,1,-0.0704896626624569
"mt",15.541660702790827,0.0014076735913667007,1085,-0.05641734735563809
"quetiapine",15.535994682777186,0.0014114378881822634,93,-0.029520912735974847
"az",15.532124907261135,0.0014140145662337347,6261,-0.0293422567031007
"pf",15.420594731262096,0.0014903167191972918,689,-0.013453988866163087
"midostaurin",15.399880475319689,0.0015049315965245497,18,-0.059974901839916994
"mutationpositive",15.38551674199831,0.0015151493061548208,1,-0.028303475065693022
"diabetes",15.36697335073804,0.001528442108041582,3144,-0.023109120650202413
"replacement",15.331556375883139,0.0015541531522129468,351,-0.03792505770492025
"sicurezza",15.264356468019477,0.0016041225476159928,1032,-0.026112884484092706
"somavaratan",15.25938024178761,0.0016078856109302568,5,-0.06184867938246321
"centre",15.226010957935742,0.0016333470473534567,5897,-0.05039631426591197
"homologous",15.186629294385277,0.0016639111599211077,34,-0.02454465971680486
"aln",15.172882049892225,0.0016747134737236092,217,-0.046871634917234825
"olesoxime",15.160298631299932,0.0016846622590418411,7,-0.028303475065693025
"histolyticum",15.111647899758042,0.0017236815190652623,2,0.02761722211973521
"mediastinal",15.075050798019136,0.0017536231624236064,8,-0.045676999453586505
"urothelialis",15.073878633515964,0.0017545906405715597,0,-0.03913518665778501
"upadacitinib",15.065468437914323,0.0017615477739613302,187,-0.023064475952650876
"longtermclinical",15.053865236605619,0.0017711911920757796,5,-0.06890570725598058
"tacrolimus",14.989733194891306,0.0018254437102827629,199,-0.03225722426570475
"orzora",14.969510634016299,0.0018428904655378637,6,0.06977139954206397
"advate",14.95075641514262,0.0018592182189581569,41,-0.035652710452562714
"obinutuzumab",14.936460148896597,0.0018717611177882052,83,-0.06124340116248877
"molybdenum",14.882906572213022,0.001919497261006474,7,-0.06725205342800913
"mocd",14.882906572213022,0.001919497261006474,7,-0.03394763693822022
"filgotinib",14.79773349811559,0.001997917419747697,124,-0.027620267663423174
