"feature","chi2_score_controlled","p_values_controlled","sample_count_controlled","correlation_to_controlled"
"ole",31.303264782157438,2.2070817691827796e-08,9763,-0.03560892898092485
"bax",28.714387379874395,8.387825768783862e-08,64,-0.049106268388624155
"roll",28.587512744097786,8.95578710552328e-08,26070,-0.06255816225271814
"hoffmann",28.470792213662143,9.5122706336976e-08,35,0.09160437079067506
"expanded",27.277875082710967,1.7621626745853828e-07,105,-0.04554990753414715
"ib",27.272466250850083,1.7670989785483912e-07,14108,-0.060246584525296194
"romiplostim",27.217612428047648,1.8179503639683273e-07,43,-0.09074263365622126
"judged",26.985454771072785,2.04992242505684e-07,42,0.0645112172638871
"pediatric",26.747438252899293,2.3185890452149358e-07,1196,0.08625918281967768
"fusion",25.362379760542968,4.750935643056342e-07,837,0.06757314474036895
"rebetol",24.924207855090533,5.962894859716337e-07,20,0.05291758581616637
"multicohort",24.694000971850915,6.719299986529155e-07,20,-0.1142144041289556
"diabetes",24.307372806987075,8.212412176514041e-07,3144,-0.0502519839104623
"hgt",23.506884081814917,1.244676149404097e-06,23,0.0782125552450621
"malignancies",23.463260916655916,1.2732206190790837e-06,165,0.27970959027755304
"hodgkin",23.353547833284846,1.3479465886663533e-06,384,-0.039760807794243576
"solidos",23.35326317730949,1.3481460816788e-06,0,-0.041956576204111556
"acceso",22.225240842223574,2.4246525297472854e-06,29,0.05560847455261582
"nivolumab",21.993869786841167,2.735226956199094e-06,421,-0.04061801354907722
"pharmacokinetic",21.73038772809454,3.137812948783096e-06,2580,-0.04378071975533159
"ofrepeated",21.536803479963414,3.4710293792938673e-06,10,0.07883756738930604
"rviii",21.492207740651835,3.552693653481194e-06,31,0.09077129741581164
"singlechain",21.492207740651835,3.552693653481194e-06,21,-0.05411187222107871
"grupo",21.298067710886905,3.931275718274062e-06,1729,0.31610343790569767
"lymphoma",21.04399674543711,4.488569726212305e-06,1233,-0.03838139437476048
"rfviiifc",20.981121516756374,4.638314142200981e-06,37,0.0629495911604981
"esl",20.78495772098603,5.1384978758249585e-06,184,-0.03654225879199423
"compared",20.32385004977386,6.5380519086480435e-06,4059,-0.044994470251152
"pk",20.097196741028526,7.360447988239999e-06,230,-0.09951876847211419
"tumores",19.9772069269787,7.837081894811089e-06,113,-0.060594206841089064
"coagulation",19.752777222458707,8.81335312872823e-06,266,-0.03618084138489614
"refractory",19.606453906832545,9.514725282123631e-06,1905,-0.05440494820451544
"roche",19.432608881652232,1.0421244570530287e-05,65,-0.0439635439694584
"active",19.053169011407153,1.2712648828197307e-05,6198,-0.06843042204281083
"haemophilia",18.69397099385195,1.5346696220975733e-05,96,-0.044813693612112654
"escalation",18.56328307450178,1.643559208361984e-05,416,-0.04912100368396435
"intron",18.47211467726331,1.724085119543298e-05,26,-0.0408681898125965
"pharmacokinetics",18.210411561027044,1.9779461205795253e-05,2242,-0.21421845972847572
"milligrams",18.14485185976735,2.0472212855172266e-05,23,-0.05050251421579065
"brazo",18.069724642154014,2.1296088311120526e-05,176,-0.035004177309623845
"bcc",17.849838843874217,2.3903951238448946e-05,32,-0.03370813967743638
"braccio",17.835663947388852,2.4082680570589008e-05,58,-0.03146100735120113
"minitablets",17.817474179447174,2.4314001395541456e-05,16,-0.04061801354907722
"avanzados",17.595334340438136,2.7325793977877765e-05,51,-0.08700947040354272
"iii",17.581339095355666,2.7527640091817558e-05,9312,-0.06898317550263783
"rollover",17.40369712151025,3.0223752003712778e-05,61,0.04226173961098593
"basket",17.287276068164562,3.213313383153864e-05,20,-0.03162642077631815
"ni",17.06765796849923,3.607139812696086e-05,27297,-0.04593584236174447
"week",16.900229917838864,3.9396810459928376e-05,6903,-0.039579544754163934
"doble",16.830746686322705,4.086580784716661e-05,3667,-0.03440560631332074
"pet",16.793882011435343,4.1667423138228326e-05,706,0.15225971937342656
"rsg",16.618667129448102,4.5699017349504406e-05,24,-0.08132495162205086
"orodispersible",16.418091971342488,5.0798063712885517e-05,18,-0.0517780815197234
"kpt",16.41019073758707,5.101024677076859e-05,29,-0.05518680877949001
"largo",16.328382896577715,5.326022835379458e-05,409,-0.10266196110046431
"cabazitaxel",16.286493348362622,5.445069348298279e-05,41,-0.04720111017321648
"wilate",16.241954386229143,5.57458203930093e-05,6,-0.0502313667452311
"ciego",16.191066937339738,5.7263516374163925e-05,3568,-0.06374369070658671
"child",16.003056561538582,6.324030156974609e-05,1841,-0.06669039427880664
"expandido",15.971355043778054,6.430820351165613e-05,23,-0.044495915269407764
"plazo",15.945279596806039,6.52001672530445e-05,419,-0.069938186015586
"previously",15.794959302749657,7.059032219944096e-05,2174,-0.04061218296448732
"openlabel",15.733124913756244,7.293567292485422e-05,0,-0.03962946929190058
"mellitus",15.709310228768185,7.385972345640305e-05,1674,-0.039512003276288614
"singolo",15.695005512273218,7.442042331598598e-05,63,-0.11440228289046744
"lymphoblastic",15.46279311958384,8.414543897507153e-05,160,0.08830283470662648
"selected",15.310286938420472,9.121842064437086e-05,135,-0.05501866414857403
"aleatorizado",15.29109552920142,9.214987252841566e-05,4819,-0.04697225711743538
"brentuximab",15.259874166588181,9.368569165617001e-05,62,-0.0436161178372131
"hlh",15.228033986722071,9.527848503123003e-05,14,-0.04461954160101152
"t",15.21135798834177,9.612354079682789e-05,57216,0.04084143805871104
"type",15.196091345576964,9.690378931809541e-05,4323,-0.04199526239871881
"rvwf",15.110439131067348,0.00010140100600512157,25,-0.04806228133216781
"rix",15.084257221984684,0.00010281718155250529,223,-0.025687163789549668
"tisotumab",14.80012758856751,0.00011952741463479321,16,-0.04648958430233277
"mavenclad",14.702755146013448,0.00012586236777871777,17,-0.05413806303322786
"mps",14.615147402982942,0.00013185048406491766,59,-0.058801484807899776
"children",14.609278267080267,0.00013226175187167435,1716,-0.07492682752842367
"rhfviii",14.538145435669062,0.00013735013856607564,17,-0.04609138732938724
"aperto",14.52629935111634,0.00013821647705611432,514,-0.048023934605693396
"gamma",14.471160531442965,0.00014232191218433408,91,-0.38107588327877834
"expansion",14.459884922205115,0.00014317645795772219,55,-0.0546011602018241
"lymphomas",14.36941950320291,0.00015022227428422997,73,-0.07050616004199278
"notch",14.248932184873553,0.0001601516479046085,8,-0.04404741524753776
"harboring",14.120545947304626,0.00017146072331908197,94,-0.040423548541812376
"limmitless",13.911962814592199,0.00019157526715228216,9,-0.036326208861017006
"ledipasvir",13.890576466016382,0.000193767564831273,20,-0.037597141654194643
"unico",13.866824966310965,0.0001962319471740829,14,-0.030011315704136846
"determinants",13.741862660480933,0.00020972741759754212,9,-0.20989697936018392
"comparing",13.712362443756035,0.00021304747529717305,2915,-0.04976135862553156
"bim",13.707367039515477,0.00021361489569983303,195,-0.06709422118207091
"spm",13.702926900986375,0.00021412052238855702,6,-0.04974148807394709
"ds",13.586465027147696,0.00022782224481954807,1877,-0.038930757057224735
"rhgus",13.552538124127372,0.00023197750829446453,5,-0.05921956887513935
"metformin",13.416766923241314,0.00024938514793219945,1125,-0.0431131608206893
"dummy",13.41548579090568,0.0002495555267791036,1684,-0.04500338782061784
"abemaciclib",13.407419008979865,0.00025063103301670045,39,0.060228751743309716
"g",13.392432119098322,0.0002526415822330938,49383,-0.04492543030571326
"viii",13.382066291461438,0.0002540417004717053,221,-0.040423548541812376
"termsafety",13.347086867435625,0.0002588243729808388,44,0.047032718965680065
"lysosomal",13.290997298449401,0.0002666835856821547,25,0.03954377970471845
"compare",13.285792269322224,0.0002674249963797406,6011,0.044011304507365
"sofosbuvir",13.227211328431778,0.0002759140110213522,80,-0.04066981144437047
"sebelipase",13.190727578311193,0.0002813376507672721,11,-0.03973468878485825
"ix",13.147873120858533,0.0002878457953590225,2980,-0.04605335913855612
"large",13.051905084770901,0.00030297607103851773,361,-0.04228477986168042
"selinexor",13.028892477988549,0.00030672188872108265,41,-0.042689291026904275
"emtansine",13.005033038501677,0.00031065486149156087,77,-0.044960824780494624
"program",12.949459524847915,0.0003200138690285445,203,-0.042303625684269645
"sof",12.933259206836203,0.0003227952761906919,405,-0.04061786763541066
"jednoramenne",12.881677646802256,0.00033181466200274233,0,-0.03627533922626014
"cl",12.8795446317,0.0003321930580708813,13384,-0.048515265016200515
"adjunctivetreatment",12.75911779272554,0.00035427795132102685,15,-0.04809273067961651
"moderatealzheimer",12.75911779272554,0.00035427795132102685,15,-0.03280398042457723
"continued",12.62977956161976,0.00037964994304632394,150,-0.03632894891058853
"controlado",12.618753916885543,0.00038189582505086036,3127,-0.051947966419498726
"olokizumab",12.52885364955589,0.0004007155807219122,18,-0.052009589664962
"noncomparative",12.521803669686344,0.0004022304078782795,16,-0.06030177620299225
"marginal",12.512640002770885,0.0004042080406394301,16,-0.04034280181097003
"tf",12.510231410813798,0.00040472947063455254,1270,-0.04022648260382118
"perjeta",12.42710264979486,0.00042314785767272995,10,-0.05804688529337495
"jednoramenna",12.371385089487505,0.00043596406557983,0,-0.03528432905972735
"vs",12.366908807109633,0.00043701054728664785,1885,-0.044495915269407785
"insulin",12.240905562095424,0.00046753133197127673,1111,-0.05645258900922069
"pyrexia",12.1989896603433,0.000478154051327908,8,-0.034205051898077314
"pugh",12.134754753855862,0.0004949077642942316,16,-0.37285643029967014
"daily",12.111650658725424,0.0005010775941798512,3012,-0.04354819204328449
"szklerozis",12.065926300136557,0.0005135178826431666,0,-0.030207295799648523
"lipase",12.043798329866489,0.0005196497542744855,39,-0.045181794531248445
"benefit",11.982582998859202,0.0005370009737127551,294,-0.05776029269783763
"alterations",11.935052539064493,0.0005508757445062216,55,-0.03918629079409633
"pokracovaci",11.868625293029726,0.0005708753549116952,0,0.1645729314906549
"leukodystrophy",11.86456083728267,0.0005721225993779905,12,-0.07665510602488937
"metachromatic",11.86456083728267,0.0005721225993779905,8,-0.02845541201032647
"dokoncili",11.777112070561119,0.000599634387599343,0,-0.08120071124720743
"uncontrolled",11.746030222811573,0.0006097314888031162,460,-0.03632751220529377
"genentech",11.740755854665016,0.0006114618567422119,22,-0.05343802279483641
"ceritinib",11.725364241289661,0.0006165398044622711,18,-0.0660764632200341
"wve",11.713681192651096,0.000620422648986988,6,-0.0710864765190411
"tas",11.654054030848954,0.0006406277239115771,5663,-0.03440560631332074
"iiib",11.48928900116022,0.0006999840889606396,1038,-0.06239250799263406
"relapsing",11.48017952343001,0.0007034233501594525,833,0.2731250920728413
"radiprodil",11.337804094965387,0.0007594507243838517,5,-0.06946460389850323
"immune",11.333196949415685,0.0007613371908950872,394,-0.04798468889381273
"cteph",11.294187821606835,0.0007775010590266393,57,-0.07040820124212943
"younger",11.260854620991042,0.0007915875776560023,20,-0.04460188819818104
"vizsgalata",11.235752995769815,0.0008023654658854886,0,-0.04750346790831181
"vedotin",11.233475739780586,0.0008033505591485764,104,-0.04032773619633868
"nectar",11.168846165440543,0.0008318234372013314,4,-0.03890755452602886
"tki",11.166105918834745,0.0008330529572917067,221,-0.03632894891058856
"non",11.147456839393941,0.0008414695362538036,4878,0.12956458749717667
"ibiiia",11.139629045025796,0.0008450278853932399,0,0.30857417670592713
"filanesib",11.124116021422466,0.0008521247792551921,15,0.0462951769699347
"algorithm",11.036701951117776,0.0008932563149751922,57,-0.05906015884644525
"urothelial",10.996375456622465,0.0009129023921046045,185,-0.07079269741768314
"molecular",10.939753276088053,0.000941227022745544,149,-0.10282013591984102
"pibrentasvir",10.901145061379383,0.0009610483291797518,17,-0.0484642172195877
"glecaprevir",10.901145061379383,0.0009610483291797518,17,-0.04654395794675624
"factor",10.887730079053139,0.0009680338965827303,925,-0.03757885698198046
"orfadin",10.87103695881009,0.0009767982292577429,5,-0.060957186229740376
"panobinostat",10.784475474882903,0.001023549041528534,33,-0.040487431371112964
"modifications",10.698871820175894,0.0010720088601867018,9,-0.03886663899334054
"hyper",10.657909402996577,0.0010960120463570466,2445,-0.04572971459976411
"cardiovascular",10.633651242734915,0.0011104824479603026,1112,-0.055099232331072695
"interventional",10.626442080673316,0.0011148199755551262,169,-0.07455804770407784
"protein",10.614960264099246,0.00112176364189305,435,-0.04963498518508379
"daclatasvir",10.582921867553761,0.0011413712416832133,49,-0.061217882453234986
"autogel",10.573493966528538,0.001147206913448908,43,-0.04798893932886861
"fibromyalgia",10.564788571860763,0.0011526221724210705,105,-0.04802813545403291
"solo",10.553990770763205,0.0011593749786661068,350,-0.03804593037611981
"ln",10.550248508480063,0.0011617246701681168,2099,-0.03632894891058854
"inclusive",10.545251964153564,0.0011648694132255603,59,-0.05147992604863732
"terme",10.533664031800978,0.0011721958598859452,344,-0.043895984479286214
"ibrutinib",10.518731478883112,0.0011817057345531823,215,-0.2012984889346987
"vismodegib",10.505954554904196,0.0011899047410761704,29,-0.04802813545403291
"yield",10.491452092452137,0.0011992808076455098,16,-0.06826025923869342
"nyilt",10.488595859704082,0.0012011361997351466,1,-0.04438130955352829
"relapszalo",10.458511872161564,0.0012208558902101734,0,-0.042810124308085194
"immunodeficiency",10.456684807354184,0.0012220640084230187,54,-0.13394140167709342
"exposed",10.426340185425609,0.001242306759680701,39,-0.07681898003272954
"ouvert",10.370168263900469,0.0012806787503940238,158,-0.05831603644181625
"idarucizumab",10.359122709441852,0.0012883641572597733,14,-0.04393350536617533
"mutated",10.322578212915966,0.001314125835567556,108,-0.036311603699021
"microsatellite",10.289126025097078,0.001338164563030338,20,-0.1034385322709591
"mg",10.229230280068396,0.0013823233746146954,5456,-0.047840462752468595
"zone",10.190065884711695,0.001411992701353109,396,-0.05143356035797773
"capmatinib",10.160050427637835,0.0014351669555651122,11,-0.03997577725577196
"rfviii",10.146565907540511,0.0014457030566880273,77,-0.20934068260195457
"esketamine",10.094349618965953,0.0014872464187068392,65,-0.054283921953930406
"flibanserin",10.06798679709455,0.001508677916762696,15,-0.04424610892682153
"dailyin",10.06798679709455,0.001508677916762696,13,-0.04370882048065078
"kiterjesztett",10.064383506952565,0.0015116313868838882,50,-0.039411523555432704
"met",10.056046693337292,0.0015184871998105264,9915,-0.04725895118602309
"estensione",10.023366704652643,0.001545666782140184,88,-0.04368784261913797
"ranging",9.982967618029866,0.0015799484371458276,1109,-0.07697401100172435
"patisiran",9.938309409789355,0.001618741467469621,13,-0.12295258639039297
"galcanezumab",9.920216625118128,0.0016347314035699426,12,0.06733627273925105
"methotrexate",9.832950025703276,0.0017141321198537133,930,-0.049750916845885826
"fgf",9.825381057801799,0.0017212003803417756,106,-0.06384450313060376
"mrd",9.775226828437066,0.001768788982760828,20,-0.04063120919336881
"myelofibrosis",9.71104437099444,0.0018316389520825955,108,-0.04243740141505651
"mss",9.69516028500299,0.0018475396615905651,6,0.13285590864240723
"thalassemia",9.68382921620049,0.0018589680250656754,30,-0.04707751246509616
"comparison",9.68312397061976,0.0018596816903368933,1340,-0.03788790395868448
"somatic",9.663983613984538,0.0018791569655158221,18,-0.05595446242691247
"alirocumab",9.63753066485917,0.0019064135922549426,74,0.059160415104381386
"advanced",9.631176151335234,0.001913020649249289,3765,0.07094119183513233
"iti",9.629744458388894,0.001914512442216997,12648,-0.03146100735120113
"egfr",9.616323679072499,0.0019285540714784476,267,-0.025687163789549664
"ampliacion",9.587876382126982,0.001958663531888229,0,-0.03984401539801755
"associatedinterstitial",9.587313255969363,0.001959264347446573,8,-0.04316232547466078
"ofnintedanib",9.587313255969363,0.001959264347446573,8,-0.04170109239268344
