"feature","chi2_score_randomised","p_values_randomised","sample_count_randomised","correlation_to_randomised"
"week",25.41472042311551,4.6237640372570635e-07,7502,0.10682539684225464
"ciego",24.749890765227562,6.527250013012893e-07,3694,0.05164699520473401
"mg",24.488675085025573,7.474789862824202e-07,6135,0.37044788706962845
"dummy",22.131350666512652,2.5461743087678505e-06,1774,0.07665549092382132
"trials",21.84078583802672,2.9623572190388595e-06,175,0.05964319193672478
"hemolytic",21.545300229214337,3.455684983356173e-06,49,0.13813818262183722
"pharmacokinetics",21.478873602059153,3.577483674469284e-06,2519,-0.03726501947931634
"efficacy",21.037357786330922,4.5041492940125286e-06,28573,-0.042499556459352376
"judged",20.93422447309727,4.7532602053334915e-06,45,-0.09525373775660309
"type",20.73041275122488,5.286960140888713e-06,4735,-0.039511688465689115
"mellitus",20.52401958710876,5.88876365388181e-06,1751,-0.056591181399598886
"metformin",20.49331039263906,5.9840025799580315e-06,1218,-0.042169997835205156
"provide",20.426545068546208,6.196431873202115e-06,55,-0.047678515153824194
"acceso",20.288471800020144,6.660066547681092e-06,39,-0.07085523977638149
"roche",20.2317013693656,6.86065495425931e-06,86,-0.04279111882129419
"expansion",20.23084811042776,6.863715605191333e-06,64,-0.05181272997740952
"compare",20.058916240243196,7.5092605554375726e-06,6348,-0.044495794848635355
"ged",19.813162257750506,8.53926221432116e-06,1266,-0.22347571635729205
"participation",19.69799669312389,9.069639331652693e-06,33,-0.05439327434984688
"vs",19.074412369184774,1.2571920567252561e-05,2012,-0.04114257330550323
"daily",18.95295402442463,1.339816730777776e-05,3369,-0.10955464420301728
"multicohort",18.928395521522216,1.3571748234029637e-05,20,-0.05496249909294505
"ahus",18.84750143685155,1.4159645612683285e-05,40,-0.040414470549073586
"controlado",18.657196524687116,1.564556099161343e-05,3237,0.047551432182912794
"ranging",18.620008686997597,1.595373085703641e-05,1194,-0.04443867373514958
"agent",18.594819588207017,1.6165925417259782e-05,738,-0.032832834403269257
"immunodeficiency",18.42368128613277,1.7684647015587553e-05,83,0.041745722968757
"moderate",18.395405420963,1.7949026015520816e-05,4455,-0.033670073858809144
"unico",18.308766535803993,1.8784077645091056e-05,15,0.17876036532091683
"pharmacokinetic",17.699086664195043,2.5875081058509828e-05,2940,-0.08506608466132383
"leukemia",17.648415009315794,2.657366339436412e-05,1212,0.06335345122427222
"plus",17.443327082519897,2.9600151768628475e-05,3099,-0.04576712872635057
"children",17.41560239655523,3.003504075340108e-05,2023,0.051415977069681436
"fusion",17.382328199483545,3.056546609354848e-05,987,-0.03117538178659066
"escalation",17.281743573759847,3.222682940041996e-05,528,-0.051487927048309914
"hoffmann",17.125920407030733,3.498161983081698e-05,49,-0.10147174266305484
"brazo",17.07882572318906,3.5859897718428386e-05,197,-0.05035212086909299
"g",16.937010344334244,3.8640814312523115e-05,54930,-0.03538524653563886
"braccio",16.93601595249807,3.86610602791994e-05,84,-0.05100579995790756
"ib",16.68640770137213,4.409581021103279e-05,15716,-0.03430655467530834
"control",16.681386365742632,4.421268436660534e-05,28321,-0.13151961660651001
"rhfviii",16.61902470102983,4.5690402730135696e-05,32,0.11988684006155231
"lymphoma",16.40484327051145,5.115435535511223e-05,1454,-0.04963148699373143
"methotrexate",16.29371152286787,5.42436674291329e-05,989,0.051278781684043685
"haemophilia",16.18166773402019,5.754835695296537e-05,125,0.04263599144686044
"largo",15.949082439820163,6.50693122846966e-05,485,-0.04099756092527669
"tumores",15.931573439435235,6.567399302687229e-05,152,-0.045747786571215567
"continued",15.854380095371235,6.840801443201389e-05,176,-0.041450373760362556
"kiterjesztett",15.847852275833159,6.864440076016274e-05,59,-0.06282427163217104
"plazo",15.513999210408748,8.189649046838334e-05,495,-0.045557090601910585
"expandido",15.42075349979708,8.603817880270736e-05,29,-0.05660660869491604
"blinded",15.375020328463286,8.814589907101099e-05,1351,-0.37505612123618953
"singolo",15.268184989844952,9.327437342310402e-05,88,-0.06548690965751959
"lentiviral",15.250821318953886,9.413581130661868e-05,23,-0.04542921870334794
"ceritinib",15.194940601610414,9.696285927921436e-05,18,-0.062024164004004304
"brivaracetam",15.141155114538776,9.976458467551917e-05,102,-0.2228157718607541
"itp",15.055066018655229,0.00010441961236795665,82,-0.04686745027731598
"lymphoblastic",14.907046935554888,0.00011294030978281842,210,-0.057872212550386715
"insulin",14.656212705252761,0.00012900870787421048,1208,-0.06881568056115257
"nyilt",14.569656248631002,0.00013507218048617784,1,0.06534337808385246
"bcc",14.538026460705574,0.0001373588123136231,34,0.05489827758139091
"eltrombopag",14.510930429428225,0.00013934865564051762,101,0.047349169373342284
"uremic",14.382638108745473,0.00014917137241992695,57,0.06415937286349212
"pet",14.34588883436429,0.0001521114854094091,761,-0.028132713018803945
"factor",14.313490134211207,0.0001547519005115949,1071,-0.03143596340577405
"novartis",14.214103219256655,0.00016314320000185536,94,0.06746431500418412
"solidos",14.213141012333818,0.00016322664058660707,0,-0.052478384771641226
"rviii",14.187711007934176,0.00016544752454474717,31,-0.03342704392435554
"singlechain",14.187711007934176,0.00016544752454474717,21,-0.039380142321951785
"esl",14.040702998027575,0.00017889605411666612,197,-0.04258234108815694
"cardiovascular",13.835939924294937,0.00019948377263009838,1178,-0.03581318577143172
"heart",13.613433427747395,0.00022457280132982124,1119,-0.04824855431849334
"emtansine",13.52522565329257,0.00023537808626726493,77,-0.06575167144321475
"prodlouzena",13.501100577699114,0.00023842357654898678,0,-0.03970867173843779
"selected",13.427614411989149,0.00024794722198126073,163,-0.3717640919187252
"copd",13.285187272396971,0.00026751130754940983,982,-0.034041016045960146
"utility",13.171333636204103,0.0002842643563520045,27,0.06551197737845585
"protocols",12.964536211562901,0.000317447089008777,61,0.1942946483935792
"cl",12.770265104593225,0.0003521729218156034,14705,-0.12241097187159351
"comparison",12.725341538317725,0.0003607339716568714,1469,-0.05017809489229157
"compassionate",12.468218824037738,0.0004139346103101973,16,-0.034783033191138055
"previously",12.367607977210206,0.0004368469258653398,2437,-0.09905394879725696
"basket",12.355350961954715,0.0004397243190363984,20,-0.05535361390602765
"fviii",12.232821028642036,0.00046956148708580383,176,-0.04758785371407951
"sirround",12.129015385293341,0.0004964332384098112,12,-0.0565369843354176
"romiplostim",11.972700161978546,0.000539856556392385,46,-0.0739019718297453
"exposure",11.947657124040946,0.0005471614151227491,109,-0.03147601124506426
"inadequate",11.852850955877534,0.0005757313708817908,1747,0.31427792241349206
"young",11.788894518816864,0.0005958510795877906,269,-0.06459937218658536
"spm",11.736577559017501,0.0006128361545465887,15,0.060933282217700634
"vector",11.732083954843754,0.0006143176430236743,47,-0.035921315886599324
"completing",11.631333943400017,0.0006485003066676296,80,-0.03623295995507625
"b",11.5511222116036,0.0006770837677375972,60465,-0.0583543964028412
"coagulation",11.53797662394848,0.000681888126806956,282,-0.0493987799101607
"pups",11.44845852004627,0.000715533319838931,22,-0.04209767715540338
"nilotinib",11.428440334386158,0.000723283746979864,134,-0.048825194298104814
"paralelos",11.395249712525068,0.0007363215025135766,1550,-0.03425482526524715
"talazoparib",11.33098678733993,0.0007622438555551445,21,-0.03717867485618966
"juvenile",11.257835149947388,0.0007928762685108908,165,0.16232847339779471
"bleeding",11.228989767366333,0.0008052946737190389,246,0.3822633185632038
"network",11.212729970599433,0.0008123812225737664,22,0.05975483061753846
"terme",11.195864032745547,0.0008197985529246641,373,-0.08407890757066204
"advanced",11.090879861152027,0.0008675331342773367,4222,-0.10221609383458927
"t",11.054349071695928,0.0008847940418895194,63671,-0.03432955199429887
"surgery",11.035390743520718,0.0008938883305181337,857,-0.03936804092451203
"gp",10.991453524244292,0.0009153299604428395,206,-0.042067674783513524
"doses",10.975963136113142,0.0009230127196272893,2274,-0.0529798912125662
"observational",10.960525325253311,0.0009307342708053326,106,-0.06989044245254912
"pediatricos",10.945982842364966,0.0009380677370583588,4,-0.06420631394319636
"replagal",10.939186577491359,0.0009415149536976589,16,-0.038105408964054836
"sjia",10.903813461503864,0.0009596649057354191,71,-0.037178643041197654
"rfixfc",10.840271813454672,0.0009931615262972347,19,-0.04656918649028031
"ix",10.808187204344495,0.0010105220325588781,3209,-0.2184208618148061
"pasireotide",10.770099350801416,0.0010315297243686683,85,-0.037178643041197654
"glycemic",10.753867139117302,0.001040616463983222,584,-0.0630927640829927
"benefit",10.710832214979227,0.0010651011047712858,337,-0.028135326130419937
"orodispersible",10.70338145768049,0.0010693990018492612,18,-0.0382956326210649
"solo",10.664440593264526,0.0010921487736691403,411,-0.11534253253512153
"interventional",10.63108373039077,0.0011120252790737986,176,-0.05672941187939506
"hedgehog",10.563509882186255,0.0011534197668498216,11,-0.05684759181150005
"coronary",10.55655619987954,0.0011577669756407053,1011,-0.02795210181816522
"escalating",10.53590688883074,0.0011707741884443264,140,-0.08953855210677916
"estensione",10.52985080776623,0.0011746169445560138,110,-0.06917703720142974
"grupos",10.510121777779887,0.0011872243104372696,1634,0.046642410057260046
"zone",10.454625185277312,0.0012234273521698326,438,-0.04310862059174764
"predictor",10.345933777882971,0.0012976020833738273,26,-0.03515899107552509
"yield",10.3380723025676,0.0013031403607861895,16,-0.03145709179610846
"tde",10.283550548300628,0.001342214160632353,19,-0.22119731126248915
"fc",10.258208618810386,0.0013607775090137145,305,-0.053930217908280564
"prx",10.223594447148352,0.001386553658093461,31,-0.053794682025951564
"cabazitaxel",10.189351104475799,0.0014125401389725753,43,-0.06246022097026134
"pid",10.117109043669439,0.0014689923723664301,1215,-0.10663032117372617
"care",10.05285197827253,0.0015211227250196456,1465,-0.04038536267207006
"tumours",9.971944078370697,0.0015894357865386358,123,0.075451138948171
"cells",9.936817832118445,0.0016200536718054012,324,-0.06801270374032375
"dvojite",9.844839140899017,0.0017030888312116162,6,-0.04267499875067393
"humax",9.788004717614452,0.0017565396080808989,32,-0.04114578958202495
"genzyme",9.776769699221843,0.0017673053444946104,15,-0.046755277791259986
"bmn",9.75738259813737,0.0017860401469374982,59,0.16943700880705867
"mps",9.756854472729783,0.0017865533095041965,65,-0.06454363127168122
"migalastat",9.719922644071714,0.0018228118863953158,11,0.06959349660899078
"minitablets",9.693017095823071,0.0018496957794283458,16,0.08063429659841491
"preceding",9.677988565385133,0.0018648867857129201,58,-0.03660170793545666
"antecedent",9.585030952157307,0.001961701317072039,31,-0.04587369766023971
"ibrutinib",9.57925994841312,0.00196787712502713,216,-0.036649082575630904
