"feature","chi2_score_single_blind","p_values_single_blind","sample_count_single_blind","correlation_to_single_blind"
"fibrin",47.7519234788854,4.837094286220857e-12,96,0.04645154509798892
"motility",46.83438773460912,7.724602045250651e-12,14,0.03587259655229715
"preparation",46.10299360328652,1.1219688745291298e-11,80,0.04631194349056998
"vitiligo",45.933601273728705,1.223296493081773e-11,4,0.08468012606932013
"rht",45.482011393810545,1.540471446310184e-11,12,0.07282669248372946
"aprocitentan",45.482011393810545,1.540471446310184e-11,7,0.041303811108321584
"anesthesia",45.25154053836023,1.7328417804553226e-11,61,0.04950036937894387
"trus",44.80023725260344,2.181962549570453e-11,123,0.04950036937894388
"rhfsh",44.68987256836422,2.3084828151689167e-11,4,0.049500369378943886
"pentasa",44.4833889669897,2.5652451124653507e-11,13,0.04950036937894387
"caudal",44.13550543056111,3.0641232400385296e-11,3,0.04950036937894387
"colonoscopy",44.09842527318094,3.122720596691133e-11,28,0.049500369378943865
"podium",43.64109596951924,3.944678014932368e-11,7,0.07476940963843738
"thr",43.392775524246204,4.478385187790242e-11,5409,0.049500369378943886
"femur",43.15905099245191,5.046590112942301e-11,27,0.04950036937894387
"tumescent",42.3873778742124,7.487167716072141e-11,5,0.04950036937894388
"swine",41.92703701972717,9.474349961436524e-11,12,0.0476065084204081
"dural",41.89128194763874,9.649190028834935e-11,87,0.07000583821632317
"sp",41.86175447432654,9.796009893006094e-11,13035,0.04950036937894388
"prep",41.50764124097181,1.1741110542651552e-10,278,0.04950036937894388
"benzoyl",41.20318909666121,1.3719851119137628e-10,16,0.04950036937894387
"peroxide",41.20318909666121,1.3719851119137628e-10,18,0.0495003693789439
"investigator",39.181429177325434,3.861961444534072e-10,361,0.049500369378943886
"parenchymal",39.17907089283533,3.86662900003287e-10,3,0.049500369378943865
"ovulation",38.55336766150113,5.327676147630867e-10,20,0.04950036937894388
"salt",38.48157268471255,5.52731149852722e-10,16,0.048755890667765235
"izinova",38.32580306115329,5.986580579828779e-10,5,0.1370154506628827
"klean",38.32580306115329,5.986580579828779e-10,5,0.049500369378943886
"electrolytes",38.32580306115329,5.986580579828779e-10,7,0.0633420799915053
"accommodation",38.292043374820814,6.091049462835814e-10,4,0.04950036937894389
"evarrestTM",38.007019127324355,7.049057799380878e-10,0,0.04950036937894389
"mmhg",37.902786986982555,7.435894026720789e-10,3,0.04950036937894389
"cutis",37.360184574046926,9.820669063220737e-10,6,0.04950036937894385
"apo",37.30226703004681,1.0116693398279944e-09,310,0.04950036937894385
"procrit",37.30226703004681,1.0116693398279944e-09,8,0.049500369378943865
"vulgaris",36.73300304749114,1.3546656660555973e-09,67,0.06372430742111328
"supervised",36.65880214071827,1.4072217271715596e-09,7,0.049500369378943886
"explorarory",36.65880214071827,1.4072217271715596e-09,7,0.04950036937894389
"bivalent",36.38638008949168,1.6183014228385466e-09,25,0.04950036937894388
"fatt",36.30550494208745,1.6868671886706838e-09,85,0.05834574254939842
"cannabinoid",35.84543675124289,2.13607745699972e-09,7,0.07000188311061369
"lice",35.05335261801131,3.2079417472311355e-09,106,0.08573712667808951
"ferinject",34.76783446510214,3.7146020338839642e-09,38,0.08573712667808951
"anovulatory",34.56611628589234,4.1201611938255806e-09,10,0.049500369378943865
"irritation",34.5424532437028,4.170553562911021e-09,3,0.04950036937894389
"acne",34.23473152507586,4.884930369359688e-09,53,0.04950036937894387
"goiter",34.22544543018081,4.908295613100714e-09,5,0.045117199801648
"mrrhtsh",34.22544543018081,4.908295613100714e-09,5,0.06056116765155294
"multinodular",34.22544543018081,4.908295613100714e-09,5,0.07024461145308529
"undergoingassisted",34.004283763274174,5.499087012999059e-09,5,0.04950036937894389
"interchangeability",33.71718988986302,6.37349881585713e-09,2,0.04950036937894385
"cream",33.464835251777195,7.256416224788176e-09,155,0.0495003693789439
"ocular",33.39848592452418,7.508239528832793e-09,268,0.04950036937894386
"combigan",32.76238579210233,1.0414061514984722e-08,2,0.03723631260486638
"fostimon",31.55120449056772,1.9424984979989864e-08,4,0.0495003693789439
"discapacidad",31.530157881737235,1.9636668427862136e-08,7,0.04950036937894388
"extender",31.530157881737235,1.9636668427862136e-08,7,0.0747354204394039
"algoritmos",31.530157881737235,1.9636668427862136e-08,7,0.08690077674345713
"ciclopiroxolamine",31.498143974664313,1.9963098349107756e-08,2,0.07000583821632309
"phototoxicity",30.901496345921007,2.71462392813922e-08,1,0.049500369378943886
"neurotoxic",30.535147374857097,3.278723655639553e-08,12,0.04950036937894388
"oedema",30.423159786248846,3.473562273899676e-08,110,0.04950036937894388
"lotemax",30.386852483745113,3.539188084919371e-08,1,0.041319566621319255
"agio",30.36497777577774,3.579324982173503e-08,5,0.04950036937894391
"egyszeresen",30.255666544313986,3.786832838939616e-08,9,0.06679027395247876
"ranibizumab",30.06525210702827,4.1774990633705316e-08,211,0.05276670530127271
"custodiol",30.05470742857371,4.2002766618725255e-08,6,0.06838976256032574
"intraocular",29.805391040276227,4.7766189083531606e-08,27,0.04950036937894387
"ipl",29.771106320982877,4.8618421122734364e-08,3510,0.04950036937894389
"conjonctivitis",29.702570551873723,5.0367986957781136e-08,3,0.049500369378943886
"azythromycin",29.702570551873723,5.0367986957781136e-08,3,0.04950036937894388
"watson",29.68786111888434,5.075163202167085e-08,3,0.04950036937894386
"esmolol",29.291033090619322,6.22832411212473e-08,6,0.049500369378943844
"breathid",29.242948785024307,6.384815072517604e-08,4,0.04950036937894387
"sutured",29.23182543502557,6.421573679587259e-08,9,0.0495003693789439
"normalizada",29.225059971354042,6.444034691877568e-08,6,0.07000583821632306
"causado",29.225059971354042,6.444034691877568e-08,4,0.049500369378943886
"concentrations",29.09474134691644,6.892381337686129e-08,74,0.07514103354717128
"implantable",28.859298363032572,7.783135774462202e-08,13,0.04950036937894388
"hypercapnic",28.830519660583793,7.899644459505112e-08,1,0.04950036937894388
"intraprostatica",28.818093376734524,7.950490134672021e-08,0,0.04950036937894389
"guiada",28.818093376734524,7.950490134672021e-08,7,0.0495003693789439
"rozex",28.72357243309891,8.34813766057076e-08,3,0.0694664307366939
"papulo",28.72357243309891,8.34813766057076e-08,25,0.08574142804780203
"metronidazole",28.684574961166625,8.517950971123269e-08,75,0.07000583821632309
"tudogyulladas",28.529319513244644,9.229031120120164e-08,0,0.05608098143157223
"remimazolam",28.384822850424587,9.944185379605062e-08,4,0.07000583821632309
"papulopustular",28.296986838601985,1.0405783488304438e-07,21,0.049500369378943844
"blinded",28.203705609626258,1.0919531314673404e-07,1238,0.0495003693789439
"carboximaltosa",28.034173363692997,1.1919191832011855e-07,15,0.04950036937894389
"reproductive",27.538877493848744,1.5396824120774083e-07,57,0.06932814488837108
"remielinizacion",27.524175164704047,1.5514310395589733e-07,0,0.049500369378943844
"meningococo",27.50181661657021,1.5694701870744422e-07,10,0.06509783548502544
"serogrupo",27.50181661657021,1.5694701870744422e-07,10,0.049500369378943865
"varnish",27.473863916054967,1.592318737925837e-07,1,0.04950036937894389
"veins",27.12628775830325,1.9058859045946493e-07,4,0.049500369378943865
"vocational",27.06303293438075,1.9692802663089332e-07,1,0.11865230637771118
"evacuante",26.953701900604063,2.0838764585224372e-07,1,0.04971611533527837
"evaluables",26.874156148604346,2.1714320620142886e-07,11,0.04950036937894389
"digestiva",26.860783281457408,2.1865094171549526e-07,6,0.06932814488837108
"minimed",26.380280702443148,2.8038845884225584e-07,4,0.03441497654390491
"insuplant",26.380280702443148,2.8038845884225584e-07,4,0.04950036937894388
"insuman",26.380280702443148,2.8038845884225584e-07,4,0.0700058382163231
"medtronic",26.380280702443148,2.8038845884225584e-07,4,0.038435693459700125
"genras",26.287374359845174,2.942057409998002e-07,1,0.05575178327760133
"genetics",26.287374359845174,2.942057409998002e-07,304,0.06898342662812404
"antipsoriatic",25.953275549738304,3.497814392243231e-07,1,0.0824016163577329
"dermatophot",25.856830490970253,3.677012133316304e-07,1,0.04950036937894389
"patiromer",25.758750531392007,3.868689799574339e-07,13,0.06523547729667818
"stent",25.74419308665017,3.897980797754678e-07,1163,0.06878178573443106
"thrombocythaemia",25.551206723388532,4.307965435599133e-07,19,0.06990364579884685
"regimes",25.44288119003249,4.5567599100530584e-07,16,0.04950036937894388
"rhbmp",25.35066374065515,4.779878890723106e-07,23,0.0668012941317142
"eziclen",25.267795066788196,4.989707800704475e-07,5,0.07000188311061369
"eeg",25.150045803159266,5.303839393046799e-07,12,0.049500369378943865
"hemostasis",25.080832798566007,5.497661151617222e-07,12,0.05781778510131447
"bare",25.075602061130144,5.512594564269063e-07,33,0.050737332837073386
"uncoated",25.075602061130144,5.512594564269063e-07,6,0.038951696243762456
"bail",25.075602061130144,5.512594564269063e-07,6,0.051647051506693416
"minoxidil",24.97879458577606,5.796433365923403e-07,10,0.0495003693789439
"evicel",24.933918117795404,5.932936965437871e-07,11,0.04950036937894389
"neurobiological",24.834953393281832,6.245464367534321e-07,1,0.06023954941259986
"colonoscopia",24.71918716333994,6.632063029569965e-07,3,0.06731246432253567
"healthy",24.690756361330898,6.730621626112896e-07,530,0.07192860241950362
"picoprep",24.53868688980396,7.28327061353566e-07,1,0.049500369378943865
"satiation",24.42995057361831,7.706130544207921e-07,3,0.049500369378943844
"acotiamide",24.42995057361831,7.706130544207921e-07,1,0.09496220966041695
"magnevist",24.42618692265467,7.721199639490124e-07,5,0.049500369378943886
"lumigan",24.39141907854943,7.861809670469504e-07,15,0.05023579809279141
"vasculopathic",24.21208273026369,8.62892320246968e-07,1,0.07000583821632304
"octaplas",24.21208273026369,8.62892320246968e-07,1,0.04950036937894385
"prepemo",24.110364062624267,9.096937575901264e-07,1,0.04950036937894388
"mechanistic",23.99524830702973,9.657374448650875e-07,21,0.04950036937894387
"intradural",23.949114215121025,9.891579214020835e-07,2,0.04950036937894389
"bowel",23.78042191676727,1.079751698288028e-06,254,0.04950036937894387
"aprotonin",23.639589447932405,1.1617268977005652e-06,1,0.03973266348573666
"adjuvanted",23.55223574549856,1.2156808553925381e-06,54,0.049500369378943886
"lipoic",23.541695549267907,1.2223586523813432e-06,1,0.04950036937894387
"alals",23.541695549267907,1.2223586523813432e-06,1,0.04950036937894385
"rivera",23.409810556366445,1.3090920763040579e-06,1,0.049500369378943865
"kezelesselosszehasonlitva",23.281960847254997,1.399060611443066e-06,0,0.0686111305027645
"hatekonysaganakmeghatarozasara",23.281960847254997,1.399060611443066e-06,0,0.049500369378943886
"reagalokozepsulyos",23.281960847254997,1.399060611443066e-06,0,0.049500369378943886
"parhuzamoscsoportokon",23.281960847254997,1.399060611443066e-06,0,0.04950036937894388
"participating",23.191957998801648,1.4660915108216153e-06,7,0.049500369378943865
"necesidad",23.189740529648414,1.4677830435990293e-06,21,0.04950036937894389
"finof",23.163059336935756,1.488290156997375e-06,1,0.05886101197710045
"hgalyf",23.138728760712052,1.5072410086835442e-06,0,0.04950036937894388
"fyrir",23.138728760712052,1.5072410086835442e-06,1,0.04950036937894388
"lysi",23.138728760712052,1.5072410086835442e-06,708,0.049500369378943886
"betesil",23.082710746122682,1.5517981701293007e-06,2,0.09900814059005641
"cpm",23.0135082779397,1.608670925964597e-06,28,0.049500369378943844
"lomustine",22.9993178760012,1.6205888929370153e-06,38,0.049500369378943886
"enhancement",22.889809275748803,1.7155900741605972e-06,16,0.03916310370127061
"tratar",22.860788848076403,1.7416892366673045e-06,17,0.04221293405161485
"phage",22.854062368171167,1.7477952475661867e-06,378,0.06932814488837108
"burned",22.854062368171167,1.7477952475661867e-06,1,0.04950036937894388
"normoxic",22.6586846225015,1.9348370870394214e-06,2,0.038938676364313106
"magnesium",22.498527711361895,2.1030472167072206e-06,20,0.054965417078682355
"robot",22.41743843554621,2.1937314161093256e-06,2,-0.11730455467799164
"mediterranea",22.385206332209915,2.2308577172283465e-06,1,0.0495003693789439
"erythematotelangiectatic",22.353347080263905,2.2681739660587396e-06,2,0.041341864822449566
"flushing",22.353347080263905,2.2681739660587396e-06,1,0.04950036937894388
"sale",22.257583006666316,2.3841537514796447e-06,71,0.049500369378943844
"argatroban",22.084217208551998,2.6094640760126414e-06,6,0.06970240040872734
"acupunt",22.07658688586589,2.619857326330013e-06,1,0.04950036937894386
"gynecology",22.012996779658916,2.7081045308829866e-06,1,0.0495003693789439
"adhexil",22.012996779658916,2.7081045308829866e-06,4,0.049500369378943886
"adhesions",22.012996779658916,2.7081045308829866e-06,1,0.053348097150715555
"avibactam",21.846764173702958,2.9531418821180313e-06,53,0.05498963708649156
"mao",21.54132471303786,3.462855931220033e-06,24,0.05365399573592364
"survivac",21.344597588546605,3.83700495511186e-06,1,0.05228512999181102
"dpx",21.344597588546605,3.83700495511186e-06,1,0.04950036937894386
"monohidrato",21.323983264105024,3.878486973810963e-06,1,0.04950036937894385
"malathion",21.24690943440051,4.0376086163725946e-06,4,0.09900756868333108
"veren",21.1667131108477,4.2101361107250615e-06,29,0.04950036937894389
"hyytymiseen",21.1667131108477,4.2101361107250615e-06,1,0.04950036937894389
"hydroksietyylitarkkelysliuosten",21.1667131108477,4.2101361107250615e-06,0,0.08569945484709694
"folitropina",21.13239784800034,4.286201137165444e-06,17,0.049500369378943886
"dystrophin",21.082583666946586,4.399082888944523e-06,10,0.03841331068671694
"restoring",21.082583666946586,4.399082888944523e-06,3,0.04950036937894389
"evacuation",21.06311418548235,4.444008470721406e-06,1,0.056381166320757875
"meconium",21.06311418548235,4.444008470721406e-06,1,0.049500369378943906
"syltag",20.99522760802843,4.604288509089525e-06,3,0.049500369378943865
"xalacom",20.941492032058175,4.735261775703005e-06,22,0.04950036937894385
"engerix",20.848870824998052,4.969851628306553e-06,9,0.04950036937894387
"presentation",20.848870824998052,4.969851628306553e-06,2,0.04950036937894387
"groupphase",20.826922987910887,5.027129310325153e-06,13,0.051482714721820415
"monochloroacetic",20.75465626535052,5.220449134121493e-06,1,0.049500369378943886
"dalacin",20.622786736827944,5.5926485793525145e-06,1,0.05863716173926594
"ovule",20.622786736827944,5.5926485793525145e-06,2,0.04950036937894389
"helium",20.582559740253423,5.71140588068684e-06,33,0.04950036937894389
"sensation",20.58240059111186,5.711880709138194e-06,4,0.04950036937894387
"carteolol",20.58240059111186,5.711880709138194e-06,4,0.04460748470524225
"bifonazole",20.504321209246065,5.949678056180226e-06,1,0.049500369378943844
"tsh",20.448995331305465,6.1241695619772056e-06,16,0.04950036937894387
"optimize",20.43124163286252,6.1812442364024314e-06,176,0.049500369378943886
"priming",20.419643697830807,6.218817347029762e-06,11,0.049500369378943886
"gel",20.37618956121472,6.361643062798869e-06,552,0.049500369378943865
"lamellar",20.36668074165325,6.393333291548504e-06,11,0.049500369378943844
"methacetin",20.333609342840106,6.504790072808604e-06,4,0.04950036937894389
"cardiotocographic",20.25153488347868,6.7898966263403965e-06,1,0.04950036937894388
"opiate",20.25153488347868,6.7898966263403965e-06,6,0.04950036937894386
"kivunhoidossa",20.244602930903202,6.814543497013508e-06,3,0.10742167690030545
"integrity",20.210817899542345,6.935959304669858e-06,1,0.08540813246752255
"ascorbate",20.17059231812939,7.083356372682884e-06,1,0.0495003693789439
"blindedtrial",20.1678953336163,7.093350574103966e-06,4,0.07000583821632321
"lotes",20.1678953336163,7.093350574103966e-06,4,0.05633269206417442
"yearsensayo",20.1678953336163,7.093350574103966e-06,5,0.04950036937894389
"uniformidad",20.1678953336163,7.093350574103966e-06,4,0.049500369378943886
"mx",19.985087970484226,7.8048465106584e-06,45,0.04950036937894388
"advacoat",19.985087970484226,7.8048465106584e-06,1,0.08574142804780206
"inferior",19.97536518596188,7.844634310178131e-06,397,0.09900814059005641
"hyperstimulation",19.912802064879138,8.105572900880633e-06,12,0.04950036937894389
"secundarios",19.899448043360493,8.162388754217029e-06,8,0.07000583821632315
"complejas",19.851061018338036,8.371625371853388e-06,3,0.08171017878724651
"videolaparoscopic",19.735784431502122,8.892064859739968e-06,1,0.05578913572078155
"fs",19.616303329843607,9.465802570296276e-06,267,0.04950036937894387
"hiperplasia",19.592842287253152,9.58275319613362e-06,8,0.08446317790687961
"azyter",19.577833707101433,9.65832906714919e-06,8,0.08386935599299629
"diminished",19.560897576119746,9.744330082729514e-06,1,0.07486591940648496
"propolis",19.52886155753905,9.90911618642674e-06,2,0.04479567385080762
"assisted",19.513581171922485,9.988697792649822e-06,76,0.09205661683886823
"kirurgi",19.4970769851171,1.0075374125890945e-05,37,0.08574142804780197
"snap",19.42611829488038,1.0456720375076915e-05,1,0.04950036937894387
"intraprostatic",19.423340211562667,1.0471941667185492e-05,16,0.06932814488837108
"pasta",19.320133990612167,1.1053463386589336e-05,4,0.04405991164894575
"dexpantenol",19.320133990612167,1.1053463386589336e-05,3,0.038893556386243956
"ubidecarenona",19.320133990612167,1.1053463386589336e-05,3,0.049500369378943865
"magnetoterapia",19.273679797209738,1.1325690827683848e-05,1,0.049500369378943886
"hialuronico",19.273679797209738,1.1325690827683848e-05,0,0.04950036937894389
"interdigestive",19.248639044253288,1.1475215123214812e-05,1,0.049500369378943886
"acomplia",19.13368889247901,1.2187456404653012e-05,1,0.09859178600150385
"hyposensitisation",19.024555011324004,1.2904708381263753e-05,1,0.07398557105820772
"buckberg",18.980602711977212,1.3205411238602755e-05,1,0.049500369378943886
"swiss",18.980602711977212,1.3205411238602755e-05,1,0.12029334761848966
"cardioplexol",18.980602711977212,1.3205411238602755e-05,1,0.04687433004176107
"preservatives",18.951393493491278,1.3409130592759207e-05,2,0.04067077181045509
"potencial",18.94959346358323,1.3421787633204522e-05,12,0.04950036937894389
"haemostasis",18.926100804962267,1.3588082351947157e-05,17,0.049500369378943886
"hyperemia",18.91534835109108,1.3664883235383502e-05,1,0.04950036937894388
"conjunctival",18.91534835109108,1.3664883235383502e-05,3,0.07000535616872529
"indomethacin",18.79059821023442,1.4588450469228542e-05,6,0.049500369378943865
"laparotomian",18.686786116581796,1.5404633286669775e-05,1,0.04950036937894386
"rektustupen",18.686786116581796,1.5404633286669775e-05,1,0.0495003693789439
"jalkeisessa",18.686786116581796,1.5404633286669775e-05,0,0.03876646930862493
"sisainen",18.686786116581796,1.5404633286669775e-05,0,0.059038725932614514
"katetripuudutus",18.686786116581796,1.5404633286669775e-05,1,0.049500369378943865
"keskiviiva",18.686786116581796,1.5404633286669775e-05,1,0.04395749584557745
"seroma",18.68134686336608,1.5448640138617032e-05,1,0.049500369378943906
"artiss",18.68134686336608,1.5448640138617032e-05,2,0.0495003693789439
"tubular",18.60342583743603,1.6093108892592212e-05,3,0.04950036937894388
"viagra",18.60054644019306,1.6117434408943227e-05,1,0.03765703368985599
"enriched",18.59128317434211,1.61959424715378e-05,43,0.0495003693789439
"derivates",18.510674152029672,1.6895541654055525e-05,1,0.04950036937894389
"ichthyosis",18.503821419154193,1.6956397932742477e-05,12,0.0537356494828229
"mmn",18.486089614351798,1.711489067831246e-05,7,0.04938773583831975
"laser",18.465672067554827,1.729923365968213e-05,104,0.049500369378943865
"multizenterstudie",18.46470956972039,1.730797277945666e-05,5,0.049500369378943865
"regulationpxr",18.396291206276217,1.7940684001244185e-05,1,0.0495003693789439
"pxr",18.396291206276217,1.7940684001244185e-05,2,0.04950036937894388
"verenpaineen",18.396291206276217,1.7940684001244185e-05,1,0.04950036937894389
"aktivaation",18.396291206276217,1.7940684001244185e-05,2,0.05188627588259163
"saatelyyn",18.396291206276217,1.7940684001244185e-05,0,0.07000583821632309
"acnes",18.195365213930472,1.993634032565309e-05,1,0.10380735171067862
"epiduo",18.195365213930472,1.993634032565309e-05,2,0.04950036937894388
"heliox",18.1472373776145,2.0446583466080647e-05,5,0.039979846949665
"monocaprin",18.132854691000208,2.060159749053786e-05,1,0.04950036937894391
"corticotherapie",18.084616926725857,2.1130168010778483e-05,1,0.07000583821632311
"myastheniques",18.084616926725857,2.1130168010778483e-05,0,0.049500369378943886
"anagrelide",18.059861669830113,2.1406695125521795e-05,19,0.14707807611687887
"viability",18.037450096635247,2.1660176873723515e-05,2,0.0700058382163232
"neonatology",17.890372610582798,2.340018663539083e-05,1,0.049500369378943844
"posture",17.870330607504,2.364792666278767e-05,1,0.06007134073813738
"inhaling",17.870330607504,2.364792666278767e-05,1,0.08574142804780198
"leaning",17.870330607504,2.364792666278767e-05,2,0.04950036937894387
"gantacurium",17.84784427928831,2.39290196302177e-05,3,0.05312971467492
"intubation",17.84784427928831,2.39290196302177e-05,7,0.04183920455354377
"ciais",17.847421356954662,2.3934338460729053e-05,15,0.04950036937894389
"monovalent",17.77851365369207,2.481700578833954e-05,22,0.04950036937894389
"f",17.77501460979883,2.486268913155762e-05,56012,0.04950036937894389
"uvea",17.639143356058064,2.6703522948561535e-05,27,0.08574142804780194
"irradiacion",17.639143356058064,2.6703522948561535e-05,0,0.04950036937894391
"deconditioned",17.5816222579146,2.752354137277013e-05,1,0.03772950232378153
"hyperoxic",17.5816222579146,2.752354137277013e-05,2,0.07493694789734036
"dosage",17.472509009020516,2.914923810530809e-05,174,0.04391592810379777
"empathy",17.45060928509497,2.948697635175668e-05,3,0.04950036937894388
"personality",17.45060928509497,2.948697635175668e-05,4,0.03276507971313862
"mentalising",17.45060928509497,2.948697635175668e-05,1,0.05873544550896037
"bisoprolol",17.432838204587895,2.976393097314253e-05,3,0.06932814488837108
"coexisting",17.432838204587895,2.976393097314253e-05,1,0.049500369378943865
"readmissions",17.432838204587895,2.976393097314253e-05,1,0.049500369378943865
"adrenoceptor",17.432838204587895,2.976393097314253e-05,2,0.049500369378943865
"cingulate",17.417055482574778,3.0012089029288556e-05,1,0.053156562093109885
"acc",17.417055482574778,3.0012089029288556e-05,1601,0.04950036937894389
"fluanxol",17.417055482574778,3.0012089029288556e-05,1,0.06918788435665345
"therapyregimen",17.38368159236855,3.054370904477567e-05,1,0.049500369378943844
"ofmalt",17.38368159236855,3.054370904477567e-05,1,0.04950036937894388
"velcadetm",17.38368159236855,3.054370904477567e-05,1,0.049500369378943844
"taxusTM",17.34418544477561,3.118509350024214e-05,0,0.07000583821632309
"patientsevaluacion",17.303415310966468,3.186136895537957e-05,0,0.035091795034635546
"glaucomaestudio",17.303415310966468,3.186136895537957e-05,4,0.04950036937894386
"breath",17.269162900336646,3.244091281792727e-05,36,0.04950036937894388
"fluorourasiililla",17.26688465990168,3.247983387332823e-05,1,0.049500369378943865
"keloidscars",17.26688465990168,3.247983387332823e-05,1,0.04950036937894389
"stydykeloidiarpien",17.26688465990168,3.247983387332823e-05,1,0.049500369378943865
"triamsinolonilla",17.26688465990168,3.247983387332823e-05,1,0.04950036937894388
"whengiven",17.252153371688813,3.273263593931647e-05,3,0.04950036937894388
"lutropin",17.199318741607026,3.3655702475703735e-05,13,0.049500369378943886
"reproduction",17.199318741607026,3.3655702475703735e-05,11,0.04950036937894387
"muutokset",17.14710670032317,3.4593595050071235e-05,1,0.06514784777228226
"lapsilla",17.14710670032317,3.4593595050071235e-05,1,0.04950036937894389
"sevofluraani",17.14710670032317,3.4593595050071235e-05,3,0.04950036937894389
"aiheuttamat",17.14710670032317,3.4593595050071235e-05,1,0.049500369378943865
"yleisanestesian",17.14710670032317,3.4593595050071235e-05,1,0.0497644865598637
"lot",17.124024455258795,3.5016556533555695e-05,1256,0.0566736380497939
"nares",17.037534597776062,3.664816295975665e-05,22,0.04950036937894387
"actavis",17.028402548173606,3.6824836474780634e-05,2,0.056777947827770577
"mnb",17.00495367926097,3.728242241905608e-05,3,0.04950036937894389
"fractional",16.969794797324628,3.797925244573269e-05,4,0.05056197707642334
"microdermabrasion",16.969794797324628,3.797925244573269e-05,1,0.04950036937894387
"cancerized",16.969794797324628,3.797925244573269e-05,1,0.07000583821632318
"keratoplasty",16.959782073212963,3.818008383909184e-05,2,0.04950036937894389
"penetrating",16.959782073212963,3.818008383909184e-05,3,0.06906781431382329
"modificacion",16.86032174391532,4.023392515151019e-05,0,0.09706333617563254
"proteomico",16.86032174391532,4.023392515151019e-05,0,0.05886871776911565
"aria",16.80328394231022,4.1461490443904694e-05,1314,0.04950036937894387
"questionnaire",16.795380401039715,4.163453481261472e-05,7,0.049500369378943844
"rdq",16.795380401039715,4.163453481261472e-05,6,0.049500369378943886
"eascs",16.764704927545495,4.231306574780924e-05,16,0.04950036937894389
"sexually",16.716830583698652,4.3394313962648575e-05,3,0.0495003693789439
"ktcol",16.599359329966664,4.616661405248763e-05,1,0.049500369378943844
"europeprevencion",16.574353363835385,4.6779366100773436e-05,0,0.07000583821632303
"personas",16.574353363835385,4.6779366100773436e-05,10,0.07000583821632303
"hiperglucemia",16.574353363835385,4.6779366100773436e-05,5,0.045253163404093175
"vegzett",16.377603146585955,5.189482689497818e-05,1,0.04950036937894387
"transrectal",16.37586597688423,5.194241253847345e-05,7,0.04950036937894389
"apofilgrastim",16.335420074481426,5.306282109073294e-05,5,0.0700058382163231
"assessorblindedstudy",16.335420074481426,5.306282109073294e-05,5,0.049500369378943886
"ozlase",16.29950981786556,5.4077938678553686e-05,1,0.049500369378943886
"test",16.292602393755125,5.427542706222581e-05,684,0.04950036937894386
"childrencyclopentolaat",16.28101184747077,5.46084402663986e-05,1,0.04950036937894389
"geinduceerde",16.28101184747077,5.46084402663986e-05,2,0.049500369378943886
"veranderingen",16.28101184747077,5.46084402663986e-05,1,0.04202978695216323
"rovid",16.247778015159998,5.557473300723469e-05,45,0.04950036937894386
